UNITID,FTE12MN,UNDUP,UNDUPUG,E12FT,E12PT,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12GRADFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,E12GRADPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON
482167,85,191,191,75,116,100,0,91,0,0,75,39,0,36,0,0,116,61,0,55,0,0,0,0,91,5,0,0,1,4,0,98,0,0,91,5,0,0,1,4,0,98,,,,,,,,,,,0,0,100,0,0,100,,,
482176,227,359,359,255,104,87,0,272,0,0,255,59,0,196,0,0,104,28,0,76,0,0,1,2,4,22,0,38,3,29,0,97,1,2,4,22,0,38,3,29,0,97,,,,,,,,,,,0,0,100,0,0,100,,,
482185,41,82,82,82,0,20,0,62,0,0,82,20,0,62,0,0,0,0,0,0,0,0,4,6,6,7,0,56,16,5,0,21,4,6,6,7,0,56,16,5,0,21,,,,,,,,,,,0,0,100,0,0,100,,,
482194,105,202,202,102,100,121,0,81,0,0,102,61,0,41,0,0,100,60,0,40,0,0,0,3,13,27,0,51,5,0,0,85,0,3,13,27,0,51,5,0,0,85,,,,,,,,,,,0,0,100,0,0,100,,,
482200,65,82,82,82,0,44,0,38,0,0,82,44,0,38,0,0,0,0,0,0,0,0,0,0,26,6,0,63,5,0,0,80,0,0,26,6,0,63,5,0,0,80,,,,,,,,,,,0,0,100,0,0,100,,,
482228,131,317,195,76,241,20,19,126,30,122,48,13,5,29,1,28,147,7,14,97,29,94,0,4,4,6,0,84,2,0,0,33,1,5,3,6,1,84,2,0,0,36,0,2,7,6,0,83,2,1,0,29,100,0,0,100,0,0,100,0,0
482246,76,148,148,148,0,125,0,23,0,0,148,125,0,23,0,0,0,0,0,0,0,0,8,2,3,4,0,67,0,14,2,18,8,2,3,4,0,67,0,14,2,18,,,,,,,,,,,0,0,100,0,0,100,,,
482255,504,582,582,328,254,247,0,335,0,0,328,247,0,81,0,0,254,0,0,254,0,0,0,12,20,28,5,26,7,0,0,10,0,12,20,28,5,26,7,0,0,10,,,,,,,,,,,0,0,100,0,0,100,,,
482291,1946,2432,2432,2432,0,897,0,1535,0,0,2432,897,0,1535,0,0,0,0,0,0,0,0,0,1,3,20,0,3,1,73,0,44,0,1,3,20,0,3,1,73,0,44,,,,,,,,,,,0,0,100,0,0,100,,,
482413,236,348,256,237,111,6,47,203,0,92,169,4,36,129,0,68,87,2,11,74,0,24,0,9,27,22,0,14,2,9,16,47,0,8,30,27,0,15,2,11,8,44,0,12,21,9,0,10,2,7,40,57,54,38,8,60,39,0,38,34,28
482422,25,35,32,19,16,1,8,23,0,3,16,1,5,10,0,3,16,0,3,13,0,0,0,3,26,31,0,34,0,0,6,34,0,3,22,34,0,38,0,0,3,31,0,0,67,0,0,0,0,0,33,67,77,23,0,75,25,0,100,0,0
482431,2335,3391,3333,1929,1462,254,1536,1538,5,58,1887,138,904,845,0,42,1446,116,632,693,5,16,1,9,16,37,2,24,3,6,1,47,1,9,16,38,2,24,3,6,0,47,0,17,14,12,2,10,0,7,38,41,73,26,1,74,26,0,24,38,38
482459,211,275,266,161,114,2,110,154,0,9,153,2,83,68,0,8,113,0,27,86,0,1,1,1,33,29,1,28,1,5,2,57,1,1,33,30,1,28,2,5,0,58,0,11,11,0,0,22,0,11,44,33,94,5,1,96,4,0,33,22,44
