UNITID,F1CORREV,F1TUFEPC,F1STAPPC,F1LCAPPC,F1GVGCPC,F1PGGCPC,F1INVRPC,F1OTRVPC,F1TUFEFT,F1STAPFT,F1LCAPFT,F1GVGCFT,F1PGGCFT,F1INVRFT,F1OTRVFT,F1COREXP,F1INSTFT,F1RSRCFT,F1PBSVFT,F1ACSPFT,F1STSVFT,F1INSUFT,F1OTEXFT,F1INSTPC,F1RSRCPC,F1PBSVPC,F1ACSPPC,F1STSVPC,F1INSUPC,F1OTEXPC,F1SWINSP,F1SWRSRP,F1SWPBSP,F1SWACSP,F1SWSTSP,F1SWISPP,F1SWOTEP,F1SWCREP,F1ENDMFT,F1SAFBPC,F1SALRPC,F1EQUITR,F2CORREV,F2TUFEPC,F2GVGCPC,F2PGGCPC,F2INVRPC,F2OTRVPC,F2TUFEFT,F2GVGCFT,F2PGGCFT,F2INVRFT,F2OTRVFT,F2COREXP,F2INSTFT,F2RSRCFT,F2PBSVFT,F2ACSPFT,F2STSVFT,F2INSUFT,F2OTEXFT,F2INSTPC,F2RSRCPC,F2PBSVPC,F2ACSPPC,F2STSVPC,F2INSUPC,F2OTEXPC,F2SWINSP,F2SWRSRP,F2SWPBSP,F2SWACSP,F2SWSTSP,F2SWISPP,F2SWOTEP,F2SWCREP,F2ENDMFT,F2SAFBPC,F2SALRPC,F2EQUITR,F3CORREV,F3TUFEPC,F3GVGCPC,F3PGGCPC,F3INVRPC,F3SSEAPC,F3OTRVPC,F3TUFEFT,F3GVGCFT,F3PGGCFT,F3INVRFT,F3SSEAFT,F3OTRVFT,F3COREXP,F3INSTFT,F3RSRCFT,F3PBSVFT,F3ACSPFT,F3STSVFT,F3INSUFT,F3OTEXFT,F3INSTPC,F3RSRCPC,F3PBSVPC,F3ACSPPC,F3STSVPC,F3INSUPC,F3OTEXPC,F3SWINSP,F3SWRSRP,F3SWPBSP,F3SWACSP,F3SWSTSP,F3SWISPP,F3SWOTEP,F3SWCREP,F3SAFBPC,F3SALRPC,F3EQUITR       
100858,1265511164,40,21,0,18,5,6,9,17273,9178,0,7767,2039,2679,3926,1026211258,8180,8062,3472,4921,1264,3927,4932,24,23,10,14,4,11,14,57,50,49,58,52,55,0,46,33665,61,44,39,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
100937,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30810969,39,15,19,25,2,10137,3950,4799,6337,604,34125842,11867,0,0,2742,6501,7306,189,41,0,0,10,23,26,1,62,.,.,19,42,39,0,47,45251,40,40,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101028,18472615,8,40,0,49,0,0,3,1380,7388,0,8978,0,0,543,18530162,6304,0,0,737,1970,3605,5732,34,0,0,4,11,20,31,69,.,.,68,63,30,4,40,49,54,40,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5446646,58,42,0,0,0,0,9771,7144,0,0,0,0,6343914,7130,0,0,532,2452,9587,1,36,0,0,3,12,49,0,91,.,.,66,7,9,0,40,42,40,87
101143,30672974,16,33,0,48,1,0,2,3488,7063,0,10339,277,34,325,24517679,6070,0,736,598,1879,2971,4952,35,0,4,3,11,17,29,64,.,9,62,53,31,0,36,12,46,36,48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101161,82929829,13,35,3,37,0,0,12,2249,6090,497,6325,0,17,1988,79541416,5588,0,2,1031,1457,1935,6453,34,0,0,6,9,12,39,70,.,0,30,54,37,0,35,.,44,34,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54140701,60,20,10,8,3,13718,4505,2339,1778,620,41749969,7932,0,0,1237,4041,3924,572,45,0,0,7,23,22,3,60,.,.,36,35,33,0,45,9047,49,40,54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101240,63865083,10,37,1,48,0,0,2,2113,7628,285,9850,17,61,398,54843711,5611,0,20,930,1896,4184,4836,32,0,0,5,11,24,28,70,.,64,58,62,30,10,42,1336,53,42,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101277,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,681786,91,0,0,0,9,0,7442,0,0,0,772,0,472468,2573,0,0,86,216,2817,0,45,0,0,2,4,49,0,66,.,.,100,100,48,.,59,61,59,.
101286,49746837,15,37,0,47,0,0,0,2844,7065,0,9056,69,46,32,48603203,7019,0,0,708,1543,2047,7356,38,0,0,4,8,11,39,66,.,.,70,63,51,0,38,63,50,38,32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101295,57305400,20,37,0,41,0,0,1,3154,5646,0,6344,21,0,222,51163614,6618,0,3,1025,1628,1911,2554,48,0,0,7,12,14,19,44,.,87,43,45,41,0,35,.,46,35,43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101301,21609138,9,43,0,44,0,0,4,1737,8290,0,8666,0,4,805,22958516,4735,0,83,787,2963,2661,9492,23,0,0,4,14,13,46,84,.,96,90,65,56,3,41,.,53,41,31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101365,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8823445,98,0,0,0,2,13409,0,0,0,334,6034809,3760,0,0,563,2934,1585,557,40,0,0,6,31,17,6,56,.,.,52,27,31,9,40,.,46,40,73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101435,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30278970,38,24,7,31,1,13368,8363,2312,10765,400,20256608,7326,0,0,1944,7180,5680,1425,31,0,0,8,30,24,6,63,.,.,50,50,44,0,50,70008,51,43,74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101453,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7148780,12,0,39,42,6,12070,0,37907,41043,5585,3463841,9032,863,922,4239,5285,21465,5002,19,2,2,9,11,46,11,70,83,78,61,67,37,0,47,204733,53,46,91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101462,16133021,7,36,0,50,0,0,7,2149,10610,0,14780,137,4,2141,12599558,6551,0,0,1903,2343,5406,7086,28,0,0,8,10,23,30,65,.,.,63,67,38,0,39,.,49,39,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101471,15830083,0,54,0,44,1,0,1,33,20557,0,16498,360,35,298,13883392,12748,0,0,3058,4633,4439,8257,38,0,0,9,14,13,25,79,.,.,84,72,49,0,55,.,72,55,-32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101480,146556692,35,30,0,28,0,1,6,6620,5625,0,5288,0,139,1164,152289428,7545,50,292,1254,2756,3526,4149,39,0,1,6,14,18,21,63,37,49,55,46,34,0,41,1950,52,38,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101505,70074317,24,36,0,39,0,0,1,3116,4704,9,5087,43,49,81,66068565,5217,0,2,410,1180,2146,3386,42,0,0,3,10,17,27,66,.,29,20,64,47,0,43,259,56,43,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101514,83351773,25,37,0,38,0,0,1,3686,5481,0,5638,15,8,128,79412973,4839,0,0,971,1144,2606,4689,34,0,0,7,8,18,33,63,.,.,56,56,38,0,37,1626,50,37,46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101569,51971683,6,30,0,61,0,0,2,1447,7290,0,14669,37,88,541,48417600,6514,0,0,1226,1685,4230,8771,29,0,0,5,8,19,39,60,.,.,62,61,23,0,30,272,40,30,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101587,88188391,50,25,0,22,0,0,4,8863,4427,0,3861,0,2,742,82172153,7462,104,571,1355,1891,2660,2631,45,1,3,8,11,16,16,43,30,0,27,36,25,17,32,87,49,31,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
