UNITID,FTE12MN,UNDUP,E12FT,E12PT,UNDUPUG,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12GRADFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,E12GRADPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON 
494588,378,595,595,0,595,280,143,172,0,0,595,280,143,172,0,0,0,0,0,0,0,0,0,1,9,63,0,20,7,0,0,90,0,1,9,63,0,20,7,0,0,90,.,.,.,.,.,.,.,.,.,.,0,9,91,0,9,91,.,.,.
494597,92,124,94,30,84,22,15,47,0,40,73,22,15,36,0,21,11,0,0,11,0,19,0,0,45,23,0,31,1,0,0,51,0,0,38,24,0,38,0,0,0,56,0,0,60,23,0,15,3,0,0,40,26,21,53,17,5,79,45,55,0
494603,1375,3403,1265,2138,273,84,0,189,0,3130,133,37,0,96,0,1132,140,47,0,93,0,1998,1,9,4,13,0,46,1,0,27,25,3,6,6,8,0,59,1,0,16,39,1,9,4,14,0,44,1,0,28,24,26,20,54,1,38,61,28,18,54
494621,84,184,13,171,184,55,66,63,0,0,13,0,7,6,0,0,171,55,59,57,0,0,0,3,45,7,0,43,3,0,0,92,0,3,45,7,0,43,3,0,0,92,.,.,.,.,.,.,.,.,.,.,0,7,93,0,7,93,.,.,.
494630,37,45,38,7,45,9,3,33,0,0,38,8,3,27,0,0,7,1,0,6,0,0,0,0,2,80,0,7,2,0,9,47,0,0,2,80,0,7,2,0,9,47,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
494649,39,54,27,27,54,17,0,37,0,0,27,8,0,19,0,0,27,9,0,18,0,0,2,0,2,13,0,78,6,0,0,100,2,0,2,13,0,78,6,0,0,100,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
494658,40,81,53,28,81,16,0,65,0,0,53,10,0,43,0,0,28,6,0,22,0,0,1,7,19,51,0,15,2,0,5,93,1,7,19,51,0,15,2,0,5,93,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
494685,413,492,403,89,492,74,121,291,6,0,403,65,100,234,4,0,89,9,21,57,2,0,1,1,3,16,0,71,4,3,1,57,1,1,3,16,0,71,4,3,1,57,.,.,.,.,.,.,.,.,.,.,28,54,19,28,54,19,.,.,.
494694,76,139,126,13,139,43,0,96,0,0,126,34,0,92,0,0,13,9,0,4,0,0,0,3,67,7,0,16,1,6,0,97,0,3,67,7,0,16,1,6,0,97,.,.,.,.,.,.,.,.,.,.,0,69,31,0,69,31,.,.,.
494700,55,77,77,0,77,22,0,55,0,0,77,22,0,55,0,0,0,0,0,0,0,0,0,0,0,91,0,0,3,3,4,97,0,0,0,91,0,0,3,3,4,97,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
494719,55,70,46,24,70,37,0,33,0,0,46,24,0,22,0,0,24,13,0,11,0,0,0,0,76,16,0,7,1,0,0,21,0,0,76,16,0,7,1,0,0,21,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
494728,55,79,73,6,79,57,0,22,0,0,73,55,0,18,0,0,6,2,0,4,0,0,0,5,75,18,1,1,0,0,0,19,0,5,75,18,1,1,0,0,0,19,.,.,.,.,.,.,.,.,.,.,0,1,99,0,1,99,.,.,.
494737,175,175,175,0,175,34,37,104,0,0,175,34,37,104,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
494746,336,502,502,0,502,40,217,245,0,0,502,40,217,245,0,0,0,0,0,0,0,0,1,21,10,24,3,22,14,5,0,83,1,21,10,24,3,22,14,5,0,83,.,.,.,.,.,.,.,.,.,.,0,100,0,0,100,0,.,.,.
494755,77,102,102,0,102,16,47,39,0,0,102,16,47,39,0,0,0,0,0,0,0,0,0,1,16,0,0,79,2,2,0,92,0,1,16,0,0,79,2,2,0,92,.,.,.,.,.,.,.,.,.,.,0,30,70,0,30,70,.,.,.
494764,321,346,151,195,346,88,0,258,0,0,151,88,0,63,0,0,195,0,0,195,0,0,0,2,39,18,0,33,6,2,0,9,0,2,39,18,0,33,6,2,0,9,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
494807,608,669,667,2,48,13,1,34,0,621,48,13,1,34,0,619,0,0,0,0,0,2,0,0,0,100,0,0,0,0,0,82,0,0,0,100,0,0,0,0,0,85,0,0,0,100,0,0,0,0,0,82,0,0,100,0,0,100,0,0,100
494843,921,993,993,0,993,323,203,467,0,0,993,323,203,467,0,0,0,0,0,0,0,0,0,2,65,24,0,5,3,1,0,93,0,2,65,24,0,5,3,1,0,93,.,.,.,.,.,.,.,.,.,.,0,52,48,0,52,48,.,.,.
494852,723,1108,1108,0,1108,539,35,534,0,0,1108,539,35,534,0,0,0,0,0,0,0,0,0,2,20,24,0,46,8,0,0,77,0,2,20,24,0,46,8,0,0,77,.,.,.,.,.,.,.,.,.,.,32,47,21,32,47,21,.,.,.
494898,145,167,167,0,167,5,0,162,0,0,167,5,0,162,0,0,0,0,0,0,0,0,1,1,16,10,1,60,6,7,0,82,1,1,16,10,1,60,6,7,0,82,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
494904,279,318,104,214,318,294,0,24,0,0,104,94,0,10,0,0,214,200,0,14,0,0,0,12,25,34,0,29,0,0,0,85,0,12,25,34,0,29,0,0,0,85,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
494959,39,111,14,97,111,15,13,51,32,0,14,4,4,6,0,0,97,11,9,45,32,0,0,0,2,6,0,75,4,14,0,75,0,0,2,6,0,75,4,14,0,75,.,.,.,.,.,.,.,.,.,.,1,4,95,1,4,95,.,.,.
494977,25,72,72,0,72,49,0,23,0,0,72,49,0,23,0,0,0,0,0,0,0,0,0,6,93,1,0,0,0,0,0,92,0,6,93,1,0,0,0,0,0,92,.,.,.,.,.,.,.,.,.,.,100,0,0,100,0,0,.,.,.
494986,57,56,56,0,56,12,18,26,0,0,56,12,18,26,0,0,0,0,0,0,0,0,0,2,2,18,0,71,4,4,0,91,0,2,2,18,0,71,4,4,0,91,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
494995,20,63,63,0,63,39,0,24,0,0,63,39,0,24,0,0,0,0,0,0,0,0,0,0,41,24,0,35,0,0,0,10,0,0,41,24,0,35,0,0,0,10,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495013,112,293,0,293,293,66,0,219,8,0,0,0,0,0,0,0,293,66,0,219,8,0,1,2,4,30,0,44,5,14,0,12,1,2,4,30,0,44,5,14,0,12,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495031,81,112,109,3,112,5,13,63,31,0,109,5,13,60,31,0,3,0,0,3,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495040,67,108,108,0,108,56,0,52,0,0,108,56,0,52,0,0,0,0,0,0,0,0,1,19,9,5,28,24,14,1,0,97,1,19,9,5,28,24,14,1,0,97,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495059,67,50,49,1,50,21,0,29,0,0,49,21,0,28,0,0,1,0,0,1,0,0,0,2,12,52,0,32,2,0,0,54,0,2,12,52,0,32,2,0,0,54,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495077,47,62,62,0,62,16,0,46,0,0,62,16,0,46,0,0,0,0,0,0,0,0,0,6,6,58,0,15,2,13,0,94,0,6,6,58,0,15,2,13,0,94,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495101,42,84,84,0,84,41,0,43,0,0,84,41,0,43,0,0,0,0,0,0,0,0,2,4,1,14,2,74,2,0,0,82,2,4,1,14,2,74,2,0,0,82,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495110,18,35,35,0,35,12,0,23,0,0,35,12,0,23,0,0,0,0,0,0,0,0,0,0,0,3,0,89,6,3,0,9,0,0,0,3,0,89,6,3,0,9,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495129,77,156,156,0,156,131,0,25,0,0,156,131,0,25,0,0,0,0,0,0,0,0,1,4,19,48,1,19,3,5,0,13,1,4,19,48,1,19,3,5,0,13,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495138,13,32,32,0,32,27,0,5,0,0,32,27,0,5,0,0,0,0,0,0,0,0,0,0,75,9,0,9,0,6,0,72,0,0,75,9,0,9,0,6,0,72,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495147,14,32,19,13,32,7,3,20,2,0,19,7,1,9,2,0,13,0,2,11,0,0,0,6,0,41,0,44,3,3,3,63,0,6,0,41,0,44,3,3,3,63,.,.,.,.,.,.,.,.,.,.,6,44,50,6,44,50,.,.,.
495165,29,53,53,0,53,8,0,45,0,0,53,8,0,45,0,0,0,0,0,0,0,0,0,6,19,75,0,0,0,0,0,83,0,6,19,75,0,0,0,0,0,83,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495174,29,49,0,49,49,20,0,29,0,0,0,0,0,0,0,0,49,20,0,29,0,0,0,0,0,82,0,0,0,4,14,61,0,0,0,82,0,0,0,4,14,61,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495183,160,199,199,0,199,70,32,97,0,0,199,70,32,97,0,0,0,0,0,0,0,0,0,0,6,57,1,4,0,0,33,55,0,0,6,57,1,4,0,0,33,55,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495192,390,606,586,20,0,0,0,0,0,606,0,0,0,0,0,586,0,0,0,0,0,20,0,9,13,54,0,17,5,1,0,78,.,.,.,.,.,.,.,.,.,.,0,9,13,54,0,17,5,1,0,78,0,100,0,.,.,.,0,100,0
495208,28,32,32,0,32,19,0,13,0,0,32,19,0,13,0,0,0,0,0,0,0,0,0,3,81,13,0,3,0,0,0,34,0,3,81,13,0,3,0,0,0,34,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495217,55,55,55,0,55,26,0,29,0,0,55,26,0,29,0,0,0,0,0,0,0,0,0,0,65,5,0,25,4,0,0,35,0,0,65,5,0,25,4,0,0,35,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495226,6,9,9,0,9,0,0,9,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,33,0,0,67,0,0,0,100,0,0,33,0,0,67,0,0,0,100,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495235,12,30,14,16,30,8,0,22,0,0,14,4,0,10,0,0,16,4,0,12,0,0,0,0,93,3,0,3,0,0,0,90,0,0,93,3,0,3,0,0,0,90,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495244,20,60,28,32,60,49,0,11,0,0,28,20,0,8,0,0,32,29,0,3,0,0,0,0,68,27,0,5,0,0,0,95,0,0,68,27,0,5,0,0,0,95,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495253,33,48,48,0,48,47,0,1,0,0,48,47,0,1,0,0,0,0,0,0,0,0,15,0,8,8,0,67,2,0,0,79,15,0,8,8,0,67,2,0,0,79,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495262,28,70,32,38,70,26,0,44,0,0,32,11,0,21,0,0,38,15,0,23,0,0,0,1,0,17,0,70,9,3,0,100,0,1,0,17,0,70,9,3,0,100,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495271,17,86,0,86,86,11,5,31,39,0,0,0,0,0,0,0,86,11,5,31,39,0,44,0,0,44,0,1,7,1,2,73,44,0,0,44,0,1,7,1,2,73,.,.,.,.,.,.,.,.,.,.,7,24,69,7,24,69,.,.,.
495280,19,33,14,19,33,3,5,17,8,0,14,3,5,6,0,0,19,0,0,11,8,0,91,0,3,0,0,3,0,3,0,48,91,0,3,0,0,3,0,3,0,48,.,.,.,.,.,.,.,.,.,.,9,0,91,9,0,91,.,.,.
495299,32,90,90,0,90,53,0,37,0,0,90,53,0,37,0,0,0,0,0,0,0,0,0,0,2,94,0,0,0,0,3,84,0,0,2,94,0,0,0,0,3,84,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495305,81,140,64,76,140,57,0,83,0,0,64,30,0,34,0,0,76,27,0,49,0,0,0,0,0,99,0,0,0,0,1,76,0,0,0,99,0,0,0,0,1,76,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495314,407,407,407,0,0,0,0,0,0,407,0,0,0,0,0,407,0,0,0,0,0,0,0,30,8,9,0,45,2,5,0,47,.,.,.,.,.,.,.,.,.,.,0,30,8,9,0,45,2,5,0,47,0,0,100,.,.,.,0,0,100
495341,67,68,68,0,68,20,0,48,0,0,68,20,0,48,0,0,0,0,0,0,0,0,1,3,31,18,0,35,9,1,1,29,1,3,31,18,0,35,9,1,1,29,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495350,47,48,48,0,48,2,0,46,0,0,48,2,0,46,0,0,0,0,0,0,0,0,2,0,2,44,0,40,10,2,0,50,2,0,2,44,0,40,10,2,0,50,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495369,82,112,75,37,112,9,0,103,0,0,75,7,0,68,0,0,37,2,0,35,0,0,1,1,35,25,0,24,5,9,0,83,1,1,35,25,0,24,5,9,0,83,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495378,79,115,7,108,115,58,0,57,0,0,7,4,0,3,0,0,108,54,0,54,0,0,0,3,11,14,0,71,0,1,0,98,0,3,11,14,0,71,0,1,0,98,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495387,24,58,55,3,58,38,0,20,0,0,55,36,0,19,0,0,3,2,0,1,0,0,0,0,62,38,0,0,0,0,0,28,0,0,62,38,0,0,0,0,0,28,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495396,16,28,28,0,28,2,0,26,0,0,28,2,0,26,0,0,0,0,0,0,0,0,0,7,32,61,0,0,0,0,0,93,0,7,32,61,0,0,0,0,0,93,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495411,109,152,148,4,152,24,0,128,0,0,148,24,0,124,0,0,4,0,0,4,0,0,1,1,2,7,1,45,14,30,0,93,1,1,2,7,1,45,14,30,0,93,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495420,269,356,185,171,356,16,163,177,0,0,185,7,69,109,0,0,171,9,94,68,0,0,0,3,27,37,1,26,7,0,0,90,0,3,27,37,1,26,7,0,0,90,.,.,.,.,.,.,.,.,.,.,0,100,0,0,100,0,.,.,.
495439,260,375,229,146,375,53,128,194,0,0,229,26,75,128,0,0,146,27,53,66,0,0,0,2,64,17,0,10,6,0,0,93,0,2,64,17,0,10,6,0,0,93,.,.,.,.,.,.,.,.,.,.,0,100,0,0,100,0,.,.,.
495448,531,618,404,214,618,21,219,378,0,0,404,5,123,276,0,0,214,16,96,102,0,0,2,3,6,49,0,37,2,1,0,88,2,3,6,49,0,37,2,1,0,88,.,.,.,.,.,.,.,.,.,.,0,100,0,0,100,0,.,.,.
495457,520,716,429,287,716,56,397,263,0,0,429,30,224,175,0,0,287,26,173,88,0,0,1,3,13,37,0,34,10,1,0,90,1,3,13,37,0,34,10,1,0,90,.,.,.,.,.,.,.,.,.,.,0,100,0,0,100,0,.,.,.
495518,74,131,82,49,131,55,0,76,0,0,82,40,0,42,0,0,49,15,0,34,0,0,0,1,46,5,0,11,2,34,0,98,0,1,46,5,0,11,2,34,0,98,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495730,91,125,92,33,125,26,0,99,0,0,92,20,0,72,0,0,33,6,0,27,0,0,1,2,31,12,0,51,3,0,0,98,1,2,31,12,0,51,3,0,0,98,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495776,52,67,67,0,67,30,0,37,0,0,67,30,0,37,0,0,0,0,0,0,0,0,0,0,21,57,0,16,0,4,1,9,0,0,21,57,0,16,0,4,1,9,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495794,265,391,292,99,391,54,0,337,0,0,292,36,0,256,0,0,99,18,0,81,0,0,0,1,29,6,0,62,0,2,0,98,0,1,29,6,0,62,0,2,0,98,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495837,148,458,458,0,458,450,0,8,0,0,458,450,0,8,0,0,0,0,0,0,0,0,0,4,35,8,0,41,4,8,0,71,0,4,35,8,0,41,4,8,0,71,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495916,9,10,5,5,10,0,0,10,0,0,5,0,0,5,0,0,5,0,0,5,0,0,10,0,0,50,0,40,0,0,0,80,10,0,0,50,0,40,0,0,0,80,.,.,.,.,.,.,.,.,.,.,100,0,0,100,0,0,.,.,.
495925,74,116,116,0,116,39,0,77,0,0,116,39,0,77,0,0,0,0,0,0,0,0,0,3,2,84,0,5,3,3,0,96,0,3,2,84,0,5,3,3,0,96,.,.,.,.,.,.,.,.,.,.,0,3,97,0,3,97,.,.,.
495934,95,138,138,0,138,46,0,92,0,0,138,46,0,92,0,0,0,0,0,0,0,0,1,2,3,90,1,2,1,0,0,90,1,2,3,90,1,2,1,0,0,90,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495943,41,59,59,0,59,16,0,43,0,0,59,16,0,43,0,0,0,0,0,0,0,0,0,2,2,56,0,37,0,2,2,93,0,2,2,56,0,37,0,2,2,93,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495952,147,203,203,0,203,60,44,99,0,0,203,60,44,99,0,0,0,0,0,0,0,0,1,2,2,79,1,9,1,3,0,72,1,2,2,79,1,9,1,3,0,72,.,.,.,.,.,.,.,.,.,.,0,19,81,0,19,81,.,.,.
495961,131,189,189,0,189,35,72,82,0,0,189,35,72,82,0,0,0,0,0,0,0,0,1,3,2,71,1,17,2,4,0,92,1,3,2,71,1,17,2,4,0,92,.,.,.,.,.,.,.,.,.,.,0,28,72,0,28,72,.,.,.
495970,507,508,508,0,508,290,0,218,0,0,508,290,0,218,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,69,0,0,0,100,0,0,0,0,0,69,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
495998,77,127,127,0,127,33,0,94,0,0,127,33,0,94,0,0,0,0,0,0,0,0,2,2,2,83,0,9,2,1,1,94,2,2,2,83,0,9,2,1,1,94,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
496043,474,474,474,0,0,0,0,0,0,474,0,0,0,0,0,474,0,0,0,0,0,0,0,42,3,16,0,28,4,7,0,48,.,.,.,.,.,.,.,.,.,.,0,42,3,16,0,28,4,7,0,48,0,0,100,.,.,.,0,0,100
496052,32,41,41,0,41,21,0,20,0,0,41,21,0,20,0,0,0,0,0,0,0,0,0,0,32,61,0,7,0,0,0,29,0,0,32,61,0,7,0,0,0,29,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
496061,226,623,249,374,623,568,0,55,0,0,249,230,0,19,0,0,374,338,0,36,0,0,0,5,27,10,0,45,5,7,0,98,0,5,27,10,0,45,5,7,0,98,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
496186,232,288,288,0,288,76,164,48,0,0,288,76,164,48,0,0,0,0,0,0,0,0,1,8,15,15,1,17,43,0,0,10,1,8,15,15,1,17,43,0,0,10,.,.,.,.,.,.,.,.,.,.,100,0,0,100,0,0,.,.,.
496265,89,91,91,0,91,42,2,47,0,0,91,42,2,47,0,0,0,0,0,0,0,0,0,0,3,5,1,86,4,0,0,15,0,0,3,5,1,86,4,0,0,15,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
496283,147,211,211,0,203,11,119,64,9,8,203,11,119,64,9,8,0,0,0,0,0,0,1,0,2,18,0,74,1,3,0,86,1,0,2,17,0,74,1,3,0,88,0,0,0,25,0,75,0,0,0,38,4,96,0,4,96,0,0,100,0
496326,217,334,334,0,314,4,166,107,37,20,314,4,166,107,37,20,0,0,0,0,0,0,1,3,6,12,1,67,4,6,0,87,1,3,6,13,1,67,3,6,0,88,0,10,5,0,0,75,10,0,0,80,11,89,0,12,88,0,0,100,0
