UNITID,FTE12MN,UNDUP,E12FT,E12PT,UNDUPUG,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12GRADFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,E12GRADPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON 
100654,4944,6681,5460,1221,5663,1680,361,3580,42,1018,4862,1551,300,3011,0,598,801,129,61,569,42,420,0,0,85,1,0,2,1,9,2,60,0,0,89,1,0,2,1,5,1,59,0,1,60,0,0,2,0,32,5,68,6,71,23,4,74,22,17,56,27
100663,20676,25963,16451,9512,15360,2494,1726,10560,580,10603,11061,2422,1118,7462,59,5390,4299,72,608,3098,521,5213,0,6,21,5,0,54,4,4,6,64,0,7,25,7,0,53,5,1,3,62,0,5,16,2,0,55,2,10,10,66,30,49,21,21,66,13,44,24,32
100690,425,916,422,494,351,0,257,94,0,565,206,0,159,47,0,216,145,0,98,47,0,349,1,1,57,3,0,36,0,2,0,58,0,1,68,3,0,26,0,1,0,67,1,2,51,3,0,41,0,2,0,52,100,0,0,100,0,0,100,0,0
100706,8200,11142,7299,3843,8536,1232,875,5978,451,2606,6509,1215,595,4688,11,790,2027,17,280,1290,440,1816,1,4,10,5,0,68,4,5,4,44,1,4,9,6,0,70,4,3,2,42,0,3,11,3,0,62,1,11,9,51,15,65,20,11,73,16,30,36,34
100724,3879,4425,3668,757,3899,1060,186,2652,1,526,3318,922,166,2230,0,350,581,138,20,422,1,176,0,0,90,1,0,4,1,1,2,64,0,0,93,1,0,2,1,1,2,64,0,1,73,1,0,21,1,1,2,70,13,75,12,7,81,12,55,33,12
100751,34949,42327,33049,9278,34616,7702,1948,23428,1538,7711,29005,7639,1269,20012,85,4044,5611,63,679,3416,1453,3667,0,2,12,5,0,73,3,1,3,58,0,1,11,5,0,75,4,1,2,56,0,2,13,5,0,65,2,2,11,64,19,40,41,14,44,42,43,20,36
100760,984,2218,571,1647,2218,382,151,714,971,0,571,244,52,271,4,0,1647,138,99,443,967,0,0,0,19,3,0,73,3,1,0,60,0,0,19,3,0,73,3,1,0,60,.,.,.,.,.,.,.,.,.,.,31,43,26,31,43,26,.,.,.
100812,2188,3844,1466,2378,3466,0,1203,2085,178,378,1425,0,689,732,4,41,2041,0,514,1353,174,337,1,1,15,4,0,73,3,2,0,68,1,1,13,4,0,75,3,2,0,69,2,2,35,5,0,53,2,1,0,60,60,34,6,55,38,7,100,0,0
100830,4707,6309,3900,2409,4796,601,601,2982,612,1513,3257,555,418,2150,134,643,1539,46,183,832,478,870,0,3,41,1,0,39,3,1,12,64,0,3,45,1,0,42,4,1,4,67,0,1,28,1,0,29,1,2,38,54,20,56,24,15,61,25,35,42,23
100858,29585,34568,27412,7156,26978,5374,1466,19501,637,7590,23607,5313,1251,16970,73,3805,3371,61,215,2531,564,3785,0,3,6,4,0,77,3,0,8,50,0,2,5,4,0,81,3,0,5,49,0,3,8,4,0,64,2,1,18,53,10,37,53,4,43,53,31,15,54
100937,1095,1105,1081,24,1105,250,32,808,15,0,1081,250,32,786,13,0,24,0,0,22,2,0,0,3,16,6,0,73,1,0,2,50,0,3,16,6,0,73,1,0,2,50,.,.,.,.,.,.,.,.,.,.,0,15,85,0,15,85,.,.,.
101028,910,1867,596,1271,1867,356,325,763,423,0,596,204,104,260,28,0,1271,152,221,503,395,0,0,1,46,3,0,38,8,4,0,66,0,1,46,3,0,38,8,4,0,66,.,.,.,.,.,.,.,.,.,.,16,48,36,16,48,36,.,.,.
101116,344,655,375,280,568,42,197,307,22,87,329,23,97,208,1,46,239,19,100,99,21,41,0,1,69,2,0,22,0,4,0,81,0,1,70,2,0,21,1,4,1,80,0,1,67,5,0,24,0,3,0,82,44,28,28,40,30,30,71,15,14
101143,1433,2539,1062,1477,2539,601,185,958,795,0,1062,409,101,515,37,0,1477,192,84,443,758,0,1,1,18,6,0,63,5,5,1,51,1,1,18,6,0,63,5,5,1,51,.,.,.,.,.,.,.,.,.,.,29,36,35,29,36,35,.,.,.
101161,5028,9388,3315,6073,9388,1893,751,4036,2708,0,3315,1203,346,1715,51,0,6073,690,405,2321,2657,0,1,1,24,4,0,64,4,2,0,59,1,1,24,4,0,64,4,2,0,59,.,.,.,.,.,.,.,.,.,.,29,37,34,29,37,34,.,.,.
101189,2947,3507,2600,907,2289,268,391,1398,232,1218,1566,204,287,1072,3,1034,723,64,104,326,229,184,1,2,38,3,0,51,2,2,2,59,0,1,40,3,0,49,2,2,3,58,1,2,35,3,0,54,1,3,0,62,47,22,30,39,30,31,63,8,29
101240,3194,5780,2304,3476,5780,1177,531,2925,1147,0,2304,784,262,1224,34,0,3476,393,269,1701,1113,0,0,1,19,6,0,69,3,0,1,60,0,1,19,6,0,69,3,0,1,60,.,.,.,.,.,.,.,.,.,.,30,45,25,30,45,25,.,.,.
101277,74,114,114,0,114,49,0,65,0,0,114,49,0,65,0,0,0,0,0,0,0,0,0,0,0,17,0,82,0,2,0,98,0,0,0,17,0,82,0,2,0,98,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
101286,2673,5144,1568,3576,5144,1137,411,2646,950,0,1568,625,147,786,10,0,3576,512,264,1860,940,0,0,1,30,5,0,58,4,2,0,68,0,1,30,5,0,58,4,2,0,68,.,.,.,.,.,.,.,.,.,.,20,36,43,20,36,43,.,.,.
101295,3879,7868,2666,5202,7868,1730,838,3109,2191,0,2666,1107,295,1178,86,0,5202,623,543,1931,2105,0,1,1,7,8,0,80,3,0,1,64,1,1,7,8,0,80,3,0,1,64,.,.,.,.,.,.,.,.,.,.,21,38,42,21,38,42,.,.,.
101301,1268,2489,657,1832,2489,491,131,802,1065,0,657,302,55,285,15,0,1832,189,76,517,1050,0,0,0,70,1,0,25,2,0,1,61,0,0,70,1,0,25,2,0,1,61,.,.,.,.,.,.,.,.,.,.,45,28,27,45,28,27,.,.,.
101365,589,1126,539,587,1114,301,174,637,2,12,528,110,77,341,0,11,586,191,97,296,2,1,0,1,63,3,0,29,3,2,0,78,0,1,62,3,0,29,3,2,0,78,0,0,83,0,0,8,0,8,0,92,32,24,44,31,25,44,100,0,0
101435,795,901,832,69,896,256,48,589,3,5,827,256,48,523,0,5,69,0,0,66,3,0,1,1,21,6,0,65,5,2,0,46,1,1,21,6,0,65,5,2,0,46,0,0,40,0,0,40,20,0,0,80,0,36,64,0,36,64,0,0,100
101453,79,163,46,117,101,6,25,58,12,62,37,6,6,24,1,9,64,0,19,34,11,53,1,2,8,4,0,85,1,0,0,13,2,0,6,4,0,87,1,0,0,16,0,5,11,3,0,81,0,0,0,8,62,28,10,57,28,15,69,29,2
101462,565,1260,338,922,1260,184,218,595,263,0,338,82,71,179,6,0,922,102,147,416,257,0,1,1,66,6,0,20,4,1,1,60,1,1,66,6,0,20,4,1,1,60,.,.,.,.,.,.,.,.,.,.,12,53,35,12,53,35,.,.,.
101471,461,699,487,212,699,479,18,202,0,0,487,335,13,139,0,0,212,144,5,63,0,0,0,0,53,1,0,46,0,0,0,28,0,0,53,1,0,46,0,0,0,28,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
101480,7956,11032,7388,3644,9214,1955,858,4830,1571,1818,6825,1823,615,3956,431,563,2389,132,243,874,1140,1255,0,1,23,0,0,62,0,11,2,60,0,1,23,0,0,61,0,13,1,59,0,1,22,0,0,68,0,5,3,66,25,57,18,17,63,20,66,27,6
101505,5082,12041,2631,9410,12041,1932,1055,5011,4043,0,2631,966,335,1284,46,0,9410,966,720,3727,3997,0,0,2,22,6,0,65,3,1,1,63,0,2,22,6,0,65,3,1,1,63,.,.,.,.,.,.,.,.,.,.,45,30,25,45,30,25,.,.,.
101514,5521,12815,2956,9859,12815,2242,898,5752,3923,0,2956,1025,303,1581,47,0,9859,1217,595,4171,3876,0,1,2,16,8,0,66,5,1,1,55,1,2,16,8,0,66,5,1,1,55,.,.,.,.,.,.,.,.,.,.,42,31,27,42,31,27,.,.,.
101569,2188,4492,1490,3002,4492,912,528,2287,765,0,1490,495,191,797,7,0,3002,417,337,1490,758,0,0,0,81,3,0,11,3,1,0,68,0,0,81,3,0,11,3,1,0,68,.,.,.,.,.,.,.,.,.,.,48,35,16,48,35,16,.,.,.
101587,4901,8789,7568,1221,3165,349,862,1894,60,5624,2273,344,799,1130,0,5295,892,5,63,764,60,329,1,0,33,2,0,49,2,12,2,76,1,0,38,2,0,45,2,9,2,71,1,0,30,2,0,52,1,13,1,79,76,12,12,38,29,33,97,3,1
101602,1275,2419,875,1544,2419,520,188,703,1008,0,875,418,77,353,27,0,1544,102,111,350,981,0,0,1,19,1,0,71,6,1,0,57,0,1,19,1,0,71,6,1,0,57,.,.,.,.,.,.,.,.,.,.,28,44,28,28,44,28,.,.,.
101648,324,329,329,0,329,192,2,135,0,0,329,192,2,135,0,0,0,0,0,0,0,0,1,3,22,7,1,60,5,2,0,27,1,3,22,7,1,60,5,2,0,27,.,.,.,.,.,.,.,.,.,.,0,48,52,0,48,52,.,.,.
101675,1478,1712,1592,120,1712,443,183,1080,6,0,1592,438,167,987,0,0,120,5,16,93,6,0,0,0,95,1,0,3,0,1,0,53,0,0,95,1,0,3,0,1,0,53,.,.,.,.,.,.,.,.,.,.,15,12,73,15,12,73,.,.,.
101693,1323,2066,1163,903,1784,261,116,793,614,282,1100,258,108,734,0,63,684,3,8,59,614,219,1,1,14,1,1,48,1,28,5,64,2,1,14,0,1,51,1,26,3,63,0,0,13,2,0,26,1,43,14,66,40,24,36,38,26,36,50,15,35
101709,2336,2894,2212,682,2385,493,152,1709,31,509,2039,478,137,1419,5,173,346,15,15,290,26,336,0,1,18,5,0,66,4,3,3,66,0,1,17,6,0,66,4,2,3,64,0,1,22,3,0,66,2,4,2,75,6,65,29,2,68,30,21,55,24
101736,1922,4475,1022,3453,4475,746,216,1658,1855,0,1022,454,87,468,13,0,3453,292,129,1190,1842,0,1,1,9,10,0,74,4,0,1,58,1,1,9,10,0,74,4,0,1,58,.,.,.,.,.,.,.,.,.,.,19,34,47,19,34,47,.,.,.
101879,6905,10645,6207,4438,7283,1052,789,4045,1397,3362,5186,1033,639,3340,174,1021,2097,19,150,705,1223,2341,1,3,13,4,0,70,3,1,4,64,1,3,11,4,0,72,4,2,4,63,0,3,17,4,0,67,3,1,5,66,46,43,12,27,58,15,86,9,5
101897,1636,3350,1022,2328,3350,597,69,1312,1372,0,1022,413,32,535,42,0,2328,184,37,777,1330,0,2,1,2,15,0,71,6,2,1,66,2,1,2,15,0,71,6,2,1,66,.,.,.,.,.,.,.,.,.,.,30,51,18,30,51,18,.,.,.
101912,1435,1639,1427,212,1551,331,65,1110,45,88,1365,325,64,976,0,62,186,6,1,134,45,26,0,0,77,8,0,1,2,2,8,56,0,0,78,8,0,0,3,2,9,56,0,7,58,14,0,9,1,3,8,56,13,4,83,9,4,87,99,0,1
101994,310,501,186,315,501,105,68,158,170,0,186,94,26,63,3,0,315,11,42,95,167,0,1,1,64,1,0,31,2,0,0,64,1,1,64,1,0,31,2,0,0,64,.,.,.,.,.,.,.,.,.,.,4,54,42,4,54,42,.,.,.
102030,1720,3880,1302,2578,3880,862,320,1548,1150,0,1302,600,154,547,1,0,2578,262,166,1001,1149,0,1,2,61,3,0,27,4,2,1,65,1,2,61,3,0,27,4,2,1,65,.,.,.,.,.,.,.,.,.,.,17,33,50,17,33,50,.,.,.
102049,5985,6140,5791,349,3722,908,138,2656,20,2418,3610,894,129,2587,0,2181,112,14,9,69,20,237,0,2,10,4,0,80,2,1,1,67,0,1,6,4,0,84,2,0,1,66,0,2,15,4,0,73,2,3,0,69,1,40,59,0,34,66,2,49,50
102058,20,44,15,29,31,27,2,2,0,13,12,10,1,1,0,3,19,17,1,1,0,10,0,0,100,0,0,0,0,0,0,30,0,0,100,0,0,0,0,0,0,29,0,0,100,0,0,0,0,0,0,31,0,100,0,0,100,0,0,100,0
102067,3064,7024,1909,5115,7024,1094,680,3091,2159,0,1909,717,187,950,55,0,5115,377,493,2141,2104,0,0,1,37,3,0,54,2,0,1,61,0,1,37,3,0,54,2,0,1,61,.,.,.,.,.,.,.,.,.,.,46,33,21,46,33,21,.,.,.
102076,1991,4992,1212,3780,4992,691,247,1030,3024,0,1212,540,85,469,118,0,3780,151,162,561,2906,0,0,1,8,9,0,78,3,1,0,60,0,1,8,9,0,78,3,1,0,60,.,.,.,.,.,.,.,.,.,.,73,20,6,73,20,6,.,.,.
102094,13674,16101,12686,3415,9912,1851,975,6636,450,6189,7868,1820,796,5232,20,4818,2044,31,179,1404,430,1371,1,4,22,4,0,62,4,2,2,68,1,4,23,5,0,59,4,3,1,61,1,4,19,4,0,65,3,2,3,80,33,40,27,10,62,28,70,6,24
102234,1144,1317,1009,308,1109,195,196,677,41,208,979,190,164,625,0,30,130,5,32,52,41,178,1,2,14,8,0,62,2,5,5,54,1,2,14,9,0,63,2,4,6,57,1,2,16,8,1,59,0,11,1,39,20,63,17,10,73,17,71,9,20
102270,827,864,657,207,864,124,108,566,66,0,657,102,86,464,5,0,207,22,22,102,61,0,1,0,93,1,0,6,0,0,0,57,1,0,93,1,0,6,0,0,0,57,.,.,.,.,.,.,.,.,.,.,11,42,47,11,42,47,.,.,.
102298,1374,1410,1339,71,1342,276,61,1005,0,68,1280,255,60,965,0,59,62,21,1,40,0,9,0,0,80,5,0,4,2,2,7,52,1,0,79,5,0,4,2,2,8,51,0,0,93,0,0,3,1,1,1,75,32,56,12,29,58,13,90,10,0
102313,1362,2549,972,1577,2549,612,322,1226,389,0,972,359,115,494,4,0,1577,253,207,732,385,0,0,1,75,3,0,17,2,1,0,63,0,1,75,3,0,17,2,1,0,63,.,.,.,.,.,.,.,.,.,.,30,46,24,30,46,24,.,.,.
102368,11547,18782,9049,9733,13713,1839,1586,9683,605,5069,7676,1442,849,5301,84,1373,6037,397,737,4382,521,3696,0,1,33,5,0,50,4,5,2,64,0,1,33,5,0,52,4,3,2,64,0,2,32,6,0,45,3,9,2,63,54,24,22,49,27,24,70,15,15
102377,2792,2904,2572,332,2383,551,70,1762,0,521,2112,545,66,1501,0,460,271,6,4,261,0,61,0,1,83,1,0,2,2,10,0,64,0,1,89,0,0,1,3,5,0,62,1,2,54,4,0,9,1,30,0,74,0,0,100,0,0,100,0,0,100
102395,116,300,89,211,134,6,36,76,16,166,11,0,4,7,0,78,123,6,32,69,16,88,1,1,29,9,0,51,6,4,0,27,1,1,24,13,0,49,6,6,1,24,1,1,33,5,0,52,5,2,0,29,100,0,0,100,0,0,100,0,0
102429,2276,4884,1258,3626,4884,962,290,1925,1707,0,1258,518,83,638,19,0,3626,444,207,1287,1688,0,0,1,18,3,0,73,3,2,0,62,0,1,18,3,0,73,3,2,0,62,.,.,.,.,.,.,.,.,.,.,25,33,42,25,33,42,.,.,.
102553,6855,17368,4677,12691,16548,1258,833,6750,7707,820,4517,777,375,3021,344,160,12031,481,458,3729,7363,660,5,6,3,7,2,53,9,14,1,62,5,6,3,7,2,52,9,14,1,62,6,3,3,6,2,65,7,5,2,66,45,36,19,44,36,19,52,33,15
102580,29,52,26,26,52,7,9,29,7,0,26,5,5,16,0,0,26,2,4,13,7,0,0,2,2,0,2,90,4,0,0,37,0,2,2,0,2,90,4,0,0,37,.,.,.,.,.,.,.,.,.,.,0,21,79,0,21,79,.,.,.
102614,4293,10804,3007,7797,9606,803,722,3546,4535,1198,2605,584,315,1586,120,402,7001,219,407,1960,4415,796,15,2,4,8,1,49,9,10,2,64,17,2,4,8,1,48,9,10,1,64,6,3,1,6,0,60,8,8,8,62,45,29,27,45,27,28,46,38,16
102632,1126,3473,666,2807,3125,210,230,833,1852,348,579,127,111,293,48,87,2546,83,119,540,1804,261,14,3,1,6,1,53,11,8,1,63,15,3,1,7,2,52,12,8,1,62,7,3,2,5,0,68,5,5,5,73,50,17,32,48,16,35,69,27,4
102669,451,691,400,291,499,52,119,265,63,192,306,38,69,195,4,94,193,14,50,70,59,98,25,4,3,9,1,31,12,15,1,76,28,5,3,9,1,28,12,13,1,79,20,1,1,9,2,38,11,18,1,68,6,0,94,2,0,98,16,0,84
102711,114,913,128,785,913,781,0,132,0,0,128,103,0,25,0,0,785,678,0,107,0,0,29,1,1,3,1,45,6,13,0,25,29,1,1,3,1,45,6,13,0,25,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
102845,6723,3735,3735,0,3735,1759,68,1908,0,0,3735,1759,68,1908,0,0,0,0,0,0,0,0,11,3,6,12,4,39,8,17,1,74,11,3,6,12,4,39,8,17,1,74,.,.,.,.,.,.,.,.,.,.,26,74,0,26,74,0,.,.,.
103501,470,474,474,0,474,316,158,0,0,0,474,316,158,0,0,0,0,0,0,0,0,0,18,20,9,10,2,31,5,4,0,87,18,20,9,10,2,31,5,4,0,87,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
103741,154,235,177,58,235,105,0,130,0,0,177,83,0,94,0,0,58,22,0,36,0,0,1,1,9,51,0,25,5,9,0,95,1,1,9,51,0,25,5,9,0,95,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
103893,1358,1977,1977,0,1977,635,463,879,0,0,1977,635,463,879,0,0,0,0,0,0,0,0,5,2,9,56,0,19,1,7,1,81,5,2,9,56,0,19,1,7,1,81,.,.,.,.,.,.,.,.,.,.,18,42,40,18,42,40,.,.,.
103909,623,931,931,0,931,239,272,420,0,0,931,239,272,420,0,0,0,0,0,0,0,0,8,3,8,46,0,26,1,7,1,88,8,3,8,46,0,26,1,7,1,88,.,.,.,.,.,.,.,.,.,.,0,44,56,0,44,56,.,.,.
103927,553,781,781,0,781,288,137,356,0,0,781,288,137,356,0,0,0,0,0,0,0,0,2,2,7,63,0,18,2,5,1,83,2,2,7,63,0,18,2,5,1,83,.,.,.,.,.,.,.,.,.,.,0,58,42,0,58,42,.,.,.
103954,41,72,72,0,72,12,0,60,0,0,72,12,0,60,0,0,0,0,0,0,0,0,1,4,13,50,0,22,10,0,0,94,1,4,13,50,0,22,10,0,0,94,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
103963,716,689,674,15,689,298,0,391,0,0,674,293,0,381,0,0,15,5,0,10,0,0,12,1,12,39,0,30,6,1,0,12,12,1,12,39,0,30,6,1,0,12,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
104090,1070,1465,1465,0,1413,71,484,858,0,52,1413,71,484,858,0,52,0,0,0,0,0,0,6,4,14,32,1,27,3,13,0,87,6,4,14,32,1,27,2,14,0,88,4,6,25,27,0,27,6,6,0,67,30,70,0,27,73,0,100,0,0
104151,76398,85163,73402,11761,70140,14856,6590,47732,962,15023,62026,14641,5364,41880,141,11376,8114,215,1226,5852,821,3647,1,8,4,24,0,44,5,3,12,49,1,8,5,26,0,46,5,3,6,50,1,5,3,11,0,35,3,3,39,48,7,67,26,7,76,16,4,26,71
104160,5065,12342,2451,9891,12342,3855,419,6403,1665,0,2451,803,106,1363,179,0,9891,3052,313,5040,1486,0,1,1,2,63,0,14,2,17,1,56,1,1,2,63,0,14,2,17,1,56,.,.,.,.,.,.,.,.,.,.,25,35,40,25,35,40,.,.,.
104179,45063,54374,37384,16990,42276,8824,3928,27652,1872,12098,30913,6164,2388,22255,106,6471,11363,2660,1540,5397,1766,5627,1,5,4,26,0,47,5,5,6,55,1,5,4,28,0,48,5,4,5,55,2,7,4,19,0,46,4,7,13,55,22,35,42,19,42,39,33,12,55
104346,3234,8285,1512,6773,8285,2422,1026,4062,775,0,1512,568,211,724,9,0,6773,1854,815,3338,766,0,4,2,7,37,0,39,4,6,1,64,4,2,7,37,0,39,4,6,1,64,.,.,.,.,.,.,.,.,.,.,23,61,16,23,61,16,.,.,.
104391,49,100,100,0,100,87,0,13,0,0,100,87,0,13,0,0,0,0,0,0,0,0,0,1,2,20,2,57,1,17,0,93,0,1,2,20,2,57,1,17,0,93,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
104425,5895,9396,5410,3986,9396,2613,2122,3834,827,0,5410,2136,1705,1535,34,0,3986,477,417,2299,793,0,1,3,8,34,1,48,4,1,1,38,1,3,8,34,1,48,4,1,1,38,.,.,.,.,.,.,.,.,.,.,21,21,59,21,21,59,.,.,.
104443,45,73,54,19,73,30,0,43,0,0,54,25,0,29,0,0,19,5,0,14,0,0,4,1,26,16,0,26,1,25,0,92,4,1,26,16,0,26,1,25,0,92,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
104568,423,705,385,320,705,495,0,210,0,0,385,279,0,106,0,0,320,216,0,104,0,0,2,1,11,37,0,41,2,6,0,98,2,1,11,37,0,41,2,6,0,98,.,.,.,.,.,.,.,.,.,.,0,100,0,0,100,0,.,.,.
104577,2752,6588,1579,5009,6588,998,345,4067,1178,0,1579,571,81,917,10,0,5009,427,264,3150,1168,0,6,1,2,22,0,64,1,4,0,58,6,1,2,22,0,64,1,4,0,58,.,.,.,.,.,.,.,.,.,.,14,25,61,14,25,61,.,.,.
104586,3010,3265,3048,217,3224,801,163,2220,40,41,3012,775,152,2084,1,36,212,26,11,136,39,5,1,6,2,15,0,58,6,3,9,26,1,6,2,15,0,58,6,3,9,26,0,5,5,5,0,41,5,2,37,22,1,20,80,1,20,79,0,5,95
104665,8,6,6,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,17,.,.,.,.,.,.,.,.,.,.,0,0,0,50,0,50,0,0,0,17,0,0,100,.,.,.,0,0,100
104708,7358,20921,5369,15552,20921,3373,4294,10057,3197,0,5369,1617,980,2474,298,0,15552,1756,3314,7583,2899,0,1,5,6,39,0,41,5,2,1,56,1,5,6,39,0,41,5,2,1,56,.,.,.,.,.,.,.,.,.,.,26,35,38,26,35,38,.,.,.
104717,91848,155128,23849,131279,96807,10551,27232,54499,4525,58321,23838,6885,2329,14527,97,11,72969,3666,24903,39972,4428,58310,1,3,21,20,1,45,4,4,1,73,1,3,17,23,1,46,4,4,1,71,1,4,26,17,1,44,3,4,1,77,83,14,3,76,19,5,94,5,1
105145,2598,7364,1430,5934,7364,847,2616,3025,876,0,1430,279,453,587,111,0,5934,568,2163,2438,765,0,3,4,11,47,0,29,4,2,0,63,3,4,11,47,0,29,4,2,0,63,.,.,.,.,.,.,.,.,.,.,33,28,39,33,28,39,.,.,.
105154,8485,24462,6187,18275,24462,3076,6234,11768,3384,0,6187,1550,1317,2964,356,0,18275,1526,4917,8804,3028,0,3,4,6,32,0,47,5,2,1,55,3,4,6,32,0,47,5,2,1,55,.,.,.,.,.,.,.,.,.,.,32,34,35,32,34,35,.,.,.
105206,2159,5078,830,4248,5078,911,278,2751,1138,0,830,162,43,504,121,0,4248,749,235,2247,1017,0,2,2,2,26,0,62,3,1,1,67,2,2,2,26,0,62,3,1,1,67,.,.,.,.,.,.,.,.,.,.,36,32,32,36,32,32,.,.,.
105215,1049,1228,1228,0,1228,399,253,576,0,0,1228,399,253,576,0,0,0,0,0,0,0,0,2,1,5,16,1,61,12,4,0,7,2,1,5,16,1,61,12,4,0,7,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
105297,885,1733,937,796,1733,114,87,1374,158,0,937,82,59,783,13,0,796,32,28,591,145,0,97,0,0,0,0,1,0,0,0,76,97,0,0,0,0,1,0,0,0,76,.,.,.,.,.,.,.,.,.,.,76,22,2,76,22,2,.,.,.
105330,28093,32063,24580,7483,26528,5489,2642,17644,753,5535,21581,4881,1820,14593,287,2999,4947,608,822,3051,466,2536,3,2,3,25,0,54,5,5,2,63,3,2,3,26,0,54,5,4,2,63,4,2,4,18,0,54,4,8,5,67,25,47,29,20,52,28,46,19,34
105349,1363,4544,484,4060,4544,277,571,698,2998,0,484,63,76,116,229,0,4060,214,495,582,2769,0,25,1,0,14,0,42,2,15,0,63,25,1,0,14,0,42,2,15,0,63,.,.,.,.,.,.,.,.,.,.,45,17,38,45,17,38,.,.,.
105367,714,1326,943,383,506,0,110,374,22,820,245,0,73,168,4,698,261,0,37,206,18,122,2,35,8,19,0,33,2,1,0,65,3,3,9,33,0,47,3,1,0,75,2,54,6,10,0,25,1,2,0,59,49,51,0,73,27,0,34,66,0
105428,4733,14232,3228,11004,14232,1629,3974,6669,1960,0,3228,675,856,1410,287,0,11004,954,3118,5259,1673,0,2,3,9,54,0,25,4,2,1,64,2,3,9,54,0,25,4,2,1,64,.,.,.,.,.,.,.,.,.,.,32,35,33,32,35,33,.,.,.
105525,11251,32415,5535,26880,32415,3519,1948,15615,11333,0,5535,1182,463,3580,310,0,26880,2337,1485,12035,11023,0,2,3,5,46,0,37,3,4,1,57,2,3,5,46,0,37,3,4,1,57,.,.,.,.,.,.,.,.,.,.,29,29,42,29,29,42,.,.,.
105534,2989,3911,3911,0,3800,441,1468,1891,0,111,3800,441,1468,1891,0,111,0,0,0,0,0,0,2,7,6,41,1,34,7,1,0,82,2,7,6,41,1,34,7,1,0,82,3,5,5,16,0,61,8,2,0,79,61,1,38,60,1,39,100,0,0
105543,966,1232,1232,0,1232,321,310,601,0,0,1232,321,310,601,0,0,0,0,0,0,0,0,22,2,2,50,0,16,8,1,0,84,22,2,2,50,0,16,8,1,0,84,.,.,.,.,.,.,.,.,.,.,7,0,93,7,0,93,.,.,.
105589,955,1366,645,721,491,45,95,312,39,875,353,42,78,226,7,292,138,3,17,86,32,583,1,2,3,4,0,65,2,22,0,76,2,2,3,6,0,63,2,21,0,67,1,2,3,3,0,66,2,23,0,81,78,0,22,38,0,62,100,0,0
105659,968,1634,1634,0,1634,876,0,758,0,0,1634,876,0,758,0,0,0,0,0,0,0,0,16,1,13,32,1,34,1,3,0,8,16,1,13,32,1,34,1,3,0,8,.,.,.,.,.,.,.,.,.,.,0,3,97,0,3,97,.,.,.
105668,8234,30625,5069,25556,30625,2916,10128,8065,9516,0,5069,855,1948,1100,1166,0,25556,2061,8180,6965,8350,0,2,4,7,28,0,50,5,4,1,59,2,4,7,28,0,50,5,4,1,59,.,.,.,.,.,.,.,.,.,.,57,5,38,57,5,38,.,.,.
105677,25,29,29,0,29,14,0,15,0,0,29,14,0,15,0,0,0,0,0,0,0,0,0,3,0,7,0,90,0,0,0,0,0,3,0,7,0,90,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
105747,3639,11583,2428,9155,11583,1308,3895,4437,1943,0,2428,523,735,1046,124,0,9155,785,3160,3391,1819,0,3,4,5,25,0,54,5,3,1,57,3,4,5,25,0,54,5,3,1,57,.,.,.,.,.,.,.,.,.,.,33,33,34,33,33,34,.,.,.
105792,1787,5243,1282,3961,5243,902,1457,1901,983,0,1282,364,291,517,110,0,3961,538,1166,1384,873,0,3,3,13,54,0,19,4,2,1,60,3,3,13,54,0,19,4,2,1,60,.,.,.,.,.,.,.,.,.,.,35,34,31,35,34,31,.,.,.
