agency,organization_name,organization_state,organization_city,organization_type,likely_higher_ed,match_method,disrupted_award_remaining
nih,Boston University Medical Campus,Massachusetts,Boston,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,547870.86
nsf,Appalachian College Association,Tennessee,Walland,Standard Grant,TRUE,manual_include_unmatched,526168
nsf,Research Foundation of the City University of New York,New York,New York,Standard Grant,TRUE,manual_include_unmatched,503346.606489945
nsf,Middlesex Community College,Massachusetts,Bedford,Standard Grant,TRUE,manual_include_unmatched,499878.65
nsf,Rio Hondo College,California,City Of Industry,Standard Grant,TRUE,manual_include_unmatched,486129
nih,Loyola University of Chicago,Illinois,Chicago,SCHOOLS OF ARTS AND SCIENCES,TRUE,manual_include_unmatched,461730.53
nsf,University of Missouri-Saint Louis,Missouri,Saint Louis,Standard Grant,TRUE,manual_include_unmatched,455864.86
nsf,The Texas A&M University System HSC,Texas,College Station,Continuing Grant,TRUE,manual_include_unmatched,449944.73
nsf,Utah State University,Utah,Logan,Continuing Grant,TRUE,manual_include_unmatched,440592.24
nsf,Southwestern College,California,Chula Vista,Standard Grant,TRUE,manual_include_unmatched,393156.48
nsf,University of Puerto Rico Mayaguez,Puerto Rico,Mayaguez,Standard Grant,TRUE,manual_include_unmatched,384053.57
nsf,San Jacinto College District,Texas,Pasadena,Standard Grant,TRUE,manual_include_unmatched,377145.22
nih,University of Kansas Medical Center,Kansas,Kansas City,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,374022
epa,University of Houston System,Texas,Houston,State Institution of Higher Learning,TRUE,manual_include_unmatched,369536.61
nih,University of the Pacific-Stockton,California,Stockton,SCHOOLS OF PHARMACY,TRUE,manual_include_unmatched,362788.93
epa,"The Medical College of Wisconsin, Inc.",Wisconsin,Milwaukee,Private University,TRUE,manual_include_unmatched,359999.93
nsf,Georgia Piedmont Technical College,Georgia,Clarkston,Standard Grant,TRUE,manual_include_unmatched,331311.02
nih,Texas Tech University Health Sciences Center at El Paso,Texas,El Paso,UNIVERSITY-WIDE,TRUE,manual_include_unmatched,316648.67
nsf,University of Alaska Fairbanks Campus,Alaska,Fairbanks,Standard Grant,TRUE,manual_include_unmatched,301156.34
nsf,University of Vermont & State Agricultural College,Vermont,Burlington,Standard Grant,TRUE,manual_include_unmatched,291708.581578947
samhsa,"University of California, San Francisco",California,San Francisco,"Junior College, College & University",TRUE,manual_include_unmatched,280270.13
nsf,West Hills Community College,California,Coalinga,Standard Grant,TRUE,manual_include_unmatched,278208.18
nih,University of Connecticut Sch of Med/Dnt,Connecticut,Farmington,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,277412.91000000003
cdc,University of Pittsburgh - of the Commonwealth System of Higher Education,Pennsylvania,Pittsburgh,"Junior College, College & University",TRUE,manual_include_unmatched,262813.76
nsf,Alamo Community College District - St. Philip's College,Texas,San Antonio,Standard Grant,TRUE,likely_higher_ed_unmatched,246087.99
nsf,University of Kansas Center for Research Inc,Kansas,Lawrence,Standard Grant,TRUE,manual_include_unmatched,245115.64
nih,China Medical University,,Shenyang,Unavailable,TRUE,manual_include_unmatched,239000
nih,New York University d/b/a NYU Long Island School of Medicine,New York,Mineola,UNIVERSITY-WIDE,TRUE,manual_include_unmatched,219376.3
nsf,University of Hawaii,Hawaii,Honolulu,Standard Grant,TRUE,manual_include_unmatched,206058.78999999992
nsf,University of North Carolina at Wilmington,North Carolina,Wilmington,Standard Grant,TRUE,manual_include_unmatched,191816.35
nih,Meharry Medical College,Tennessee,Nashville,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,184206.46
nsf,Columbus State Community College,Ohio,Columbus,Standard Grant,TRUE,manual_include_unmatched,181187.214611872
nsf,SUNY Onondaga Community College,New York,Syracuse,Standard Grant,TRUE,manual_include_unmatched,181187.214611872
nsf,Allan Hancock College,California,Santa Maria,Continuing Grant,TRUE,manual_include_unmatched,176288.57
nsf,Spelman College,Georgia,Atlanta,Standard Grant,TRUE,manual_include_unmatched,175935
nih,University of North Carolina Charlotte,North Carolina,Charlotte,SCHOOLS OF ARTS AND SCIENCES,TRUE,manual_include_unmatched,168710.56
nsf,Riverside Community College District/Riverside City College,California,Riverside,Standard Grant,TRUE,manual_include_unmatched,147749.96
epa,Research Foundation of the City University of New York,New York,New York,State Institution of Higher Learning,TRUE,manual_include_unmatched,145838.91
nsf,Loyola University of Chicago,Illinois,Chicago,Continuing Grant,TRUE,manual_include_unmatched,145316.37
nsf,Lehigh Carbon Community College,Pennsylvania,Schnecksville,Standard Grant,TRUE,manual_include_unmatched,141740.99
nih,Rockefeller University,New York,New York,GRADUATE SCHOOLS,TRUE,manual_include_unmatched,123961.71000000002
nih,University of Puerto Rico Medical Sciences,Puerto Rico,San Juan,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,115301.82
nsf,Weber State University,Utah,Ogden,Standard Grant,TRUE,manual_include_unmatched,113141.46
nsf,San Antonio College,Texas,San Antonio,Standard Grant,TRUE,manual_include_unmatched,110047.55
nsf,University of Puerto Rico at Carolina,Puerto Rico,Carolina,Standard Grant,TRUE,manual_include_unmatched,102583.736625514
nsf,Claremont Graduate University,California,Claremont,Standard Grant,TRUE,manual_include_unmatched,88179.68
epa,Georgia Southern University Research & Service Foundation Inc,Georgia,Statesboro,State Institution of Higher Learning,TRUE,manual_include_unmatched,86899.53
nih,University of Texas Health Sciences Center Houston,Texas,Houston,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,84270.42000000001
nsf,CUNY Queensborough Community College,New York,Bayside,Standard Grant,TRUE,manual_include_unmatched,83864.92
nsf,University of Guam,Guam,Mangilao,Standard Grant,TRUE,manual_include_unmatched,80072.22
epa,Hartford Parent University Inc,Connecticut,Hartford,Not for Profit,TRUE,manual_include_unmatched,76778.55
nsf,Cuesta College,California,San Luis Obispo,Continuing Grant,TRUE,manual_include_unmatched,74812.56
