agency,source_file,grant_id,grant_id_core,status,status_bucket,currently_disrupted,organization_name,organization_name_display,organization_state,organization_city,organization_type,project_title,project_abstract,is_pass_through_or_grantmaker,pass_through_keyword_match,start_date,original_end_date,termination_date,reinstatement_date,award_value,award_outlaid,award_remaining,remaining_field,award_id_string,source_url,detail_url,likely_higher_ed,matched_unitid,tracker_institution_name,tracker_city,tracker_state,tracker_control_label,tracker_category,match_method,in_financial_tracker
nih,nih_terminations.csv,3R37HD090153-08S1,R37HD090153,❌ Terminated,currently_disrupted,TRUE,UNIVERSITY OF CONNECTICUT STORRS,University of Connecticut Storrs,Connecticut,Storrs-Mansfield,SCHOOLS OF ARTS AND SCIENCES,Tracking neurocognitive changes during evidence-based reading instruction in typically and atypically developing children,"Project Summary Research goals for the R37 extension (Year 6-10): We maintain the overarching goal of understanding variation in response to reading remediation in reading disabled (RD) learners with dynamic brain/behavior tracking designed to yield novel insights into how remediation modifies brain organization for reading, and why it fails to do so adequately for some RD children. In the proposed continuation, we leverage major discoveries from the initial phase on reliable cognitive and neurobiological predictors of differential responsiveness to conventional in-school treatments (the how and why) to next examine what might constitute a more effective code training and neurocognitive focus for these low-responders. The obvious next steps are: 1) to understand the neurocognitive reasons why children exhibit this component processing variability by systematically examining basic processing capacities for each component dimension, at both the cognitive and neural levels of analysis. (Aim 2A); 2) to follow this with targeted adaptive learning experiments (2-3 days) focused on how profiles (measured in Aim 2A) predict neurocognitive responses to focused code learning experiments (Aim 2B); and finally, 3) to build upon key neurocognitive insights from both Aims 2A and 2B and transition to examining realistic short-term treatment opportunities (14 weeks; Aim 2C). These extended “proto-treatment“ studies will employ Education Technology to deliver varied content that differentially places the training focus on O, P, or S component processing dimensions at different points during training, and with neurocognitive predictors and concurrent imaging during this extended treatment develop and test brain-based models of learner by content interactions. (The use of Education Technology is encouraged by its successful employment in the current grant cycle and in two other federally funded projects that our team is conducting.) We will build upon our progress with both pre-treatment brain imaging (with fMRI/MRS) and frequent sampling of dynamic brain/behavior changes (with integrated fNIRS/EEG tracking) during learning opportunities at different timescales to further our understanding of the dynamics of brain/behavior dependencies in code learning and how treatment modulates these inter-related levels of analysis. We will recruit waves of TD and RD cohorts (total N = 180; ages 7- 8) to participate in all Aim 2 studies.",FALSE,,,,2025-05-05,,4811346,4026468,784878,total_estimated_remaining,ASST_NON_R37HD090153_7529,https://www.usaspending.gov/award/ASST_NON_R37HD090153_7529,https://reporter.nih.gov/project-details/11090036,TRUE,,,,,,,manual_include_unmatched,FALSE
nih,nih_terminations.csv,3R01DK139109-01S1,R01DK139109,❌ Terminated,currently_disrupted,TRUE,DUKE UNIVERSITY,Duke University,North Carolina,Durham,BIOMED ENGR/COL ENGR/ENGR STA,3D real-time super-resolution cavitation mapping in laser lithotripsy of urinary stone disease,"Laser lithotripsy (LL) is commonly used for kidney stone treatment, with cavitation playing a crucial role in stone fragmentation. However, the relationship between cavitation activities and stone damage remains unclear. This supplement study by Anthony DiSpirito will utilize deep learning to predict stone damage based on passive cavitation mapping (PCM) signals. A three-dimensional PCM system will be employed, along with B-mode Ultrasound (US) for data acquisition. Deep learning enables the optimization of LL procedures by automating feature selection and identifying key factors driving stone damage. Our approach will offer valuable insights into medical practice, advancing the efficacy of LL treatments. We will adopt deep learning module combined with cavitation activities information, and we can better predict the potential damaged induced by bubble collapsing. Our result will also demonstrate the strong correlation between bubble collapsing information with stone crater damage. This approach can also be further explored with more sophisticated scenarios and clinical applications.",FALSE,,,,2025-04-29,,1233310,451034,782276,total_estimated_remaining,ASST_NON_R01DK139109_7529,https://www.usaspending.gov/award/ASST_NON_R01DK139109_7529,https://reporter.nih.gov/project-details/11100982,TRUE,198419,Duke University,Durham,North Carolina,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",normalized_name_city_state,TRUE
nih,nih_terminations.csv,3R01ES033054-04S1,R01ES033054,❌ Terminated,currently_disrupted,TRUE,UNIVERSITY OF PENNSYLVANIA,University of Pennsylvania,Pennsylvania,Philadelphia,SCHOOLS OF MEDICINE,Impact of pre- and postnatal chemical mixture exposures on child neurobehavior and neuroimaging,"Project Summary One in six children in the U.S. and Canada have one or more learning or behavioral problems, such as learning disability, anxiety, autism spectrum disorder, conduct disorder, depression, or attention deficit hyperactivity disorder (ADHD). Early brain development is sensitive to toxicant exposures, including heavy metals, persistent organic pollutants, and endocrine disrupting chemicals. Exposure to mixtures of environmental chemicals is a reality in children, and chemical mixtures may have different modes of action affecting neuronal proliferation, migration, differentiations, synaptic formation/trimming/plasticity, myelination, and neurotransmitters, resulting in adverse impact on the central nervous system. Majority of environmental epidemiologic studies have only examined the impact of a single chemical on neurobehavioral outcomes. Recent development and application of mixture statistical methods will provide great potential to reveal the impact of an individual chemical, interactions between chemicals, and cumulative exposure. These methods have only been applied in limited studies of child neurobehavior and none has been used for neuroimaging outcomes. We will use two existing birth cohorts to examine the impact of both pre- and postnatal exposures to chemical mixtures on child neurobehavior. The Health Outcomes and Measures of the Environment (HOME) Study is a Cincinnati-based birth cohort of 400 pregnant women with children followed up to age 12 years, and the Maternal-Infant Research on Environmental Chemicals (MIREC) is a Canadian study of 1983 pregnant women with children followed up to age 9-11 years. The two North American birth cohorts both measured over 60 environmental contaminants, including lead, mercury, cadmium, arsenic, polybrominated diphenyl ethers, polychlorinated biphenyls, perfluoroalkyl substances, organochlorine and organophosphate pesticides, bisphenol A, phthalates, triclosan, and organophosphate flame retardants, as well as child cognitive abilities (n>1000), behavior (n>1000), and neuroimaging (n=390). We will utilize advanced statistical methods for chemical mixtures, including Elastic Net (ENET) for variable selection, Sparse Partial Least Squares (SPLS) regression for individual chemical effect estimation, and Bayesian Kernel Machine Regression (BKMR) for interactions, nonlinearities, and joint effects. This project will be among the first to test and quantify the potential impact of prenatal and postnatal exposures to chemical mixtures on neurobehavioral and neuroimaging outcomes in well-established cohorts. The results have the potential to greatly increase our understanding of developmental neurotoxicity of chemical mixtures in children and affect environmental health policy making.",FALSE,,,,2025-04-28,,3302255,2520094,782161,total_estimated_remaining,ASST_NON_R01ES033054_7529,https://www.usaspending.gov/award/ASST_NON_R01ES033054_7529,https://reporter.nih.gov/project-details/11077007,TRUE,215062,University of Pennsylvania,Philadelphia,Pennsylvania,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",normalized_name_city_state,TRUE
nih,nih_terminations.csv,3R01AG072658-03S2,R01AG072658,❌ Terminated,currently_disrupted,TRUE,UNIVERSITY OF FLORIDA,University of Florida,Florida,Gainesville,SCHOOLS OF ARTS AND SCIENCES,Characterizing and modulating neurocognitive processes of learning to trust and distrust in aging,"Project Summary. Much of human interaction is based on trust. Aging has been associated with deficits in trust- related decision making, likely further exacerbated in age-associated neurodegenerative disease (Alzheimer's disease/AD), possibly underlying the dramatically growing public health problem of elder fraud. Optimal trust- related decision making and avoiding exploitation require the ability to learn about the trustworthiness of social partners across multiple interactions, but the role that learning plays in determining age deficits in trust decisions is currently unknown. To address this gap, this project will (i) characterize basic cognitive processes and neural mechanisms in learning to trust and distrust in healthy aging and in older individuals with subjective cognitive decline (SCD) and a family history of AD, representing an `early' preclinical AD group; and (ii) probe the malleability of these processes with training to form the foundation for future clinical intervention toward reducing exploitation vulnerability in aging. The proposed work is conceptually embedded in the Changes in Integration for Social Decisions in Aging (CISDA) framework. This framework describes how the integration of decision- relevant information is impacted by trajectories of change in theory of mind, memory systems, and social- emotional processing with age. Two innovative trust-learning paradigms – the Social Iowa Gambling Task (sIGT) and the FLorida-Arizona Gambling Task (FLAG) – will be leveraged to test CISDA predictions across three experiments and complimented by an ecologically valid transfer task assessing elder fraud susceptibility. The proposed research addresses three goals. Aim 1/Study 1: Confirm age deficits in learning to trust in an adult lifespan sample that also includes older individuals with SCD and determine the extent to which social cues of trustworthiness bias trust-related decisions and learning in older age and individuals with SCD. Further, this study will use computational modeling to isolate specific learning biases (social cue, loss aversion, and recency) within the CISDA framework. Aim 2/Study 2: Use fMRI versions of the two new learning paradigms to confirm altered anterior cingulate cortex, insula, and amygdala activity, and their interplay, as neural mechanisms of age- associated learning deficits. Aim 3/Study 3: Probe the malleability of the underlying neurocircuitry of trust- learning deficits in aging. This study will utilize real-time fMRI neurofeedback to train healthy older adults in anterior cingulate cortex up-regulation toward enhanced trust-related learning in aging and confirm critical mechanisms of experience-dependent social decisions in aging. This project's interdisciplinary approach encompasses experimental and affective aging, neuroeconomics, and computational neuroscience. Collectively, this research will advance the basic science of social decision making in aging and determine the malleability of underlying neurocircuitry to inform decision-supportive intervention targeted at optimizing trust-related decision making and reducing exploitation in the elderly.",FALSE,,,,2025-05-13,,2338641,1557907,780734,total_estimated_remaining,ASST_NON_R01AG072658_7529,https://www.usaspending.gov/award/ASST_NON_R01AG072658_7529,https://reporter.nih.gov/project-details/11094235,TRUE,134130,University of Florida,Gainesville,Florida,Public,"Degree-granting, primarily baccalaureate or above",normalized_name_city_state,TRUE
nih,nih_terminations.csv,3R01AR079184-04S1,R01AR079184,❌ Terminated,currently_disrupted,TRUE,DUKE UNIVERSITY,Duke University,North Carolina,Durham,SCHOOLS OF MEDICINE,Biomechanical and Biological Predictors of Cartilage Health Following Meniscus Injury,"Abstract  Injury of the meniscus is frequently associated with early onset osteoarthritis (OA). Partial meniscectomy to remove the damaged meniscal tissue is the most commonly performed orthopaedic procedure. While this procedure can provide symptomatic relief in the short term, nearly 35% of patients develop radiographic evidence of OA within 5-7 years following surgery. However, the causes for this early onset OA are unknown. One potential pathway for the progression of knee OA following meniscectomy is through altered loading of the articular cartilage. However, other studies suggest that biological factors, such as joint inflammation may play an important role. Recently, through a combination of MR imaging, 3D modeling, and biplanar radiography, our team has shown that medial meniscal injury alters the cartilage-to-cartilage contact strains in both the medial and lateral compartments. In addition, we found that increased strain was correlated with increased levels of matrix metalloproteinase (MMP) activity in the synovial fluid, a biomarker which may be indicative of joint degradation. Together, these results suggest that biomechanical and biological factors play an important role in the development of OA after meniscal injury. However, the role of partial meniscectomy on these changes is unclear. Thus, a comprehensive evaluation of the biomechanical and biological environment of the joint before and after partial meniscectomy will elucidate the factors that contribute to early onset OA. Our overall hypothesis is that following partial meniscectomy, both biomechanical and biological changes in the joint will predict cartilage degeneration. Furthermore, when biomechanical and biological predictors are combined together with patient demographics and clinical characteristics, we will identify well-defined clinical phenotypes of patients at high risk of cartilage degeneration.  Cartilage degeneration will be assessed through MR-based measures of cartilage thickness and composition. Using high speed biplanar x-ray and MR imaging, in vivo cartilage strains in both knees of patients with unilateral medial meniscus injury will be measured in response to treadmill walking prior to surgery and after surgery. Synovial fluid and serum will also be collected and a panel of pro-inflammatory mediators and tissue metabolic biomarkers will be measured. Synovial fluid immune cell analyses will be performed by flow cytometry. Using these biomechanical and biological factors, we will identify participants at increased risk for cartilage degeneration at two years after surgery. Then, using predictive models combining biomechanical factors, biological factors, demographics, and clinical characteristics, we will develop well-defined clinical phenotypes of cartilage degeneration risk. Importantly, the development of these phenotypes will enable targeted treatment approaches focused on surgery, pharmaceutical targets, and non-pharmacological interventions, such as physical rehabilitation strategies or weight loss, to prevent cartilage degeneration.",FALSE,,,,2025-04-25,,3447335,2680687,766648,total_estimated_remaining,ASST_NON_R01AR079184_7529,https://www.usaspending.gov/award/ASST_NON_R01AR079184_7529,https://reporter.nih.gov/project-details/11057092,TRUE,198419,Duke University,Durham,North Carolina,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",normalized_name_city_state,TRUE
nih,nih_terminations.csv,3R01MH128905-03S1,R01MH128905,❌ Terminated,currently_disrupted,TRUE,WASHINGTON UNIVERSITY,Washington University,Missouri,Saint Louis,SCHOOLS OF SOCIAL WELFARE/WORK,Examining the impact of menstrual hygiene management on academic achievement and mental health outcomes among school-going adolescent girls in Uganda,"Adolescent gir1s in low- and middle-income countries often face significant challenges related to menstrual hygiene due to socio-economic constraints, cultural stigmatization, and lack of access to sanitary products. Without access to adequate menstrual hygiene management (MHM) products, gir1s have no choice but to resort to improvised and alternative methods for MHM, such as using leaves, cloth, or toilet paper. Moreover, inadequate MHM has been linked to school absenteeism, highlighting its importance for the well-being of adolescent gir1s. A study conducted by Miiro in Uganda showed that 19.8% of the gir1s in their study missed school at least once during their last menstrual cycle, with 17.3% reporting school absenteeism specifically during their menstrual day. These challenges significantly impact the educational outcomes and mental health challenges of adolescents leading to stress, anxiety and psychological issues. Poverty is a key factor hindering access of adolescent gir1s to sanitary pads (commercial products), potentially driving them to engage in transactional sex to secure these essential hygiene items and maintain their education. The proposed study will allow the candidate to: (1) acquire skills in mixed methods research and (2) gain a comprehensive understanding of menstrual hygiene management practices, attitudes, and the contextual factors that influence MHM practices, focusing particular1y on how they affect adolescent wellbeing, including mental health functioning. This study therefore, examines the effects of menstrual hygiene practices on the school attendance, academic performance, and mental health of adolescent gir1s in Southern Uganda, and aims to identify the sociercultural factors that influence these practices.The study will utilize an exploratory mixed-methods design integrating quantitative data from the Suubi4strongerFamilies project with qualitative interviews to assess the impact of menstrual hygiene on girls' lives, and quantitatively, analyze the relationship between Menstrual Hygiene management, mental health functioning and academic performance. This study will contribute to a deeper understanding of the multi-faceted impacts of menstrual hygiene management in Southern Uganda, aiming to inform targeted interventions and policy recommendations that can enhance the educational and health prospects of adolescent gir1s. The anticipated results will be instrumental for public health and education policy frameworks, contributing to the establishment of culturally appropriate and economically viable menstrual hygiene management interventions that advance gender equality and educational empowerment. Consistent with my training goals, the study will have the following specific aims: (1) To assess how menstrual hygiene relates to school attendance rates, academic achievement, and mental health among adolescent gir1s in Southern Uganda (Goal 1) and (2) To explore the effects of sociercultural factors on menstrual hygiene, educational experiences, and mental health of adolescent girls in Southern Uganda (Goal 2).",FALSE,,,,2025-04-28,,2588307,1823619,764688,total_estimated_remaining,ASST_NON_R01MH128905_7529,https://www.usaspending.gov/award/ASST_NON_R01MH128905_7529,https://reporter.nih.gov/project-details/11076564,TRUE,179867,Washington University in St Louis,St. Louis,Missouri,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",alias_name_state_fallback,TRUE
nih,nih_terminations.csv,3R01DE032018-03S1,R01DE032018,❌ Terminated,currently_disrupted,TRUE,UNIVERSITY OF TX MD ANDERSON CAN CTR,University of Tx Md Anderson can Center,Texas,Houston,HOSPITALS,Harnessing the nervous system to overcome resistance to immunotherapy in oral cancer,"PROJECT SUMMARY/ABSTRACT To maximize their growth and metastatic potential, solid tumors promote the formation of new nerve fibers in the tumor microenvironment (TME). In patients with oral, prostate, breast, gastric, pancreatic, and other cancers, high densities of nerve fibers in the TME are associated with poor clinical outcomes. We proved that oral cancer cells induce a unique heterogeneous composition of tumor-associated neurons (TANs) in the TME. The nervous system plays important roles in homeostasis and inflammatory responses in tissues. However, the regulation of immune cells by nerves remains largely unclear. Our long-term goal is to elucidate the reciprocal nerve-cancer signals that drive cancer progression to identify novel targets for therapy and for overcoming immunotherapy resistance. Our preliminary data show that neurons communicate with immune cells directly through the expression of immunomodulatory molecules and indirectly through paracrine, adrenergic-dependent cancer cell signaling. The overall hypothesis that we will test in the proposed project is that TANs induce a maladaptive immune response that supports tumor progression. These newly formed, reprogrammed TANs regulate the immune response through a multistep mechanism that includes the transformation of quiescent neurons into sprouting cells that can infiltrate and interact with other cell types, release adrenergic neuroactive molecules, and support the development of an immunosuppressive microenvironment. Each of these steps may promote tumor progression and therapy resistance. The proposed research is innovative because it will capitalize on new concepts in immunology and cancer biology using advanced model systems to yield insights into the mechanisms of tumor progression and identify new targets for cancer therapy based on neuro-immune crosstalk. This cross-disciplinary proposal will combine expertise from oncology, immunology, cell biology, neurobiology, cancer genetics, pathology, and biostatistics in two specific aims across the two labs (Amit and Calin). Aim 1: Determine the mechanisms by which neuron-dependent cancer cell signaling regulates cytotoxic T-cell function. We will use pharmacological and genetic approaches combined with advanced spatial imaging techniques (for both protein and RNA) in syngeneic mouse models to understand how reprogrammed neurons regulate cytotoxic T-cell antitumor activity. Deciphering how TANs exert both antitumor immune activation and suppression activity through adrenergic signaling and immune checkpoint expression respectively, will allow us to leverage safe, affordable and well established neuromodulatory approaches to overcome immunosuppression in cancer. Aim 2: Identify the extracellular vesicle-shuttled driver miRNAs of TAN reprogramming and their roles in oral cancer progression. Using human-derived sensory neurons and functional genomic approaches, we will investigate the miRNA-dependent functional plasticity of immunomodulatory genes in TANs. The completion of the proposed studies will pave the way for treatment strategies that target the neuronal mechanisms associated with immunosuppression and reverse resistance to immunotherapy. Therapeutic approaches targeting this critical component of tumor biology are anticipated to improve patients' survival, treatment responses, and quality of life.",FALSE,,,,2025-06-11,,2825170,2061835.3,763334.7,total_estimated_remaining,ASST_NON_R01DE032018_7529,https://www.usaspending.gov/award/ASST_NON_R01DE032018_7529,https://reporter.nih.gov/project-details/11058555,TRUE,416801,The University of Texas MD Anderson Cancer Center,Houston,Texas,Public,"Degree-granting, primarily baccalaureate or above",alias_name_state_fallback,TRUE
nih,nih_terminations.csv,3U24CA271037-03S1,U24CA271037,❌ Terminated,currently_disrupted,TRUE,UNIVERSITY OF MICHIGAN AT ANN ARBOR,University of Michigan at Ann Arbor,Michigan,Ann Arbor,SCHOOLS OF MEDICINE,Michigan Center for Translational Cancer Proteogenomics,"ABSTRACT This application aims to establish a Proteogenomic Data Analysis Center at the University of Michigan for the Clinical Proteomic Tumor Analysis Consortium (CPTAC). Our Center is anchored at the Michigan Center for Translational Pathology and brings together a multi-disciplinary team of leading scientific experts in the foundational areas of proteomics, cancer genomics, immunomics, and integrative systems biology. Our team established the foundations for precision oncology and proteogenomics at the University of Michigan and has a long history of successful inter-institutional collaborations. This positions us well to apply, working in close collaboration with other CPTAC groups, our innovative algorithms, comprehensive computational infrastructure, and expert knowledge to carry out high-impact translational proteogenomics research that is a core mission of the CPTAC. We have developed a balanced approach for integrative proteogenomic analyses, with a blend of both state-of-art and novel pipelines and tools. Our analytics support dual purpose - to perform both cohort-wide and patient centric (personalized) investigations – a unique future and a strength of our proposal. Our experience in support of our real-time precision oncology program and past CPTAC efforts will ensure both the fidelity of detecting diverse proteogenomic cancer driver events and rigorous ascertainment of their biological implications. Both of these features are of paramount importance to understand disease mechanisms and discover prognostic markers and therapeutic targets. Our proposed strategy combines well-established and innovative data analyses and modeling approaches, cognizant of continuing developments in the corresponding areas. In addition, we propose a conceptually novel approach of “integrative cellular network analysis” and advanced data visualization modules, capitalizing on recent advances in single cell and spatial proteogenomics research. These features will refine inference from the bulk tissue omics data in terms of tumor microenvironment, ploidy and cellularity, identification of cell of origin and clonal expansion, cell-cell interactions, distinguishing lineage versus cancer-specific biomarkers, and gene signatures associated with genetic and epigenetic alterations. Such precise and refined integrative analyses across genome and proteome data require advanced bioinformatics tools and stringent quality control measures. Our integrated genome/transcriptome/proteome pipelines – already in wide use by the research community - will be further optimized for speed and accuracy and enhanced with data visualization and report generation capabilities for presenting the findings to cancer biologists in a transparent and readily- interpreted manner. Furthermore, our extensive experience in the area of biomarker discovery and precision oncology, further enhanced through participation of our investigators in the EDRN, SPORE, and other NIH initiatives, puts us in a strong position to drive the biomarker prioritization work to select candidate cancer- specific proteins and peptides for subsequent targeted validation assays.",FALSE,,,,2025-06-15,,3234070,2475269.72,758800.28,total_estimated_remaining,ASST_NON_U24CA271037_7529,https://www.usaspending.gov/award/ASST_NON_U24CA271037_7529,https://reporter.nih.gov/project-details/10977536,TRUE,170976,University of Michigan-Ann Arbor,Ann Arbor,Michigan,Public,"Degree-granting, primarily baccalaureate or above",alias_name_state_fallback,TRUE
nih,nih_terminations.csv,3R01DK130864-03S1,R01DK130864,❌ Terminated,currently_disrupted,TRUE,UNIVERSITY OF MICHIGAN AT ANN ARBOR,University of Michigan at Ann Arbor,Michigan,Ann Arbor,SCHOOLS OF MEDICINE,The role of circulating meta-inflammatory monocytes in adolescent insulin resistance,"ABSTRACT Adults with obesity have increased myeloid inflammatory responses that associate with cardiovascular and metabolic disease. There are several gaps, though, in our current understanding of metabolic inflammation (meta-inflammation) including our understanding of initiating changes in myelopoiesis and regulated changes in myeloid cells. It is clear that some individuals develop a meta-inflammatory response placing them at higher risk for metabolic impairment while others are protected. While it is clinically important to identify adolescents at risk for future disease, we do not understand how to use meta-inflammatory markers to assess disease risk. Our previous human and mouse studies demonstrate that individuals who expand inflammatory monocytes in response to obesogenic diets are at greatest risk for metabolic disease. Based on the ability of these monocytes to generate an inflammatory response, traffic to tissues and differentiate into inflammatory tissue macrophages promoting insulin resistance, we are terming them meta-inflammatory monocytes (MiMo). Given that animal models and clinical studies have demonstrated that myeloid inflammation with circulating cytokines, enhanced circulating myeloid cells and tissue inflammation are linked with insulin resistance it is critical to understand if these same mechanisms exist in adolescents and can differentiate who is at risk for future metabolic disease. The goals of the primary proposal investigate the central hypothesis that adolescents at risk for metabolic disease have an increase in MiMos and enhanced MiMo recruitment, cytokine secretion and macrophage polarization leading to insulin resistance. We will evaluate this hypothesis in three aims: Aim 1) To define the monocyte transcriptomic signatures associated with metabolic disease in adolescents. Aim 2) To determine high risk and low risk monocyte phenotypes produced in adolescents with metabolic impairment. Aim 3) To assess meta-inflammatory monocyte activation and metabolism in response to dietary fatty acid stimulation. This supplement keeps with the same primary goals of the project but would allow us to expand the inclusion of gender minority adolescents with gender dysphoria on post-pubertal sex hormone modulating therapies. This will further the translation of our findings to these clinical populations of adolescents.",FALSE,,,,2025-03-21,,1787640,1038873.11,748766.89,total_estimated_remaining,ASST_NON_R01DK130864_7529,https://www.usaspending.gov/award/ASST_NON_R01DK130864_7529,https://reporter.nih.gov/project-details/11018656,TRUE,170976,University of Michigan-Ann Arbor,Ann Arbor,Michigan,Public,"Degree-granting, primarily baccalaureate or above",alias_name_state_fallback,TRUE
nih,nih_terminations.csv,3R01DC004154-22S1,R01DC004154,❌ Terminated,currently_disrupted,TRUE,STANFORD UNIVERSITY,Stanford University,California,Stanford,SCHOOLS OF MEDICINE,Vestibular and Visual Control of Eye Movement,"PROJECT SUMMARY A hallmark of the nervous system is its ability to transform and combine multiple sources of information to guide behavior, and to tune this signal processing through learning, for more accurate control of behavior. How this adaptive signal processing is implemented by neural circuits remains largely unknown, due in part to the presence of feedback loops that mix together and temporally shape neural signals in complex ways. This project uses an interdisciplinary experimental-computational approach to dissect the signal processing operations supporting the control of eye movements by vestibular and visual sensory inputs. Rigorous experimental protocols, computational models, and statistical fitting approaches will be developed to characterize the signal transformations occurring at multiple sites in the relevant neural circuitry, to disentangle the roles of feedforward and feedback signals in the control of eye movement behavior. These approaches will be used to analyze how specific changes in the way vestibular and visual signals are processed by the circuit support adaptive changes in the amplitude and timing of the eye movement responses to these sensory inputs. By advancing our understanding of how learning alters the way a circuit computes, this work bridges the key conceptual gap between neural plasticity at the synaptic level and learning at the behavioral level, and provides a scientific foundation for the development of improved clinical approaches for promoting recovery or replacement of vestibular function.",FALSE,,,,2025-06-06,,3237502,2495902,741600,total_estimated_remaining,ASST_NON_R01DC004154_7529,https://www.usaspending.gov/award/ASST_NON_R01DC004154_7529,https://reporter.nih.gov/project-details/11170339,TRUE,243744,Stanford University,Stanford,California,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",normalized_name_city_state,TRUE
nih,nih_terminations.csv,3R01AG078609-02S1,R01AG078609,❌ Terminated,currently_disrupted,TRUE,THOMAS JEFFERSON UNIVERSITY,Thomas Jefferson University,Pennsylvania,Philadelphia,SCHOOLS OF MEDICINE,ASK1 inhibition as a novel strategy to regulate immune function and promote regeneration,"PROJECT SUMMARY/ABSTRACT Age is the number one risk factor for osteoarthritis (OA), however, the mechanisms that drive age-associated joint changes and how these contribute to cartilage damage are not well defined. As OA joint tissues age, it is well established that cartilage-forming stem cells (CSCs) display a significant decline in their ability to differentiate, and the joint environment becomes more inflammatory. Both of these factors together undermine the ability to recover from injuries and also contributes to the failure of autologous stem cell therapies. Thus, we propose an innovative dual strategy which will address both. We hypothesize that activation of sirtuin 6 (SIRT6) will rejuvenate older CSCs, and apoptosis signal regulating kinase 1 (ASK1) inhibition will reestablish a regenerative environment in the joint. Together, this novel solution has the potential to greatly augment the ability for CSC differentiation and cartilage repair in the aged population. We will test this hypothesis and determine the epigenetic mechanisms that SIRT6 regulate in the following three Aims. In Aim 1, we will determine the mechanisms by which (a) SIRT6 activation and (b) ASK1 inhibition enhance the cartilage-forming differentiation and pro-survival activities of aged CSCs. In Aim 2, we will determine the efficacy of SIRT6 activation, in the presence of ASK1 inhibition to stimulate cartilage formation in aged, male and female rodents. Finally, in Aim 3, we will determine the efficacy of SIRT6 activation and ASK1 inhibition to promote cartilage regeneration and repair in response to chondral injury in a pre-clinical aged minipig model. These Aims will be achieved through comprehensive in vitro analysis of young and old (male and female) CSCs and macrophages, in proof-of-concept aging rodent models (mice and rats), and a clinically relevant large animal chondral defect model (aged minipig). Importantly, the findings from this proposal are likely to give unique and important insights into the role of epigenetic regulation of aged cells and the role of the surrounding environment in other aging and diseased tissues. If successful, the overall impact of this novel pro-regenerative therapy to ameliorate the ravages of aging and joint injury would represent a significant advancement in the treatment of age-associated diseases, such as OA. Additionally, it will lead to the discovery of new disease-modifying treatments for other organ systems and increase the ability of the aged population to live a healthy, mobile life.",FALSE,,,,2025-05-02,,2132196,1391745,740451,total_estimated_remaining,ASST_NON_R01AG078609_7529,https://www.usaspending.gov/award/ASST_NON_R01AG078609_7529,https://reporter.nih.gov/project-details/11082821,TRUE,216366,Thomas Jefferson University,Philadelphia,Pennsylvania,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",normalized_name_city_state,TRUE
nih,nih_terminations.csv,3R01MD015920-03S1,R01MD015920,❌ Terminated,currently_disrupted,TRUE,UNIVERSITY OF FLORIDA,University of Florida,Florida,Gainesville,SCH ALLIED HEALTH PROFESSIONS,Longitudinal Determinants of Thriving and Well-Being in Venezuelan Crisis Migrants,"Project Summary The United Nations estimates that more than 8 million Venezuelans have fled their home country since 2015. At present, Venezuelans are among the fastest-growing immigrant groups in the United States (U.S), filing two times the number of US. asylum applications annually as citizens from any other country. Remarkably, almost no systematic research—excluding our formative work—has examined the wellbeing of Venezuelans in diaspora. Although prior research has advanced our understanding of this population and its challenges, the role of intrinsic and extrinsic strengths among Venezuelan crisis migrants during resettlement and over time, as well as how such factors relate to mental health, thriving, and flourishing across countries remains unknown. To address this critical research gap, the present diversity supplement is aimed to: Aim 1, use qualitative research to examine underlying mechanisms of thriving and flourishing among adult Venezuelan crisis migrant in the U.S. and Colombia. Aim 2, employ prospective surveys to understand how intrinsic and extrinsic strengths promote thriving and flourishing, flourishing, and how they relate to stressors and behavioral health during and after resettlement. Aim 3, engage with key stakeholders to disseminate our mixed-methods findings in an effort to promote thriving and flourishing among Venezuelan crisis migrants. The comparison with Venezuelans in Colombia is essential for identifying aspects of life in the US that may uniquely contribute to both risk and well-being among crisis migrants, and for informing context-specific and cross-national solutions to a hemispheric crisis. Grounded in cultural stress theory, a strengths perspective, and positive epidemiology, we will examine the interplay between strengths and both pre-migration risk factors and post-migration cultural stressors and how they influence behavioral health outcomes. In addition to quantitative and qualitative analysis, this study will use a convergent mixed-methods design to compare qualitative and quantitative data. We will collect quantitative and qualitative data simultaneously (in parallel), and conduct the data analyses separately. We will compare the quantitative and qualitative results to produce an integrated analysis and identify whether there was convergence or divergence between the results. Given the ongoing large number of Venezuelans migrating, this work is particularly relevant and timely.",FALSE,,,,2025-04-17,,2217419,1482438,734981,total_estimated_remaining,ASST_NON_R01MD015920_7529,https://www.usaspending.gov/award/ASST_NON_R01MD015920_7529,https://reporter.nih.gov/project-details/11095080,TRUE,134130,University of Florida,Gainesville,Florida,Public,"Degree-granting, primarily baccalaureate or above",normalized_name_city_state,TRUE
