UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3C08,F3C08,XF3C12,F3C12,XF3C121,F3C121,XF3C122,F3C122,XF3C13,F3C13,XF3C131,F3C131,XF3C132,F3C132,XF3C14,F3C14,XF3C141,F3C141,XF3C142,F3C142,XF3C15,F3C15,XF3C151,F3C151,XF3C152,F3C152,XF3C16,F3C16,XF3C161,F3C161,XF3C162,F3C162,XF3C17,F3C17,XF3C171,F3C171,XF3C172,F3C172,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E041,F3E041,XF3E042,F3E042,XF3E051,F3E051,XF3E101,F3E101,XF3E102,F3E102,XF3E061,F3E061,XF3E062,F3E062,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E074,F3E074,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03,XF3G01,F3G01,XF3G02,F3G02,XF3G03,F3G03,XF3G04,F3G04,XF3G05,F3G05,XF3G06,F3G06,XF3G07,F3G07
211006,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1650000,R,0,R,1227781,R,1227781,R,0,R,183574,R,3061355,R,183574,R,0,R,183574,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,183574,R,183574,R,0,R,7001169,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,13355,R,21510,A,,A,,R,370794,R,7406828,R,4698411,R,2244686,Z,0,Z,0,Z,0,Z,0,R,267398,R,238584,R,319112,R,281365,R,1139655,R,435124,A,,A,,Z,0,A,,A,,R,548986,R,459481,R,6973562,R,3659240,R,330152,R,225462,R,185782,R,4714,R,2568212,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
211316,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,156837,R,0,R,0,R,0,R,0,R,0,R,156837,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,Z,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,990112,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,4384,R,63498,A,,A,,R,0,R,1057994,R,401722,R,269337,R,0,R,0,R,0,R,0,R,250439,R,230130,R,262018,R,238906,R,106037,R,393,A,,A,,R,0,A,,A,,R,0,R,0,R,1020216,R,738766,R,10515,R,54801,R,7190,R,9827,R,199117,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
211334,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,94405,R,0,R,0,R,0,R,0,R,0,R,94405,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,334527,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,23705,A,,A,,R,29592,R,387824,R,489435,R,162889,R,0,R,0,R,0,R,0,R,145780,R,47700,R,87200,R,12600,R,20610,R,20610,A,,A,,R,0,A,,A,,R,0,R,0,R,743025,R,243799,R,0,R,79378,R,6666,R,0,R,413182,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
211477,R,14992167,R,1309038,R,10260072,R,383308,R,5403723,R,3169127,R,9588444,R,14992167,R,4763604,R,22269556,R,7622006,R,0,R,0,R,34655166,R,24395094,R,10260072,R,15284722,R,16649865,R,2730286,R,1365143,R,0,R,11343438,R,-3120137,R,9588444,R,1839047,R,126875,R,1491113,R,1491113,R,0,R,1582109,R,5039144,R,1582109,R,0,R,1582109,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1582109,R,1582109,R,0,R,11245784,R,1835243,R,0,R,1835243,R,0,R,0,R,0,R,0,R,0,R,0,R,442,R,795415,R,1367516,R,0,R,40322,R,15284722,R,4328103,R,3015118,R,0,R,0,R,0,R,0,R,1436499,R,568037,R,2713468,R,1625903,R,7630707,R,2298951,R,541087,R,137232,R,0,R,0,R,0,R,1,R,0,R,16649865,R,7645241,R,889110,R,2374071,R,1186177,R,119169,R,4436097,A,,A,,-2,R,1365143,R,15284722,R,9588444,R,14992167,R,1068933,R,0,R,16649865
211802,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,247593,R,25738,R,94683,R,94683,R,0,R,149195,R,517209,R,149195,R,0,R,149195,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,149195,R,149195,R,0,R,1234914,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,A,,R,149196,R,1384110,R,2051998,R,1462152,R,28110,R,20029,R,0,R,0,R,140548,R,100147,R,168657,R,120177,R,421643,R,300442,A,,A,,R,0,A,,A,,R,0,R,0,R,2810956,R,2002947,R,560826,R,247183,R,0,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
212045,R,4708240,R,0,R,1402115,Z,0,R,559245,R,0,R,4148995,R,4708240,R,6802,R,2482147,R,1168253,R,0,R,0,R,3657202,R,2255087,R,1402115,R,4769148,R,4476504,R,0,R,292644,R,-267285,R,4123636,R,0,R,4148995,R,646411,R,16064,R,369604,R,165739,R,203865,R,156824,R,1188903,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3640410,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,107090,R,233300,R,0,A,,R,788348,R,4769148,R,1641047,R,516800,R,0,R,0,R,0,R,0,R,773316,R,657797,R,786052,R,461845,R,1276089,R,642344,R,0,R,0,R,0,A,,A,,R,0,R,0,R,4476504,R,2278786,R,266262,R,393734,R,159291,R,0,R,1378431,A,,A,,-2,R,292644,R,4769148,R,4148995,R,4708240,R,2744880,R,0,R,4476504
212230,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,152213,R,45400,R,208,R,208,R,0,R,17680,R,215501,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,369084,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,80692,A,,A,,R,69766,R,519542,R,415910,R,147881,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,118021,R,92721,A,,A,,R,0,A,,A,,R,0,R,0,R,533931,R,240602,R,48152,R,83989,R,64808,R,0,R,96380,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
212267,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,466949,R,6900,R,6280,R,6280,R,0,R,32140,R,512269,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1015201,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,84344,A,,A,,R,139173,R,1238718,R,635176,R,177194,R,0,R,0,R,0,R,0,R,0,R,0,R,65701,R,50181,R,144725,R,101741,A,,A,,R,0,A,,A,,R,0,R,0,R,845602,R,329116,R,83629,R,110947,R,108608,R,0,R,213302,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
212276,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,485722,R,10200,R,0,R,0,R,0,R,52200,R,548122,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1102039,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,88328,A,,A,,R,192640,R,1383007,R,560966,R,204760,R,0,R,0,R,0,R,0,R,0,R,0,R,57525,R,46215,R,148600,R,112784,A,,A,,R,0,A,,A,,R,0,R,0,R,767091,R,363759,R,77601,R,82637,R,56026,R,0,R,187068,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
212294,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,293326,R,5100,R,37291,R,37291,R,0,R,60853,R,396570,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,849386,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,69750,A,,A,,R,141634,R,1060770,R,552633,R,194861,R,0,R,0,R,0,R,0,R,0,R,0,R,48508,R,39494,R,117391,R,92032,A,,A,,R,0,A,,A,,R,0,R,0,R,718532,R,326387,R,65962,R,87726,R,92782,R,0,R,145675,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
