evidence_level,outlay_threshold,cont_rev_threshold,live_delta_threshold,live_ratio_threshold
low,49380.44,542940,282452.73000000004,1.2067756416545632
medium,170196.67000000004,692450,474252.94250000006,1.3681575235762404
high,445813.5099999999,1038100.0000000014,744729.2850000003,1.7232986232036827
