agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key,proposal,activity_signal,materially_higher,proposal_flag
nih,3R01NS123051-03S1,ASST_NON_R01NS123051_7529,University of Oklahoma,Oklahoma,University of Oklahoma-Norman Campus,Oklahoma,Norman,Public,207500,1506567,1150230,2656797,2025-04-24,,https://www.usaspending.gov/award/ASST_NON_R01NS123051_7529,https://reporter.nih.gov/project-details/10991761,270254843,2094803.18,2656797,2027-02-28,2025-12-19,TRUE,TRUE,TRUE,588236.1799999999,1.3904480716755379,734588.53,581723.9600000001,119379.3,579123,0,0,13,42,,unitid:207500,D,TRUE,TRUE,TRUE
nih,3R01DA057789-02S1,ASST_NON_R01DA057789_7529,Yale University,Connecticut,Yale University,Connecticut,New Haven,Private not-for-profit,130794,1039774,1149889,2189663,2025-04-03,,https://www.usaspending.gov/award/ASST_NON_R01DA057789_7529,https://reporter.nih.gov/project-details/11086406,270176901,1197152.95,2189663,2028-02-29,2026-03-20,TRUE,TRUE,TRUE,157378.94999999995,1.1513588048941403,158318.93999999994,158318.93999999994,0,60476,0,0,8,27,,unitid:130794,D,TRUE,TRUE,TRUE
nih,3DP2MH136495-01S1,ASST_NON_DP2MH136495_7529,University of Louisville,Kentucky,University of Louisville,Kentucky,Louisville,Public,157289,581658,1097095,1678753,2025-04-30,,https://www.usaspending.gov/award/ASST_NON_DP2MH136495_7529,https://reporter.nih.gov/project-details/11025321,260416765,933709.5,1678753,2026-08-31,2025-09-05,TRUE,TRUE,TRUE,352051.5,1.605255149933466,378493,223281.77999999997,71790.72,0,0,0,6,20,,unitid:157289,D,TRUE,TRUE,TRUE
nih,3R01MH126083-04S1,ASST_NON_R01MH126083_7529,Emory University,Georgia,Emory University,Georgia,Atlanta,Private not-for-profit,139658,1991231,1071364,3062595,2025-04-23,,https://www.usaspending.gov/award/ASST_NON_R01MH126083_7529,https://reporter.nih.gov/project-details/11218705,270244185,2522015.96,3906474,2026-12-31,2026-03-05,TRUE,TRUE,TRUE,530784.96,1.266561217658825,741745.3999999999,461273.61,190996.17,843879,113064,730815,13,43,,unitid:139658,D,TRUE,TRUE,TRUE
nih,3R01DC020459-03S1,ASST_NON_R01DC020459_7529,University of Pittsburgh at Pittsburgh,Pennsylvania,University of Pittsburgh-Pittsburgh Campus,Pennsylvania,Pittsburgh,Public,215293,1763213,1069336,2832549,2025-05-22,,https://www.usaspending.gov/award/ASST_NON_R01DC020459_7529,https://reporter.nih.gov/project-details/10952149,270179958,2126966.73,2832549,2027-05-31,2025-06-05,TRUE,TRUE,TRUE,363753.73,1.2063016379756728,373985.75,260702.94000000003,72349.15,559197,0,0,10,64,,unitid:215293,D,TRUE,TRUE,TRUE
nih,3R01DA059234-02S1,ASST_NON_R01DA059234_7529,University of Colorado,Colorado,University of Colorado Boulder,Colorado,Boulder,Public,126614,502434,1064278,1566712,2025-04-04,,https://www.usaspending.gov/award/ASST_NON_R01DA059234_7529,https://reporter.nih.gov/project-details/11089903,270177024,894048.69,2376018,2028-07-31,2025-07-21,TRUE,TRUE,TRUE,391614.68999999994,1.7794350899819678,428788.56,228080.56,76438.05,809306,98952,0,8,21,,unitid:126614,D,TRUE,TRUE,TRUE
nih,3R01AI165560-04S1,ASST_NON_R01AI165560_7529,University of South Carolina,South Carolina,University of South Carolina-Columbia,South Carolina,Columbia,Public,218663,2137358,1059594,3196952,2025-04-18,,https://www.usaspending.gov/award/ASST_NON_R01AI165560_7529,https://reporter.nih.gov/project-details/11091679,270148170,2694251.78,3914766,2026-08-31,2025-09-05,TRUE,TRUE,TRUE,556893.7799999998,1.2605524109671846,580902.24,359888.68,81643.94,717814,717814,0,8,47,,unitid:218663,D,TRUE,TRUE,TRUE
nih,3R01HD107083-03S1,ASST_NON_R01HD107083_7529,Washington University,Missouri,Washington University in St Louis,Missouri,St. Louis,Private not-for-profit,179867,1729739,1030491,2760230,2025-05-29,,https://www.usaspending.gov/award/ASST_NON_R01HD107083_7529,https://reporter.nih.gov/project-details/11067344,270218896,2070123.62,2760230,2027-04-30,2025-06-20,TRUE,TRUE,TRUE,340384.6200000001,1.1967838037993015,556172.17,305978.98999999993,118459.25,0,0,0,7,37,,unitid:179867,D,TRUE,TRUE,TRUE
nih,5R01MD019298-02,ASST_NON_R01MD019298_7529,Baylor College of Medicine,Texas,,,,,,284697.25,1023877.75,1308575,2025-04-29,,https://www.usaspending.gov/award/ASST_NON_R01MD019298_7529,https://reporter.nih.gov/project-details/11120941,270238650,365856.11,1308575,2026-01-31,2025-05-05,TRUE,TRUE,TRUE,81158.85999999999,1.2850707549862177,245136.50000000003,104676.17000000003,81158.86000000002,0,0,0,4,11,,baylor college of medicine|texas,D,TRUE,TRUE,TRUE
nih,3R01MD017588-03S1,ASST_NON_R01MD017588_7529,University of Miami Coral Gables,Florida,,,,,,1071773,1022463,2094236,2025-03-21,,https://www.usaspending.gov/award/ASST_NON_R01MD017588_7529,https://reporter.nih.gov/project-details/11207198,270238514,1676046.95,2749092,2027-12-31,2026-03-05,TRUE,TRUE,TRUE,604273.95,1.5638077745940604,691008.98,301626.8399999999,176410.64,654856,60552,594304,11,29,,university of miami coral gables|florida,D,TRUE,TRUE,TRUE
