agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key
nsf,1915995,ASST_NON_1915995_4900,Texas Southern University,Texas,Texas Southern University,Texas,Houston,Public,229063,154293.64,222674.36,376968,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_1915995_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=1915995,233956223,154293.64,361895,2025-05-02,2025-11-17,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,6,43,,unitid:229063
nsf,2321946,ASST_NON_2321946_4900,Michigan State University,Michigan,Michigan State University,Michigan,East Lansing,Public,171100,278120.9,221600.1,499721,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2321946_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2321946,235871213,278120.9,499721,2025-04-25,2025-05-19,FALSE,FALSE,FALSE,0,1,73949.72999999998,73949.72999999998,0,0,0,0,2,19,,unitid:171100
nsf,2342626,ASST_NON_2342626_4900,Wayne State University,Michigan,Wayne State University,Michigan,Detroit,Public,172644,33258.82,221594.18,254853,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2342626_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2342626,235920427,33258.82,254853,2025-04-25,2025-05-19,FALSE,FALSE,FALSE,0,1,5888.630000000001,0,0,0,0,0,2,8,,unitid:172644
nsf,2000518,ASST_NON_2000518_4900,Regents of the University of Michigan - Ann Arbor,Michigan,University of Michigan-Ann Arbor,Michigan,Ann Arbor,Public,170976,621888.03,220787.97,842676,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2000518_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2000518,234605110,621513.21,842676,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,-374.8200000000652,0.9993972870003623,13822.339999999997,0,0,0,0,0,4,45,,unitid:170976
nsf,2429010,ASST_NON_2429010_4900,Pennsylvania State University University Park,Pennsylvania,Pennsylvania State University-Main Campus,Pennsylvania,University Park,Public,214777,5030.63,220594.37,225625,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2429010_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2429010,236143616,5030.63,225625,2025-04-25,2025-06-03,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,4,11,,unitid:214777
epa,84046401,ASST_NON_84046401_068,University of Minnesota,Minnesota,University of Minnesota,Minnesota,Minneapolis,Public,174066,521587.12,220412.88,742000,2025-05-12,2027-08-31,https://www.usaspending.gov/award/ASST_NON_84046401_068/,https://enviro.epa.gov/envirofacts/nggs/report?grantId=84046401,254622657,521587.12,742000,2025-05-12,2025-06-05,FALSE,FALSE,FALSE,0,1,190362.92,125399.56,0,0,0,0,3,29,,unitid:174066
nsf,2225399,ASST_NON_2225399_4900,University of New Mexico,New Mexico,University of New Mexico-Main Campus,New Mexico,Albuquerque,Public,187985,130055.69,219944.31,350000,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2225399_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2225399,235592004,130055.69,350000,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,43550.200000000004,43550.200000000004,0,0,0,0,2,31,,unitid:187985
nsf,2100129,ASST_NON_2100129_4900,San Diego State University Foundation,California,San Diego State University,California,San Diego,Public,122409,1196654.36,219546.64,1416201,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2100129_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2100129,235153815,1196654.36,1416201,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,23487.209999999992,23487.209999999992,0,0,0,0,5,44,,unitid:122409
nih,3R01HD098258-06S1,ASST_NON_R01HD098258_7529,New York University d/b/a NYU Long Island School of Medicine,New York,,,,,,1585307.7,219376.3,1804684,2025-06-09,,https://www.usaspending.gov/award/ASST_NON_R01HD098258_7529,https://reporter.nih.gov/project-details/11178144,270218299,1433798.48,1804684,2025-03-31,2025-06-20,FALSE,FALSE,FALSE,-151509.21999999997,0.9044291401599829,150833.77,89572.13000000002,40400.03999999999,0,0,0,17,48,,new york university d/b/a nyu long island school of medicine|new york
nih,5UG3AI176853-02,ASST_NON_UG3AI176853_7529,Emory University,Georgia,Emory University,Georgia,Atlanta,Private not-for-profit,139658,3734712.83,218355.84,3953068.67,2025-03-21,,https://www.usaspending.gov/award/ASST_NON_UG3AI176853_7529,https://reporter.nih.gov/project-details/10837130,271705557,3734712.83,3953068.67,2025-03-21,2025-09-05,FALSE,FALSE,FALSE,0,1,379073.02,115936.18999999994,0,0,0,0,6,26,,unitid:139658
nsf,2225247,ASST_NON_2225247_4900,The University of Texas Rio Grande Valley,Texas,The University of Texas Rio Grande Valley,Texas,Edinburg,Public,227368,281725.4,218272.6,499998,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2225247_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2225247,235591656,281725.4,499998,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,9595.520000000004,9595.520000000004,0,0,0,0,2,30,,unitid:227368
