agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key
nih,1U19AI171413-01,ASST_NON_U19AI171413_7529,University of Texas Medical Branch at Galveston,Texas,The University of Texas Medical Branch at Galveston,Texas,Galveston,Public,228653,48148375.8,26864264.2,75012640,2025-03-24,,https://www.usaspending.gov/award/ASST_NON_U19AI171413_7529,https://reporter.nih.gov/project-details/10514146,271684991,48148375.8,56163625,2025-03-25,2026-03-05,TRUE,FALSE,TRUE,0,1,9846765.45,6933890.799999999,0,0,0,0,7,34,,unitid:228653
cdc,T42OH008416,ASST_NON_T42OH008416_075,President and Fellows of Harvard College,Massachusetts,Harvard University,Massachusetts,Cambridge,Private not-for-profit,166027,6999158.65,20664024.33,27663182.98,2025-05-20,2028-06-30,https://www.usaspending.gov/award/ASST_NON_T42OH008416_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=T42OH008416&arg_ProgOfficeCode=90,271489738,7614028.22,27663182.98,2028-06-30,2026-01-05,TRUE,TRUE,TRUE,614869.5699999994,1.08784906883058,1166726.3,440857.01,725869.29,1800000,1800000,0,41,49,,unitid:166027
epa,953A0097,ASST_NON_953A0097_068,University of Virginia,Virginia,University of Virginia,Virginia,Charlottesville,Public,234076,43847.91,19842810.09,19886658,2025-03-25,2028-01-31,https://www.usaspending.gov/award/ASST_NON_953A0097_068/,,257834256,43847.91,19886658,2025-05-01,2025-06-05,TRUE,FALSE,TRUE,0,1,43847.91,0,0,0,0,0,2,7,,unitid:234076
epa,02F74301,ASST_NON_02F74301_068,Dillard University,Louisiana,Dillard University,Louisiana,New Orleans,Private not-for-profit,158802,230965,19713610,19944575,2025-03-25,2027-11-30,https://www.usaspending.gov/award/ASST_NON_02F74301_068/,,198418830,230965,19944575,2025-05-01,2025-06-05,TRUE,FALSE,TRUE,0,1,0,0,0,0,0,0,3,9,,unitid:158802
cdc,U19OH008861,ASST_NON_U19OH008861_075,President and Fellows of Harvard College,Massachusetts,Harvard University,Massachusetts,Cambridge,Private not-for-profit,166027,5865983.71,17807049.88,23673033.59,2025-05-20,2026-08-31,https://www.usaspending.gov/award/ASST_NON_U19OH008861_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=U19OH008861&arg_ProgOfficeCode=90,271685407,5906788.36,23673033.59,2026-08-31,2026-03-05,TRUE,TRUE,TRUE,40804.65000000037,1.0069561478546964,905768.34,797315.7799999999,108452.56000000006,1399731,1399731,0,61,96,,unitid:166027
epa,03D25424,ASST_NON_03D25424_068,Texas A&M University,Texas,Texas A&M University,Texas,College Station,Public,228723,369030.75,14074275.25,14443306,2025-03-25,2027-12-31,https://www.usaspending.gov/award/ASST_NON_03D25424_068/,,198509713,369030.75,14443306,2025-05-02,2025-06-05,TRUE,FALSE,TRUE,0,1,362853.45999999996,291842.85,0,0,0,0,2,8,,unitid:228723
nih,5R01AG037031-14,ASST_NON_R01AG037031_7529,Peking University,,,,,,,4401118.25,10677598.75,15078717,2025-02-28,,https://www.usaspending.gov/award/ASST_NON_R01AG037031_7529,https://reporter.nih.gov/project-details/10898566,270133823,4401118.25,15078717,2025-02-28,2025-03-20,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,21,33,,peking university|NA
cdc,NU2HGH000007,ASST_NON_NU2HGH000007_075,The Johns Hopkins University,Maryland,Johns Hopkins University,Maryland,Baltimore,Private not-for-profit,162928,53825918.24,9425344.76,63251263,2025-03-24,2026-09-29,https://www.usaspending.gov/award/ASST_NON_NU2HGH000007_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NU2HGH000007&arg_ProgOfficeCode=253,269017405,54559490.17,63251263,2026-09-29,2026-01-28,TRUE,TRUE,TRUE,733571.9299999997,1.0136286003840962,10024057.01,5409595.55,910413.86,8526800,6714300,812500,405,294,,unitid:162928
nih,5U54CA272163-03,ASST_NON_U54CA272163_7529,Northwestern University,Illinois,Northwestern University,Illinois,Evanston,Private not-for-profit,147767,4008684.25,6840327.75,10849012,2025-04-08,,https://www.usaspending.gov/award/ASST_NON_U54CA272163_7529,https://reporter.nih.gov/project-details/10927243,271697941,4067941.7,4067941.7,2025-04-08,2026-03-05,FALSE,FALSE,FALSE,59257.450000000186,1.014782269269524,1575686.16,747941.99,827744.1699999999,0,0,0,60,344,,unitid:147767
epa,02J28601,ASST_NON_02J28601_068,University of Washington,Washington,University of Washington,Washington,Seattle,Public,236948,2339527.75,6660472.25,9000000,2025-03-25,2028-05-31,https://www.usaspending.gov/award/ASST_NON_02J28601_068/,,198421934,2339527.75,9000000,2025-05-02,2025-06-05,TRUE,FALSE,TRUE,0,1,588886.0799999998,229321.45999999985,0,0,0,0,5,20,,unitid:236948
nsf,2217242,ASST_NON_2217242_4900,Chaminade University of Honolulu,Hawaii,Chaminade University of Honolulu,Hawaii,Honolulu,Private not-for-profit,141486,2035944.23,6426068.77,8462013,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2217242_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2217242,235546802,2035944.23,5763558,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,112134.12999999999,0,0,0,0,0,6,40,,unitid:141486
nsf,2217346,ASST_NON_2217346_4900,Clark Atlanta University,Georgia,Clark Atlanta University,Georgia,Atlanta,Private not-for-profit,138947,3649486.38,6348802.62,9998289,2025-05-02,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2217346_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2217346,235547020,3649486.38,5779308,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,643301.4400000002,643301.4400000002,0,0,0,0,7,29,,unitid:138947
epa,98T65801,ASST_NON_98T65801_068,San Diego State University Foundation,California,San Diego State University,California,San Diego,Public,122409,2004941.21,6095058.79,8100000,2025-02-21,2028-05-30,https://www.usaspending.gov/award/ASST_NON_98T65801_068/,,258855400,2004941.21,8100000,2025-02-21,2025-03-05,FALSE,FALSE,FALSE,0,1,500374.4399999999,124808.44,0,0,0,0,4,28,,unitid:122409
epa,00I10501,ASST_NON_00I10501_068,Montana State University,Montana,Montana State University,Montana,Bozeman,Public,180461,938623.03,6061376.97,7000000,2025-02-21,2029-04-30,https://www.usaspending.gov/award/ASST_NON_00I10501_068/,,197964991,938623.03,7000000,2025-02-21,2025-03-05,FALSE,FALSE,FALSE,0,1,465160.03,0,0,0,0,0,3,15,,unitid:180461
epa,96701501,ASST_NON_96701501_068,Wichita State University,Kansas,Wichita State University,Kansas,Wichita,Public,156125,2062036.08,5937963.92,8000000,2025-02-21,2028-03-31,https://www.usaspending.gov/award/ASST_NON_96701501_068/,,258205184,2062036.08,8000000,2025-02-21,2025-03-05,FALSE,FALSE,FALSE,0,1,365504.95000000007,0,0,0,0,0,4,22,,unitid:156125
nsf,2311385,ASST_NON_2311385_4900,University of Texas at El Paso,Texas,The University of Texas at El Paso,Texas,El Paso,Public,228796,1083387.39,5916544.61,6999932,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2311385_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2311385,235839372,1083387.39,2250639,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,164541.19,164541.19,0,0,0,0,3,20,,unitid:228796
nih,3R01AG075818-04S1,ASST_NON_R01AG075818_7529,University of Michigan at Ann Arbor,Michigan,University of Michigan-Ann Arbor,Michigan,Ann Arbor,Public,170976,841555.19,5570174.47,6411729.66,2025-04-29,,https://www.usaspending.gov/award/ASST_NON_R01AG075818_7529,https://reporter.nih.gov/project-details/11124291,270136979,2049677.16,7060533,2027-05-31,2026-03-20,TRUE,TRUE,TRUE,1208121.97,2.435582578963122,956158.92,502751.82000000007,178349.05000000002,1284306,104841,0,20,48,,unitid:170976
epa,02F33801,ASST_NON_02F33801_068,New Mexico State University,New Mexico,New Mexico State University-Main Campus,New Mexico,Las Cruces,Public,188030,2455830.39,5544169.61,8000000,2025-03-25,2028-05-31,https://www.usaspending.gov/award/ASST_NON_02F33801_068/,,198418474,2455830.39,8000000,2025-05-01,2025-06-05,TRUE,FALSE,TRUE,0,1,933141.4199999999,468834.58999999985,0,0,0,0,4,20,,unitid:188030
epa,98T65901,ASST_NON_98T65901_068,University of Arizona,Arizona,University of Arizona,Arizona,Tucson,Public,104179,2563467.42,5536532.58,8100000,2025-03-25,2028-05-30,https://www.usaspending.gov/award/ASST_NON_98T65901_068/,,258855401,2563467.42,8100000,2025-05-01,2025-06-05,TRUE,FALSE,TRUE,0,1,333078.75,121051.28000000003,0,0,0,0,4,25,,unitid:104179
epa,00E03450,ASST_NON_00E03450_068,University of Minnesota,Minnesota,University of Minnesota,Minnesota,Minneapolis,Public,174066,2478114.75,5521885.25,8000000,2025-02-21,2028-05-31,https://www.usaspending.gov/award/ASST_NON_00E03450_068/,,197960882,2478114.75,8000000,2025-02-21,2025-03-05,FALSE,FALSE,FALSE,0,1,510119.89000000013,41436.630000000005,0,0,0,0,5,23,,unitid:174066
epa,00A01452,ASST_NON_00A01452_068,University of Connecticut,Connecticut,University of Connecticut,Connecticut,Storrs,Public,129020,485406.14,5514593.86,6000000,2025-03-25,2029-06-30,https://www.usaspending.gov/award/ASST_NON_00A01452_068/,,197956446,485406.14,6000000,2025-05-01,2025-06-05,TRUE,FALSE,TRUE,0,1,309645.01,165086.72,0,0,0,0,3,15,,unitid:129020
nih,5R24AI120942-09,ASST_NON_R24AI120942_7529,University of Texas Medical Branch at Galveston,Texas,The University of Texas Medical Branch at Galveston,Texas,Galveston,Public,228653,3105979.61,5389177.63,8495157.24,2025-03-24,,https://www.usaspending.gov/award/ASST_NON_R24AI120942_7529,https://reporter.nih.gov/project-details/10848229,270331665,3105979.61,8495157.24,2025-03-24,2025-04-04,FALSE,FALSE,FALSE,0,1,77642.34000000003,0,0,0,0,0,19,77,,unitid:228653
nsf,2417666,ASST_NON_2417666_4900,University of Chicago,Illinois,University of Chicago,Illinois,Chicago,Private not-for-profit,144050,338162.61,5319200.39,5657363,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2417666_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2417666,236115205,338162.61,338163,2025-04-25,2025-11-17,FALSE,FALSE,FALSE,0,1,338162.61,338162.61,0,0,0,0,3,1,,unitid:144050
nsf,2228205,ASST_NON_2228205_4900,University of Texas at Austin,Texas,The University of Texas at Austin,Texas,Austin,Public,228778,1769702.35,5287582.65,7057285,2025-05-22,2025-04-18,https://www.usaspending.gov/award/ASST_NON_2228205_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2228205,235598284,1769702.35,5558674,2025-04-18,2025-06-03,FALSE,FALSE,FALSE,0,1,133273.18000000005,133273.18000000005,0,0,0,0,7,25,,unitid:228778
nsf,2417148,ASST_NON_2417148_4900,University of Colorado Boulder,Colorado,University of Colorado Boulder,Colorado,Boulder,Public,126614,745536.57,5254275.43,5999812,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2417148_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2417148,236113996,745536.57,745537,2025-04-25,2025-11-17,FALSE,FALSE,FALSE,0,1,347564.4799999999,347564.4799999999,0,0,0,0,3,11,,unitid:126614
nsf,2331458,ASST_NON_2331458_4900,Illinois Institute of Technology,Illinois,Illinois Institute of Technology,Illinois,Chicago,Private not-for-profit,145725,882091.74,5117908.26,6000000,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2331458_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2331458,235894319,882091.74,6000000,2025-04-25,2025-05-19,FALSE,FALSE,FALSE,0,1,353226.97,353226.97,0,0,0,0,8,39,,unitid:145725
nih,3P50MD017348-04S1,ASST_NON_P50MD017348_7529,Johns Hopkins University,Maryland,Johns Hopkins University,Maryland,Baltimore,Private not-for-profit,162928,13821522,5106035,18927557,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_P50MD017348_7529,https://reporter.nih.gov/project-details/10939514,270012663,17064379.05,24163298,2026-06-30,2025-08-20,TRUE,TRUE,TRUE,3242857.0500000007,1.2346237302954046,4626024.78,1900123.0200000003,1085106.6,5235741,5235741,0,15,47,,unitid:162928
nih,5R25GM069234-20,ASST_NON_R25GM069234_7529,Baylor College of Medicine,Texas,,,,,,1028245.71,5082583.59,6110829.3,2025-04-14,,https://www.usaspending.gov/award/ASST_NON_R25GM069234_7529,https://reporter.nih.gov/project-details/10767939,270334686,1028245.71,6110829.3,2025-01-31,2025-06-20,FALSE,FALSE,FALSE,0,1,27600.619999999995,0,0,0,0,0,28,45,,baylor college of medicine|texas
nsf,2120021,ASST_NON_2120021_4900,Arizona State University,Arizona,Arizona State University,Arizona,Tempe,Public,104151,4971907.45,5003489.55,9975397,2025-05-22,2027-07-31,https://www.usaspending.gov/award/ASST_NON_2120021_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2120021,235210771,4971907.45,7976632,2026-07-31,2026-02-18,TRUE,TRUE,TRUE,0,1,565158.6299999999,565158.6299999999,0,0,0,0,17,42,,unitid:104151
nsf,2228173,ASST_NON_2228173_4900,Columbia University,New York,Columbia University in the City of New York,New York,New York,Private not-for-profit,190150,2360001.88,4979239.12,7339241,2025-04-18,2025-04-18,https://www.usaspending.gov/award/ASST_NON_2228173_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2228173,235598212,2360001.88,2360002,2025-04-18,2025-11-17,FALSE,FALSE,FALSE,0,1,179788.22999999998,127400.82999999996,0,0,0,0,5,31,,unitid:190150
nih,5U54CA267735-04,ASST_NON_U54CA267735_7529,Drexel University,Pennsylvania,Drexel University,Pennsylvania,Philadelphia,Private not-for-profit,212054,9351903.51,4895487.49,14247391,2025-03-21,,https://www.usaspending.gov/award/ASST_NON_U54CA267735_7529,https://reporter.nih.gov/project-details/10914163,271697932,9351903.51,14247391,2025-03-21,2025-04-04,FALSE,FALSE,FALSE,0,1,1036015.5700000001,0,0,0,0,0,10,36,,unitid:212054
nih,5R25GM060566-22,ASST_NON_R25GM060566_7529,Spelman College,Georgia,,,,,,1163302.94,4854705.39,6018008.33,2025-03-21,,https://www.usaspending.gov/award/ASST_NON_R25GM060566_7529,https://reporter.nih.gov/project-details/10458637,270334619,1163302.94,6018008.33,2025-03-21,2025-09-24,FALSE,FALSE,FALSE,0,1,26517.380000000005,0,0,0,0,0,28,45,,spelman college|georgia
nih,5R25GM066534-20,ASST_NON_R25GM066534_7529,Virginia Polytechnic Institute and State University,Virginia,Virginia Polytechnic Institute and State University,Virginia,Blacksburg,Public,233921,1496583.37,4583261.35,6079844.72,2025-03-21,,https://www.usaspending.gov/award/ASST_NON_R25GM066534_7529,https://reporter.nih.gov/project-details/10849666,270334673,1475871.67,5956838.74,2025-03-21,2026-03-05,FALSE,FALSE,FALSE,-20711.700000000186,0.9861606774369007,72803.81999999998,0,0,0,0,0,36,46,,unitid:233921
nih,5R25GM086262-16,ASST_NON_R25GM086262_7529,University of Michigan at Ann Arbor,Michigan,University of Michigan-Ann Arbor,Michigan,Ann Arbor,Public,170976,1530158.58,4537790.97,6067949.55,2025-04-14,,https://www.usaspending.gov/award/ASST_NON_R25GM086262_7529,https://reporter.nih.gov/project-details/10809601,270334759,1530158.58,6067949.55,2025-02-28,2025-09-05,FALSE,FALSE,FALSE,0,1,61664.140000000014,61664.140000000014,0,0,0,0,27,45,,unitid:170976
nih,2R25GM066522-19,ASST_NON_R25GM066522_7529,University of Chicago,Illinois,University of Chicago,Illinois,Chicago,Private not-for-profit,144050,1586806.8,4450458.2,6037265,2025-04-14,,https://www.usaspending.gov/award/ASST_NON_R25GM066522_7529,https://reporter.nih.gov/project-details/10772859,270334670,1586806.8,5908716.63,2025-01-31,2026-02-09,FALSE,FALSE,FALSE,0,1,146366.84,146366.84,0,0,0,0,30,45,,unitid:144050
nih,5R25MD007607-23,ASST_NON_R25MD007607_7529,University of Puerto Rico Medical Sciences,Puerto Rico,,,,,,2881047.68,4440396.32,7321444,2025-05-29,,https://www.usaspending.gov/award/ASST_NON_R25MD007607_7529,https://reporter.nih.gov/project-details/10831854,270335672,2837847.68,7373134,2027-12-31,2026-03-05,TRUE,TRUE,TRUE,-43200,0.9850054546823744,389344.8999999999,276420.44999999995,0,585429.69,0,585429.69,72,46,,university of puerto rico medical sciences|puerto rico
nsf,2119902,ASST_NON_2119902_4900,Auburn University,Alabama,Auburn University,Alabama,Auburn,Public,100858,5630388.03,4369611.97,10000000,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2119902_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2119902,235209456,5630388.03,7917483,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,997898.89,997898.89,0,0,0,0,7,64,,unitid:100858
nih,2R25GM071745-19,ASST_NON_R25GM071745_7529,University of Pennsylvania,Pennsylvania,University of Pennsylvania,Pennsylvania,Philadelphia,Private not-for-profit,215062,1091892.57,4356934.39,5448826.96,2025-04-14,,https://www.usaspending.gov/award/ASST_NON_R25GM071745_7529,https://reporter.nih.gov/project-details/10782341,270334699,1091892.57,5448826.96,2025-02-28,2026-02-09,FALSE,FALSE,FALSE,0,1,27056.199999999953,0,0,0,0,0,26,45,,unitid:215062
nsf,2119930,ASST_NON_2119930_4900,Northeastern University,Massachusetts,Northeastern University,Massachusetts,Boston,Private not-for-profit,167358,5764812.98,4235187.02,10000000,2025-04-30,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2119930_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2119930,235209523,5764812.98,8950000,2025-05-02,2025-06-03,TRUE,FALSE,TRUE,0,1,916121.2,916121.2,0,0,0,0,16,89,,unitid:167358
nih,2R25GM064118-23,ASST_NON_R25GM064118_7529,Icahn School of Medicine at Mount Sinai,New York,,,,,,1230414.57,4196839.26,5427253.83,2025-04-14,,https://www.usaspending.gov/award/ASST_NON_R25GM064118_7529,https://reporter.nih.gov/project-details/10772732,270334653,1230414.57,5427253.83,2025-01-31,2026-01-20,FALSE,FALSE,FALSE,0,1,75084.29000000001,75084.29000000001,0,0,0,0,29,59,,icahn school of medicine at mount sinai|new york
nih,2R25GM086256-14,ASST_NON_R25GM086256_7529,University of Alabama at Birmingham,Alabama,University of Alabama at Birmingham,Alabama,Birmingham,Public,100663,1320366.83,4029125.17,5349492,2025-04-14,,https://www.usaspending.gov/award/ASST_NON_R25GM086256_7529,https://reporter.nih.gov/project-details/10771806,270334757,1320366.83,5159796.22,2025-03-31,2026-02-09,FALSE,FALSE,FALSE,0,1,211429.32999999996,0,0,0,0,0,25,45,,unitid:100663
nih,3U19AI089992-13S1,ASST_NON_U19AI089992_7529,Yale University,Connecticut,Yale University,Connecticut,New Haven,Private not-for-profit,130794,6871585.78,3972903.36,10844489.14,2025-05-16,,https://www.usaspending.gov/award/ASST_NON_U19AI089992_7529,https://reporter.nih.gov/project-details/11163641,271684790,16616260.36,45502782.9,2028-04-30,2026-03-20,TRUE,TRUE,TRUE,9744674.579999998,2.4181114653857962,2303517.2399999998,1796776.15,506741.08999999997,2388688,0,0,62,97,,unitid:130794
nsf,1930990,ASST_NON_1930990_4900,University of Pittsburgh,Pennsylvania,University of Pittsburgh-Pittsburgh Campus,Pennsylvania,Pittsburgh,Public,215293,6238574.11,3761475.89,10000050,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_1930990_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=1930990,233992544,6238574.11,10000050,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,10,66,,unitid:215293
nsf,2201904,ASST_NON_2201904_4900,Bowie State University,Maryland,Bowie State University,Maryland,Bowie,Public,162007,280192.43,3717766.57,3997959,2025-05-22,2025-04-18,https://www.usaspending.gov/award/ASST_NON_2201904_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2201904,235418181,280192.43,3163527,2025-04-18,2025-06-03,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,2,21,,unitid:162007
cdc,NU2HGH000069,ASST_NON_NU2HGH000069_075,"The Ohio State University, the",Ohio,Ohio State University-Main Campus,Ohio,Columbus,Public,204796,9103233.55,3655677.45,12758911,2025-03-24,2026-09-29,https://www.usaspending.gov/award/ASST_NON_NU2HGH000069_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NU2HGH000069&arg_ProgOfficeCode=253,269017465,9103233.55,13922911,2026-09-29,2026-03-20,TRUE,TRUE,TRUE,0,1,646850.39,485107.10000000003,58356.94,3894000,2525000,1164000,103,123,,unitid:204796
nih,2R25HL106365-15,ASST_NON_R25HL106365_7529,Augusta University,Georgia,Augusta University,Georgia,Augusta,Public,482149,1608822.39,3622528.61,5231351,2025-06-13,,https://www.usaspending.gov/award/ASST_NON_R25HL106365_7529,https://reporter.nih.gov/project-details/10807414,270335540,1608822.39,5123807.01,2025-02-28,2026-02-09,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,27,45,,unitid:482149
nih,5R25HL105400-15,ASST_NON_R25HL105400_7529,Washington University,Missouri,Washington University in St Louis,Missouri,St. Louis,Private not-for-profit,179867,1612893.05,3571284.95,5184178,2025-06-13,,https://www.usaspending.gov/award/ASST_NON_R25HL105400_7529,https://reporter.nih.gov/project-details/11006320,270335534,1670816.12,5184178,2025-12-31,2026-02-09,TRUE,TRUE,TRUE,57923.070000000065,1.0359125299721517,187131.90000000002,92995.91999999998,57923.07,0,0,0,29,49,,unitid:179867
nsf,2315095,ASST_NON_2315095_4900,University of Texas at San Antonio,Texas,The University of Texas at San Antonio,Texas,San Antonio,Public,229027,112696.93,3528419.07,3641116,2025-04-18,2025-04-18,https://www.usaspending.gov/award/ASST_NON_2315095_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2315095,235848264,112696.93,2237769,2025-04-18,2025-06-03,FALSE,FALSE,FALSE,0,1,7499.689999999988,7499.689999999988,0,0,0,0,2,13,,unitid:229027
nih,5R25GM064120-20,ASST_NON_R25GM064120_7529,University of Missouri-Columbia,Missouri,University of Missouri-Columbia,Missouri,Columbia,Public,178396,1273983.18,3443402.82,4717386,2025-04-14,,https://www.usaspending.gov/award/ASST_NON_R25GM064120_7529,https://reporter.nih.gov/project-details/10782468,270334654,1273983.18,5094414,2029-01-31,2026-02-20,TRUE,TRUE,TRUE,0,1,121290.19999999995,0,0,377028,0,377028,29,45,,unitid:178396
nsf,2417833,ASST_NON_2417833_4900,Morehouse College,Georgia,Morehouse College,Georgia,Atlanta,Private not-for-profit,140553,321015.57,3428980.43,3749996,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2417833_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2417833,236115629,321015.57,750000,2025-04-25,2025-05-19,FALSE,FALSE,FALSE,0,1,216561.99,0.7999999999883585,0,0,0,0,2,8,,unitid:140553
nsf,2409182,ASST_NON_2409182_4900,University of Illinois Urbana-Champaign,Illinois,University of Illinois Urbana-Champaign,Illinois,Champaign,Public,145637,129683.64,3370316.36,3500000,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2409182_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2409182,236093875,129683.64,700000,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,82837.28,82837.28,0,0,0,0,4,15,,unitid:145637
nsf,2326731,ASST_NON_2326731_4900,East Carolina University,North Carolina,East Carolina University,North Carolina,Greenville,Public,198464,801040.26,3337470.74,4138511,2025-05-22,2025-05-09,https://www.usaspending.gov/award/ASST_NON_2326731_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2326731,235883374,801040.26,801041,2025-05-09,2025-11-17,FALSE,FALSE,FALSE,0,1,222955.41999999998,0,0,0,0,0,4,14,,unitid:198464
nsf,2315178,ASST_NON_2315178_4900,Northwestern University,Illinois,Northwestern University,Illinois,Evanston,Private not-for-profit,147767,1195107.94,3326114.06,4521222,2025-05-22,2025-04-18,https://www.usaspending.gov/award/ASST_NON_2315178_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2315178,235848454,1195107.94,1201297,2025-04-18,2025-09-18,FALSE,FALSE,FALSE,0,1,636319.0499999999,636319.0499999999,0,0,0,0,8,20,,unitid:147767
nih,5R25GM066526-17,ASST_NON_R25GM066526_7529,University of South Carolina,South Carolina,University of South Carolina-Columbia,South Carolina,Columbia,Public,218663,844784.75,3273228.23,4118012.98,2025-04-14,,https://www.usaspending.gov/award/ASST_NON_R25GM066526_7529,https://reporter.nih.gov/project-details/10811777,270334672,844784.75,4118012.98,2025-02-28,2025-05-05,FALSE,FALSE,FALSE,0,1,12404.940000000002,0,0,0,0,0,24,42,,unitid:218663
epa,00E05004,ASST_NON_00E05004_068,University of Wisconsin System,Wisconsin,,,,,,79896.63,3206525.37,3286422,2025-03-25,2027-11-30,https://www.usaspending.gov/award/ASST_NON_00E05004_068/,,197961475,79896.63,3286422,2025-05-02,2025-06-05,TRUE,FALSE,TRUE,0,1,79896.63,78317.65000000001,0,0,0,0,2,7,,university of wisconsin system|wisconsin
nsf,2307307,ASST_NON_2307307_4900,Millersville University,Pennsylvania,Millersville University of Pennsylvania,Pennsylvania,Millersville,Public,214041,298067.1,3150383.9,3448451,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2307307_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2307307,235804030,298067.1,1215079,2025-05-02,2025-06-16,FALSE,FALSE,FALSE,0,1,35280.42000000004,0,0,0,0,0,3,22,,unitid:214041
nsf,2409150,ASST_NON_2409150_4900,University of Kansas Center for Research Inc,Kansas,,,,,,355823.71,3144176.29,3500000,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2409150_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2409150,236093803,355823.71,700000,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,236512.39,236512.39,0,0,0,0,2,11,,university of kansas center for research inc|kansas
nih,5R25GM089614-13,ASST_NON_R25GM089614_7529,Virginia Commonwealth University,Virginia,Virginia Commonwealth University,Virginia,Richmond,Public,234030,1398036.53,3007412.03,4405448.56,2025-04-14,,https://www.usaspending.gov/award/ASST_NON_R25GM089614_7529,https://reporter.nih.gov/project-details/10772990,270334774,1272458.91,4279870.94,2024-12-31,2026-03-05,FALSE,FALSE,FALSE,-125577.62000000011,0.9101757233768418,32733.570000000007,0,0,0,0,0,23,45,,unitid:234030
nih,5K12GM106997-09,ASST_NON_K12GM106997_7529,University of Rochester,New York,University of Rochester,New York,Rochester,Private not-for-profit,195030,1766649.18,2965717.48,4732366.66,2025-06-09,,https://www.usaspending.gov/award/ASST_NON_K12GM106997_7529,https://reporter.nih.gov/project-details/10875475,268141736,1766649.18,4732366.66,2025-06-30,2026-01-20,TRUE,FALSE,TRUE,0,1,169838.41000000003,169838.41000000003,0,0,0,0,19,45,,unitid:195030
