agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key,proposal,continuation_signal,outlay_signal,proposal_flag
epa,00A01452,ASST_NON_00A01452_068,University of Connecticut,Connecticut,University of Connecticut,Connecticut,Storrs,Public,129020,485406.14,5514593.86,6000000,2025-03-25,2029-06-30,https://www.usaspending.gov/award/ASST_NON_00A01452_068/,,197956446,485406.14,6000000,2025-05-01,2025-06-05,TRUE,FALSE,TRUE,0,1,309645.01,165086.72,0,0,0,0,3,15,,unitid:129020,E,FALSE,TRUE,TRUE
nih,3P50MD017348-04S1,ASST_NON_P50MD017348_7529,Johns Hopkins University,Maryland,Johns Hopkins University,Maryland,Baltimore,Private not-for-profit,162928,13821522,5106035,18927557,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_P50MD017348_7529,https://reporter.nih.gov/project-details/10939514,270012663,17064379.05,24163298,2026-06-30,2025-08-20,TRUE,TRUE,TRUE,3242857.0500000007,1.2346237302954046,4626024.78,1900123.0200000003,1085106.6,5235741,5235741,0,15,47,,unitid:162928,E,TRUE,TRUE,TRUE
nsf,2120021,ASST_NON_2120021_4900,Arizona State University,Arizona,Arizona State University,Arizona,Tempe,Public,104151,4971907.45,5003489.55,9975397,2025-05-22,2027-07-31,https://www.usaspending.gov/award/ASST_NON_2120021_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2120021,235210771,4971907.45,7976632,2026-07-31,2026-02-18,TRUE,TRUE,TRUE,0,1,565158.6299999999,565158.6299999999,0,0,0,0,17,42,,unitid:104151,E,FALSE,TRUE,TRUE
nih,5R25MD007607-23,ASST_NON_R25MD007607_7529,University of Puerto Rico Medical Sciences,Puerto Rico,,,,,,2881047.68,4440396.32,7321444,2025-05-29,,https://www.usaspending.gov/award/ASST_NON_R25MD007607_7529,https://reporter.nih.gov/project-details/10831854,270335672,2837847.68,7373134,2027-12-31,2026-03-05,TRUE,TRUE,TRUE,-43200,0.9850054546823744,389344.8999999999,276420.44999999995,0,585429.69,0,585429.69,72,46,,university of puerto rico medical sciences|puerto rico,E,TRUE,TRUE,TRUE
nsf,2119930,ASST_NON_2119930_4900,Northeastern University,Massachusetts,Northeastern University,Massachusetts,Boston,Private not-for-profit,167358,5764812.98,4235187.02,10000000,2025-04-30,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2119930_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2119930,235209523,5764812.98,8950000,2025-05-02,2025-06-03,TRUE,FALSE,TRUE,0,1,916121.2,916121.2,0,0,0,0,16,89,,unitid:167358,E,FALSE,TRUE,TRUE
nih,3U19AI089992-13S1,ASST_NON_U19AI089992_7529,Yale University,Connecticut,Yale University,Connecticut,New Haven,Private not-for-profit,130794,6871585.78,3972903.36,10844489.14,2025-05-16,,https://www.usaspending.gov/award/ASST_NON_U19AI089992_7529,https://reporter.nih.gov/project-details/11163641,271684790,16616260.36,45502782.9,2028-04-30,2026-03-20,TRUE,TRUE,TRUE,9744674.579999998,2.4181114653857962,2303517.2399999998,1796776.15,506741.08999999997,2388688,0,0,62,97,,unitid:130794,E,TRUE,TRUE,TRUE
cdc,NU2HGH000069,ASST_NON_NU2HGH000069_075,"The Ohio State University, the",Ohio,Ohio State University-Main Campus,Ohio,Columbus,Public,204796,9103233.55,3655677.45,12758911,2025-03-24,2026-09-29,https://www.usaspending.gov/award/ASST_NON_NU2HGH000069_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NU2HGH000069&arg_ProgOfficeCode=253,269017465,9103233.55,13922911,2026-09-29,2026-03-20,TRUE,TRUE,TRUE,0,1,646850.39,485107.10000000003,58356.94,3894000,2525000,1164000,103,123,,unitid:204796,E,TRUE,TRUE,TRUE
nih,5R25HL105400-15,ASST_NON_R25HL105400_7529,Washington University,Missouri,Washington University in St Louis,Missouri,St. Louis,Private not-for-profit,179867,1612893.05,3571284.95,5184178,2025-06-13,,https://www.usaspending.gov/award/ASST_NON_R25HL105400_7529,https://reporter.nih.gov/project-details/11006320,270335534,1670816.12,5184178,2025-12-31,2026-02-09,TRUE,TRUE,TRUE,57923.070000000065,1.0359125299721517,187131.90000000002,92995.91999999998,57923.07,0,0,0,29,49,,unitid:179867,E,FALSE,TRUE,TRUE
nih,5R25GM064120-20,ASST_NON_R25GM064120_7529,University of Missouri-Columbia,Missouri,University of Missouri-Columbia,Missouri,Columbia,Public,178396,1273983.18,3443402.82,4717386,2025-04-14,,https://www.usaspending.gov/award/ASST_NON_R25GM064120_7529,https://reporter.nih.gov/project-details/10782468,270334654,1273983.18,5094414,2029-01-31,2026-02-20,TRUE,TRUE,TRUE,0,1,121290.19999999995,0,0,377028,0,377028,29,45,,unitid:178396,E,TRUE,TRUE,TRUE
epa,00E05004,ASST_NON_00E05004_068,University of Wisconsin System,Wisconsin,,,,,,79896.63,3206525.37,3286422,2025-03-25,2027-11-30,https://www.usaspending.gov/award/ASST_NON_00E05004_068/,,197961475,79896.63,3286422,2025-05-02,2025-06-05,TRUE,FALSE,TRUE,0,1,79896.63,78317.65000000001,0,0,0,0,2,7,,university of wisconsin system|wisconsin,E,FALSE,TRUE,TRUE
nih,5K12GM106997-09,ASST_NON_K12GM106997_7529,University of Rochester,New York,University of Rochester,New York,Rochester,Private not-for-profit,195030,1766649.18,2965717.48,4732366.66,2025-06-09,,https://www.usaspending.gov/award/ASST_NON_K12GM106997_7529,https://reporter.nih.gov/project-details/10875475,268141736,1766649.18,4732366.66,2025-06-30,2026-01-20,TRUE,FALSE,TRUE,0,1,169838.41000000003,169838.41000000003,0,0,0,0,19,45,,unitid:195030,E,FALSE,TRUE,TRUE
nih,5R25HG006687-13,ASST_NON_R25HG006687_7529,Washington University,Missouri,Washington University in St Louis,Missouri,St. Louis,Private not-for-profit,179867,1158935.01,2915566.99,4074502,2025-04-14,,https://www.usaspending.gov/award/ASST_NON_R25HG006687_7529,https://reporter.nih.gov/project-details/11000344,270335415,1163001.32,4074502,2025-11-30,2025-04-21,TRUE,TRUE,TRUE,4066.310000000056,1.003508660938632,165404.08,94703.90999999996,4066.3100000000013,0,0,0,39,49,,unitid:179867,E,FALSE,TRUE,TRUE
nih,5R25HL126145-12,ASST_NON_R25HL126145_7529,University of Houston,Texas,University of Houston,Texas,Houston,Public,225511,1195633.14,2608851.81,3804484.95,2025-06-13,,https://www.usaspending.gov/award/ASST_NON_R25HL126145_7529,https://reporter.nih.gov/project-details/11004967,270335571,1205773.69,3804484.95,2025-12-31,2026-02-09,TRUE,TRUE,TRUE,10140.550000000047,1.00848132228921,166532.13,124288.25999999998,10140.55,0,0,0,31,76,,unitid:225511,E,FALSE,TRUE,TRUE
