agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key,proposal,activity_signal,materially_higher,proposal_flag
nih,3R01DC008524-18S1,ASST_NON_R01DC008524_7529,Carnegie-Mellon University,Pennsylvania,Carnegie Mellon University,Pennsylvania,Pittsburgh,Private not-for-profit,211440,1198509,291119,1489628,2025-05-22,,https://www.usaspending.gov/award/ASST_NON_R01DC008524_7529,https://reporter.nih.gov/project-details/10988462,270178670,1832142.82,6368893,2028-05-31,2025-06-05,TRUE,TRUE,TRUE,633633.8200000001,1.5286850745384475,619064.13,278978.25000000006,0,1,0,0,41,60,,unitid:211440,C_medium,TRUE,TRUE,TRUE
nih,3R01MD018255-03S1,ASST_NON_R01MD018255_7529,Yale University,Connecticut,Yale University,Connecticut,New Haven,Private not-for-profit,130794,1142700,262227,1404927,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_R01MD018255_7529,https://reporter.nih.gov/project-details/11100245,270238566,1590296.02,1823677,2027-05-31,2026-03-20,TRUE,TRUE,TRUE,447596.02,1.3917003763017415,522316.5399999999,352930.94999999995,117288.92000000001,418750,418750,0,13,37,,unitid:130794,C_medium,TRUE,TRUE,TRUE
nih,3R01AI175079-02S1,ASST_NON_R01AI175079_7529,University of Texas Health Sciences Center Houston,Texas,,,,,,748391,157599,905990,2025-04-18,,https://www.usaspending.gov/award/ASST_NON_R01AI175079_7529,https://reporter.nih.gov/project-details/11055734,270148842,1045948.21,2064827,2028-07-31,2025-08-20,TRUE,TRUE,TRUE,297557.20999999996,1.397595922452301,363277.56,238281.16999999998,65660.16999999998,1158837,1158837,0,7,26,,university of texas health sciences center houston|texas,C_medium,TRUE,TRUE,TRUE
nih,3R01AI167356-03S1,ASST_NON_R01AI167356_7529,Emory University,Georgia,Emory University,Georgia,Atlanta,Private not-for-profit,139658,1913766,155301,2069067,2025-06-06,,https://www.usaspending.gov/award/ASST_NON_R01AI167356_7529,https://reporter.nih.gov/project-details/11136106,270148268,2404993.83,2764202,2027-07-31,2025-08-20,TRUE,TRUE,TRUE,491227.8300000001,1.2566812400262102,623079.08,305039.00999999995,238281.61000000002,695135,695135,0,7,37,,unitid:139658,C_medium,TRUE,TRUE,TRUE
nih,3R01GM127703-09S1,ASST_NON_R01GM127703_7529,Princeton University,New Jersey,Princeton University,New Jersey,Princeton,Private not-for-profit,186131,874070,141078,1015148,2025-06-05,,https://www.usaspending.gov/award/ASST_NON_R01GM127703_7529,https://reporter.nih.gov/project-details/11045279,270210527,1346805.19,2741111.78,2027-02-28,2026-02-20,TRUE,TRUE,TRUE,472735.18999999994,1.540843628084707,294186.41,263400.22,30786.190000000002,327228,0,327228,23,48,,unitid:186131,C_medium,TRUE,TRUE,TRUE
nih,3R01AI125524-09S1,ASST_NON_R01AI125524_7529,University of Pennsylvania,Pennsylvania,University of Pennsylvania,Pennsylvania,Philadelphia,Private not-for-profit,215062,2266490,116817,2383307,2025-04-18,,https://www.usaspending.gov/award/ASST_NON_R01AI125524_7529,https://reporter.nih.gov/project-details/11167961,270145303,2925698.2,5575361,2026-08-31,2025-09-05,TRUE,TRUE,TRUE,659208.2000000002,1.2908498162356772,566864.2000000001,251269.15000000008,193372.43,557225,557225,0,18,50,,unitid:215062,C_medium,TRUE,TRUE,TRUE
nih,3R35GM124791-08S1,ASST_NON_R35GM124791_7529,Purdue University,Indiana,Purdue University-Main Campus,Indiana,West Lafayette,Public,243780,1281254,105657,1386911,2025-06-10,,https://www.usaspending.gov/award/ASST_NON_R35GM124791_7529,https://reporter.nih.gov/project-details/11137167,270345696,1872899.7,3768438,2027-07-31,2025-07-03,TRUE,TRUE,TRUE,591645.7,1.4617708120325867,470532.63999999996,321594.91,89381.48999999999,417603,0,0,15,49,,unitid:243780,C_medium,TRUE,TRUE,TRUE
nih,3R01AI139261-06S1,ASST_NON_R01AI139261_7529,Texas A&M University Health Science Center,Texas,,,,,,128126,55640,183766,2025-04-18,,https://www.usaspending.gov/award/ASST_NON_R01AI139261_7529,https://reporter.nih.gov/project-details/11015520,270146255,2984074.08,5966565,2028-01-31,2026-02-20,TRUE,TRUE,TRUE,2855948.08,23.29015250612678,799777.2799999999,280802.07,193166.40999999997,747884,0,747884,17,49,,texas a&m university health science center|texas,C_medium,TRUE,TRUE,TRUE
nih,3R01HL171586-02S1,ASST_NON_R01HL171586_7529,Loyola University Chicago,Illinois,Loyola University Chicago,Illinois,Chicago,Private not-for-profit,146719,33428.8461538462,53486.1538461538,86915,2025-06-06,,https://www.usaspending.gov/award/ASST_NON_R01HL171586_7529,https://reporter.nih.gov/project-details/11100812,270234075,970386.38,1835367,2028-12-31,2026-03-05,TRUE,TRUE,TRUE,936957.5338461538,29.028413829603597,293418.3,292329.83999999997,1088.4599999999919,602637,61549,541088,7,22,,unitid:146719,C_medium,TRUE,TRUE,TRUE
nih,3DP2AI171120-03S1,ASST_NON_DP2AI171120_7529,University of Chicago,Illinois,University of Chicago,Illinois,Chicago,Private not-for-profit,144050,45065,46025,91090,2025-04-18,,https://www.usaspending.gov/award/ASST_NON_DP2AI171120_7529,https://reporter.nih.gov/project-details/11146021,260416093,1600192.71,2011979,2027-08-31,2026-02-06,TRUE,TRUE,TRUE,1555127.71,35.50854787529124,570664.1599999999,453141.06000000006,82708.44999999995,481500,481500,0,11,37,,unitid:144050,C_medium,TRUE,TRUE,TRUE
nih,3R35GM145374-03S2,ASST_NON_R35GM145374_7529,University of Chicago,Illinois,University of Chicago,Illinois,Chicago,Private not-for-profit,144050,2171206,6322,2177528,2025-06-01,,https://www.usaspending.gov/award/ASST_NON_R35GM145374_7529,https://reporter.nih.gov/project-details/11061126,270347304,2765501.04,2860820,2027-06-30,2025-07-21,TRUE,TRUE,TRUE,594295.04,1.273716561210682,652564.8,639921.28,0,683292,0,0,8,39,,unitid:144050,C_medium,TRUE,TRUE,TRUE
nih,3P01CA214091-08S2,ASST_NON_P01CA214091_7529,University of Florida,Florida,University of Florida,Florida,Gainesville,Public,134130,73997,2756,76753,2025-04-22,,https://www.usaspending.gov/award/ASST_NON_P01CA214091_7529,https://reporter.nih.gov/project-details/10977258,269407198,6760756.66,14239850,2027-01-31,2026-01-20,TRUE,TRUE,TRUE,6686759.66,91.36528048434396,1543266.5699999998,915603.3,294899.4199999999,1351642,0,1351642,24,48,,unitid:134130,C_medium,TRUE,TRUE,TRUE
