metric,positive_count,p50,p75,p90
post_termination_outlays_total,1636,49380.44,170196.67000000004,445813.5099999999
post_termination_positive_cont_rev_total,228,542940,692450,1038100.0000000014
live_outlay_minus_gw_outlay,281,282452.73000000004,474252.94250000006,744729.2850000003
live_outlay_ratio_to_gw_outlay,278,1.2067756416545632,1.3681575235762404,1.7232986232036827
