UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3C08,F3C08,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E041,F3E041,XF3E042,F3E042,XF3E051,F3E051,XF3E101,F3E101,XF3E102,F3E102,XF3E061,F3E061,XF3E062,F3E062,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E074,F3E074,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03   
101116,"R",6025445,"R",0,"R",1284711,"R",44612,"R",4368407,"R",0,"R",1657038,"R",6025445,"R",0,"R",2332507,"R",2601693,"R",0,"R",9243,"R",4943443,"R",3658732,"R",1284711,"R",11317002,"R",10891402,"R",-1362246,"R",-936646,"R",-762371,"R",3356055,"R",0,"R",1657038,"R",1706939,"R",1456033,"R",3734,"R",3734,"R",0,"R",1001803,"R",4168509,"R",4168509,"R",0,"R",4168509,"R",8110418,"R",3162972,"R",0,"R",3162972,"R",3734,"R",0,"R",3734,"R",0,"R",0,"R",0,"R",0,"R",0,"R",39878,"R",0,"R",0,"R",11317002,"R",3446681,"R",2018455,"R",0,"R",0,"R",0,"R",0,"R",672906,"R",422932,"R",2723667,"R",839180,"R",3833807,"R",519307,"R",214341,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",10891402,"R",3799874,"R",621722,"R",1395387,"R",418940,"R",0,"R",4655479,"R",1065406,"R",296840, 1
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",343739,"R",0,"R",0,"R",0,"R",0,"R",0,"R",343739,"R",0,"R",0,"R",0,"R",749194,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-1050,"R",94617,"A",,"A",,"R",59193,"R",901954,"R",359429,"R",234127,"R",0,"R",0,"R",0,"R",0,"R",33937,"R",0,"R",62397,"R",42000,"R",333957,"R",88160,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",789720,"R",364287,"R",48088,"R",190649,"R",17314,"R",1375,"R",168007,"A",,"A",,-2
101365,"R",3745210,"Z",0,"R",3643684,"Z",0,"R",4008198,"Z",0,"R",-262988,"R",3745210,"R",352611,"R",3097204,"R",382199,"Z",0,"Z",0,"R",3832014,"R",188330,"R",3643684,"R",4217235,"R",4492223,"R",12005,"R",-262983,"Z",0,"R",0,"R",-5,"R",-262988,"R",838083,"R",34350,"R",12872,"R",12872,"Z",0,"R",436416,"R",1321721,"R",436416,"Z",0,"R",436416,"R",4154099,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",63136,"R",4217235,"R",1889534,"R",874513,"Z",0,"Z",0,"Z",0,"Z",0,"R",234773,"R",190169,"R",1450712,"R",525673,"R",728875,"R",230104,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",188329,"R",30738,"R",4492223,"R",1851197,"R",314226,"R",179258,"R",59931,"Z",0,"R",2087611,"R",0,"R",0, 3
101958,"R",4361215,"R",0,"R",0,"R",0,"R",228556,"R",0,"R",4132659,"R",4361215,"R",0,"R",0,"R",26344,"R",0,"R",0,"R",26344,"R",26344,"R",0,"R",1040514,"R",1426307,"R",0,"R",-385793,"R",0,"R",5244312,"R",-725860,"R",4132659,"R",171074,"R",0,"R",0,"R",0,"R",0,"R",0,"R",171074,"R",0,"R",0,"R",0,"R",1032234,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",1032234,"R",712090,"R",369597,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",521221,"R",316986,"R",0,"R",0,"R",0,"A",,"A",,"R",192996,"R",73793,"R",1426307,"R",760376,"R",126112,"R",220468,"R",1477,"R",0,"R",317874,"A",,"A",,-2
102845,"R",52791820,"R",0,"R",5294667,"R",5557105,"R",10188730,"R",4797,"R",42603090,"R",52791820,"R",0,"R",8824327,"R",7761503,"R",13429,"R",0,"R",16599259,"R",11304592,"R",5294667,"R",51566612,"R",45274648,"R",-1165546,"R",5126418,"Z",0,"R",37476672,"R",0,"R",42603090,"R",14015022,"R",460773,"R",271084,"R",267890,"R",3194,"R",6465652,"R",21212531,"R",6465652,"R",0,"R",6465652,"R",51370935,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",193950,"R",1727,"R",0,"R",0,"R",0,"R",51566612,"R",15399240,"R",6199984,"R",0,"R",0,"R",0,"R",0,"R",1539813,"R",959789,"R",15780931,"R",6252991,"R",6672137,"R",983360,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5882527,"R",182505,"R",45274648,"R",14578629,"R",2571086,"R",5480579,"R",1452503,"R",281,"R",21191570,"R",0,"R",0, 1
103501,"R",5510099,"R",2000735,"R",2944811,"R",0,"R",2145301,"R",1342328,"R",3364798,"R",5510099,"R",450000,"R",2775507,"R",595196,"R",0,"R",921900,"R",4742603,"R",1797792,"R",2944811,"R",5490979,"R",5386258,"R",0,"R",104721,"R",0,"R",3671868,"R",-411791,"R",3364798,"R",1514847,"R",159668,"R",480942,"R",480942,"R",0,"R",3500,"R",2158957,"R",0,"R",0,"R",0,"R",5320888,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",95204,"R",74887,"R",0,"A",,"R",0,"R",5490979,"R",2152818,"R",1046812,"R",0,"R",0,"R",0,"R",0,"R",2706187,"R",1176913,"R",258501,"R",176567,"R",268752,"R",197977,"R",0,"R",0,"R",0,"A",,"A",,"R",0,"R",0,"R",5386258,"R",2598269,"R",143781,"R",0,"R",0,"R",0,"R",2644208,"A",,"A",,-2
103741,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",522737,"R",13650,"R",88909,"R",88909,"R",0,"R",16800,"R",642096,"R",0,"R",0,"R",0,"R",1012645,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",100717,"A",,"A",,"R",202960,"R",1316322,"R",1007831,"R",268945,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",47629,"R",41340,"R",160112,"R",50510,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",1215572,"R",360795,"R",54889,"R",355236,"R",31183,"R",0,"R",413469,"A",,"A",,-2
103811,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1606274,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1606274,"R",0,"R",0,"R",0,"R",7449670,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",69812,"Z",0,"A",,"A",,"R",0,"R",7519482,"R",3670686,"R",1726181,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2528452,"R",1269589,"R",3627556,"R",734995,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",9826694,"R",3730765,"R",388755,"R",735930,"R",68858,"R",5953,"R",4896433,"A",,"A",,-2
103893,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3313519,"R",55899,"R",299227,"R",299227,"R",0,"R",62032,"R",3730677,"R",62032,"R",0,"R",62032,"R",8993725,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6730,"R",0,"R",622007,"A",,"R",0,"R",9622462,"R",1021097,"R",858976,"R",0,"R",0,"R",0,"R",0,"R",2574126,"R",557721,"R",2776057,"R",796316,"R",902309,"R",310256,"R",371471,"R",0,"R",0,"A",,"A",,"R",0,"R",0,"R",7645060,"R",2523269,"R",367907,"R",1275166,"R",129998,"R",0,"R",3348720,"A",,"A",,-2
103909,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2499653,"R",65113,"R",447462,"R",447462,"R",0,"R",26384,"R",3038612,"R",26384,"R",0,"R",26384,"R",9505583,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",22752,"R",0,"R",840320,"A",,"R",0,"R",10368655,"R",1811970,"R",1638993,"R",0,"R",0,"R",0,"R",0,"R",2951163,"R",874800,"R",2949421,"R",1017266,"R",931852,"R",334276,"R",547562,"R",0,"R",0,"A",,"A",,"R",0,"R",0,"R",9191968,"R",3865335,"R",566710,"R",1025866,"R",148059,"R",0,"R",3585998,"A",,"A",,-2
