id,url,title,publication,published_at,created_at
77d4dd7c-05b0-414a-91b0-2c72d0cb7047,https://uupinfo.org/communications/releases/250904.php,"UUP calls for state commitment, investment in SUNY ESF",United University Professions,,2025-10-12T16:36:04Z
81aa2df9-e6a1-45f7-ade4-ab237f3ea0fc,https://etownian.com/main/news/campus-community-responds-to-cuts/,Campus Community Responds to Cuts,The Etownian,,2025-07-10T20:36:16Z
858a6fba-93b5-47c8-8523-689a536027a6,https://www.kivitv.com/canyon-county/college-of-idaho-cuts-three-majors-lays-off-10-employees-in-academic-restructuring,"Theater, Debate And Philosophy Dropped In College Of Idaho Cuts",Idaho6 News,,2025-12-16T19:14:58Z
9589f085-f3e8-4f62-b95e-369f735f3f8e,https://www.thecollegefix.com/wake-forest-university-closes-dei-office/,Wake Forest University closes DEI office,The College Fix,,2025-08-15T04:05:42Z
95e799b9-3750-44f8-89f0-778699e65cf8,https://www.ndtv.com/world-news/harvard-university-to-lay-off-school-staff-amid-enormous-pressure-9430297,Harvard University To Lay Off School Staff Amid 'Enormous' Pressure,NDTV,,2025-10-12T16:44:08Z
9ae6824d-032e-4da1-95da-76505060fa19,https://www.threads.com/@13abc/post/DNZQKFwK_vm/bowling-green-state-university-will-no-longer-offer-the-world-language-education,"Bowling Green State University will no longer offer the World Language Education major to new students, due to low enrollment",13abc Action News,,2025-08-17T00:01:59Z
9c586dc3-ff6a-404d-a974-647ca51adc70,https://www.espn.com/college-sports/story/_/id/43497574/indiana-lays-25-revenue-sharing-nears,Reports: Indiana lays off 25 as revenue sharing nears,ESPN,,2025-09-02T14:27:57Z
a088ca8a-ef0a-4693-b8b1-f671e36f043e,https://www.nbcnews.com/news/us-news/columbia-university-cuts-180-staffers-funded-federal-grants-revoked-tr-rcna205080,Columbia University cuts 180 staffers funded by federal grants revoked by Trump administration,NBC News,,2025-07-14T16:15:22Z
a49b9eb9-ec4d-42d0-9c2b-a994a689aa53,https://afrotech.com/duke-university-closes-graduate-support-program-dei-office,"Duke University School Of Medicine Abruptly Shutters Graduate Support Program, DEI Office",afrotech.com,,2025-09-25T19:56:42Z
a76f735c-18e3-416a-b492-e610935db720,https://www.kqed.org/news/12002172/stanford-sparks-literary-backlash-by-phasing-out-creative-writing-lecturers-jobs,Stanford Sparks Literary Backlash by Phasing Out Creative Writing Lecturers' Jobs,KQED,,2025-07-10T19:52:12Z
a7996852-4ebb-45af-bd23-52f2e89fbe4c,https://www.highereddive.com/news/tennessee-state-university-emergency-funding-staff-cuts-hbcu/733267/,Tennessee State stayed afloat thanks to a $43M injection ...,Higher Ed Dive,,2025-07-10T20:22:05Z
b2c70d98-fd88-4b6a-b0c3-e4fdcef2c86d,https://www.plansponsor.com/university-of-wisconsins-retirement-research-center-closes/,University of Wisconsin's Retirement Research Center Closes,Plan Sponsor,,2025-08-08T22:26:06Z
b3bed39d-806a-4aa0-be41-8fde9304d396,https://www.wpr.org/news/uw-platteville-baraboo-sauk-county-campus-closing,"Citing declining enrollment, UW-Platteville will shutter Baraboo Sauk County campus",Wisconsin Public Radio,,2025-10-20T02:14:21Z
b5ed19ca-239c-427e-871d-7f7d46f31067,https://www.publishersweekly.com/pw/by-topic/industry-news/publisher-news/article/98513-amid-plans-to-shutter-press-aupresses-stands-up-to-bucknell-university.html,"Amid Plans to Shutter Press, AUPresses Stands Up to Bucknell University",Publishers Weekly,,2025-10-12T16:02:15Z
b6494eca-9644-4212-ac61-a0f701cf0cfd,https://www.dailyprincetonian.com/article/2025/08/princeton-news-adpol-university-discontinues-wintersession-in-wake-of-recent-budget-cuts,"U. discontinues Wintersession, citing budget constraints",The Daily Princetonian,,2025-08-15T18:12:07Z
b7ef2c0f-2234-4a07-af81-bdcf5acb4574,https://www.youtube.com/watch?v=Fnkr48w8R8s,OLLU budget cuts end 16 degree programs,KSAT,,2025-09-04T22:12:32Z
bd5af53f-ec6d-41de-bb91-43cca3296233,https://www.kiro7.com/news/local/hundreds-cornish-college-arts-employees-receive-layoff-notices/JFFK6CUWKZB5BBW45S4L23RVC4/,Hundreds of Cornish College of the Arts employees receive layoff notices,KIRO7,,2025-09-02T15:25:48Z
c0f662c1-e671-4779-bce1-e6acdc7739cc,https://www.marshallindependent.com/news/local-news/2025/07/federal-cuts-eliminate-extension-nutrition-program/,Federal cuts eliminate Extension nutrition program,Marshall Independent,,2025-07-18T12:47:07Z
c78467be-d48b-4ccf-9f88-fa8897e2ae12,https://www.basedinlafayette.com/p/heres-what-purdue-degree-programs,Here's what Purdue degree programs are going away to satisfy new state law,Based in Lafayette,,2025-07-10T02:36:05Z
cb1158ff-ee80-419e-b39a-5b3e678b32c7,https://ejewishphilanthropy.com/brandeis-university-to-cut-60-positions-restructure-schools-as-its-faces-financial-challenges/,"Brandeis University to cut 60 positions, restructure schools as its faces financial challenges",eJewishPhilanthropy,,2025-09-02T13:47:29Z
ce98e80c-bf39-49dd-a798-449eabe8ea55,https://clevelandstater.com/news/news/csu-axes-20-programs-suspends-22-others,"CSU axes 20 programs, suspends 22 others",Cleveland Stater,,2025-10-03T19:52:47Z
d5aee46c-552f-429f-bbe1-14fb60ad3193,https://www.maine.gov/dhhs/blog/federal-budget-reconciliation-law-now-effect-impacts-mainecare-snap-covermegov-2025-07-11,Federal Budget Reconciliation Law Now in Effect,Maine.gov,,2025-09-09T13:38:47Z
da864ed2-a156-41e7-8d7a-e8625166dc60,https://rutgersaaup.org/action-requested-help-us-protest-the-cuts-in-the-writing-program/,Help Us Protest the Cuts in the New Brunswick Writing Program!,Rutgers AAUP-AFT,,2025-09-02T13:02:54Z
ebb72100-aa32-4b5e-95fa-c79f62832e78,https://www.wbir.com/video/news/local/downtown-ut/ut-ends-agreement-with-china-scholarship-council-after-receiving-letter-from-trump-administration/51-a6f49111-9d1d-46ac-af88-2c552de3b924,UT ends agreement with China Scholarship Council after receiving letter from Trump administration,WBIR,,2025-07-18T12:36:47Z
f682c5cc-6820-4d8b-8f76-87861e1d3ede,https://theberkshireedge.com/bard-college-at-simons-rock-to-lay-off-116-employees/,Bard College at Simon's Rock to lay off 116 employees,The Berkshire Edge,,2025-07-18T21:04:41Z
fc5347e9-1ca3-4f4d-a083-c23c9ca15d04,https://www.wsfa.com/2025/02/28/layoffs-confirmed-tuskegee-university/,Tuskegee University confirms layoffs,WSFA,,2025-09-02T15:05:48Z
fe51b06a-6b77-4b53-adfe-c086a70c9c98,https://patch.com/new-jersey/hoboken/stevens-institute-technology-lays-45-employees-amid-trump-policy-changes,Stevens Institute of Technology Lays Off 45 Employees Amid Trump Policy Changes,Patch,,2025-08-31T17:23:42Z
fef8b4e0-997f-4389-a8e5-69a584ed9058,https://www.caltech.edu/campus-life-events/campus-announcements/jpl-workforce-reductions2024,JPL Workforce Reductions,Caltech Campus Announcements,,2025-09-02T12:45:06Z
481d32ab-492f-42fc-9841-7911832ac6b3,https://www.kxly.com/news/eastern-washington-university-cuts-wheelchair-basketball-program/article_d29f0032-c281-47df-aebb-d8a207afbc3a.html,"Eastern Washington University's Discontinuation of Its Adaptive Athletics Program: Institutional Decision-Making, Fiscal Constraints, and the Landscape of Collegiate Wheelchair Basketball",KXLY,2026-01-15,2026-01-12T00:24:22Z
26b094d6-5033-4681-9835-8e407e107e70,https://www.usatoday.com/story/sports/2026/01/08/lincoln-university-football-oakland-coach-program-suspend/88088321007/,Lincoln University football dreams unraveled: How a college team failed players,USA Today,2026-01-08,2026-01-12T00:34:56Z
a5eb7dd3-fda3-4630-bd9a-58719bee9a8d,https://indianapolisrecorder.com/opinion-martin-university-closure/,The Closure of Martin University: Examining the Final Chapter of Indianas Only Predominantly Black Institution,Indianapolis Recorder,2025-12-31,2026-01-12T00:04:07Z
6d1d093a-91a8-477b-b56c-6da438816b25,https://www.yahoo.com/news/articles/depaul-university-lays-off-114-194000783.html,DePaul lays off 114 staff members to help reduce budget shortfall,Yahoo News,2025-12-15,2025-12-16T19:43:33Z
c5d2bb0c-f771-4697-b951-1f2ac82bf774,https://www.wthr.com/article/news/education/martin-university-pausing-operations-end-2025-semester-college-indianapolis/531-de213904-c26d-443e-a54c-b62bebd2a2ea,"Martin University suspending operations amid financial challenges, enrollment drop",WTHR,2025-12-09,2025-12-16T19:36:31Z
ff99e9e3-bc60-4b08-9e5e-a3c1dd300630,https://www.orlandosentinel.com/2025/11/21/ucf-lays-off-65-employees-most-tied-to-shifting-federal-priorities-school-says,UCF will lay off staff at Florida Solar Energy Center due to loss of research funding,Orlando Sentinel,2025-11-21,2025-11-24T17:52:25Z
49c6a41c-80e9-41ce-8163-8607d51d10b4,https://hyperallergic.com/1057696/school-of-the-art-institute-of-chicago-lays-off-20-workers/,Layoffs Put World-Renowned Chicago Video Art Collection in Jeopardy,HyperAllergic,2025-11-17,2025-11-24T18:24:46Z
248ba316-8b31-4718-b7bf-e5510ea99ecc,https://www.insidehighered.com/news/quick-takes/2025/11/14/vermonts-sterling-college-close,Sterling College to Close,Inside Higher Ed,2025-11-14,2025-11-24T17:05:40Z
3ce088b5-27cc-4c4a-8044-9d055e6ecf7a,https://vnews.com/2025/11/14/keene-state-staff-reductions,Keene State to lay off staff positions,Valley News,2025-11-14,2025-11-24T16:41:55Z
765c7873-b6bd-423b-befd-ebc85303f431,"https://philanthropynewsdigest.org/news/other-sources/article/?id=16657194&title=Major-N.J.-univeristy-put-on-accreditation-probation,-plans-40-faculty-layoffs",Program Cuts Loom at Rider,Philanthropy News Digest,2025-11-14,2025-11-24T17:20:58Z
97302a71-f8bc-4eba-9ee7-9d63e81fa172,https://www.thecrimson.com/article/2025/11/14/huit-layoffs-financial/,HUIT Lays Off 38 IT Workers Amid Wider Harvard Staffing Cuts,The Harvard Crimson,2025-11-14,2025-11-24T18:10:45Z
5d0f3670-6ec3-42e0-9ec7-7d88e13a2829,https://www.highereddive.com/news/unl-chancellor-reduces-program-cuts-final-proposal/805361,UNL finalizes plan to cut four departments over faculty objections,Higher ED Drive,2025-11-10,2025-11-24T17:41:40Z
1b5c2ae9-332a-4e71-bba5-ebd0afa084ea,https://www.21alivenews.com/2025/11/07/huntington-university-students-react-performing-arts-cuts/#$0,Huntington University to suspend enrollment in performing arts programs,21alivenews,2025-11-08,2025-11-24T16:11:48Z
49171b21-611e-4955-a35a-3a943f171907,https://patch.com/illinois/joliet/university-st-francis-36-job-cuts-revealed-these-faculty-staff-positions-eliminated,"University of St. Francis Cuts Jobs, Academic Programs",Patch,2025-11-07,2025-11-24T16:34:53Z
0f057f97-143e-4499-be63-d5d0223e9a89,https://patch.com/illinois/palos/shock-resignation-sadness-wake-trinity-christian-colleges-closure,Trinity Christian College Will Close,Patch,2025-11-06,2025-11-24T16:20:48Z
557dd3e4-2607-49fd-b82b-f7e7d11b6ef8,https://www.kcrg.com/2025/11/24/cornell-college-cut-courses-citing-student-enrollment/,Changes to Academic Offerings at Cornell College,KCRG,2025-11-06,2025-11-25T03:47:54Z
e4ba3284-516d-47c8-8c02-591bc7d1cc68,https://wgno.com/news/louisiana/orleans-parish/xavier-university-experiences-layoffs-among-full-time-staff/amp,Xavier lays off 46 staff members amid financial challenges,HBCU Digest,2025-10-29,2025-10-31T15:12:03Z
69761e82-d555-480a-ac8d-4fe84d2c4980,https://www.klfy.com/local/lafayette-parish/ul-lafayette-cuts-70-jobs-to-help-resolve-25m-deficit-interim-president/,UL-Lafayette cuts 70 jobs to help resolve $25M deficit: interim president,The Advocate,2025-10-24,2025-10-26T02:18:07Z
dc4106a5-4e22-49e0-927d-4b68c62bf470,https://www.highereddive.com/news/university-of-northern-colorado-plans-to-lay-off-50-employees/803556/,University of Northern Colorado announces layoffs amid enrollment crisis,Colorado Higher Ed News,2025-10-16,2025-10-23T16:19:59Z
274f789c-deab-4c91-a9cc-c6db48209b8c,https://www.dailyeasternnews.com/2025/10/14/breaking-eastern-eliminates-44-staff-positions/,Eastern eliminates 44 staff positions,The Daily Eastern News,2025-10-14,2025-10-17T18:47:02Z
4d1b0242-1a31-4c4e-9859-26ef62f03c27,https://www.post-gazette.com/news/education/2025/10/08/carnegie-mellon-staff-lay-offs/stories/202510080077,CMU lays off 75 staffers in Software Engineering Institute,Pittsburgh Post-Gazette,2025-10-08,2025-10-10T02:07:57Z
b3cf75d7-c14f-42d3-a617-bc9adc452436,https://www.allsides.com/news/2025-10-02-1400/business-layoffs-berklee-college-music-70-staff-members-let-go-wake-budget,Layoffs at Berklee College of Music; 70 staff members let go in wake of budget crunch,AllSides,2025-10-03,2025-10-03T19:49:53Z
09dbd6bb-9f1a-46c4-a03d-1d59e4fc00c2,https://www.highereddive.com/news/washington-university-layoffs-300-federal-cuts-andrew-martin/801729/,Washington University lays off over 300 employees,Higher Ed Dive,2025-10-01,2025-10-02T17:24:54Z
