unitid,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
164173,83,79,86,18,19,18,18,19,18,0,0,0
164216,66,59,70,14,16,12,14,16,12,0,0,0
164270,84,81,86,13,14,12,13,14,12,0,0,0
164368,53,51,56,15,21,10,15,21,10,0,0,0
164447,97,97,97,13,16,10,13,16,9,0,0,0
164465,10,10,10,39,40,40,39,40,40,0,0,0
164492,90,90,90,7,7,7,7,7,7,0,0,0
164535,33,33,33,100,100,100,100,100,100,0,0,0
164562,87,83,90,12,12,12,12,12,12,0,0,0
164580,20,16,25,40,43,36,40,43,36,0,0,0
164614,100,100,100,29,38,17,21,25,17,7,13,0
164632,73,20,75,16,0,18,16,0,18,0,0,0
164739,48,46,52,22,23,21,22,23,21,0,0,0
164748,50,54,46,42,43,41,39,40,38,3,3,3
164924,16,17,14,41,42,41,41,42,41,0,0,0
164988,11,12,10,36,34,38,36,34,38,0,0,0
165015,35,31,39,22,23,21,22,23,21,0,0,0
165024,89,87,91,21,22,19,20,21,19,1,1,1
165060,52,33,55,67,100,64,67,100,64,0,0,0
165264,41,50,36,40,67,22,13,17,11,27,50,11
165334,42,37,45,14,16,13,14,16,13,0,0,0
165529,92,91,93,8,9,8,8,9,8,0,0,0
165574,74,72,75,9,10,8,8,10,8,0,0,0
165608,64,,64,100,,100,64,,64,36,,36
165644,59,60,58,16,16,17,16,16,17,0,0,0
165662,47,43,49,19,23,17,19,23,17,0,0,0
165671,81,73,83,11,12,11,11,12,11,0,0,0
165699,72,70,74,22,21,23,22,21,23,0,0,0
165802,71,65,75,8,11,7,8,11,7,0,0,0
165820,90,88,91,16,18,14,16,18,13,0,0,0
165866,85,81,88,14,14,13,13,14,13,0,0,0
165936,59,62,57,22,24,20,21,23,20,0,1,0
166018,70,58,73,17,19,12,17,19,12,0,0,0
166027,3,3,3,84,84,84,84,84,84,0,0,0
166054,90,100,71,74,71,80,74,71,80,0,0,0
166124,21,21,21,45,46,44,45,46,44,0,0,0
166391,82,76,86,12,13,12,12,13,12,0,0,0
166452,94,92,95,8,11,7,8,11,7,0,0,0
166489,84,92,76,13,10,17,13,10,17,0,0,0
166513,85,85,85,19,22,16,19,22,16,0,0,0
166629,58,48,66,18,21,16,18,21,16,0,0,0
