UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3C08,F3C08,XF3C12,F3C12,XF3C121,F3C121,XF3C122,F3C122,XF3C13,F3C13,XF3C131,F3C131,XF3C132,F3C132,XF3C14,F3C14,XF3C141,F3C141,XF3C142,F3C142,XF3C15,F3C15,XF3C151,F3C151,XF3C152,F3C152,XF3C16,F3C16,XF3C161,F3C161,XF3C162,F3C162,XF3C17,F3C17,XF3C171,F3C171,XF3C172,F3C172,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E041,F3E041,XF3E042,F3E042,XF3E051,F3E051,XF3E101,F3E101,XF3E102,F3E102,XF3E061,F3E061,XF3E062,F3E062,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E074,F3E074,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03,XF3G01,F3G01,XF3G02,F3G02,XF3G03,F3G03,XF3G04,F3G04,XF3G05,F3G05,XF3G06,F3G06,XF3G07,F3G07
476708,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,399862,R,0,R,0,R,0,R,0,R,0,R,399862,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1169987,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,156107,A,,A,,R,8709,R,1334803,R,272332,R,144055,R,0,R,0,R,0,R,0,R,85077,R,25900,R,75087,R,59468,R,270247,R,131075,A,,A,,R,0,A,,A,,R,0,R,0,R,702743,R,360498,R,39293,R,175977,R,55364,R,234,R,71377,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
476726,R,8383220,R,342296,R,1000644,R,0,R,6290716,R,0,R,2092504,R,8383220,R,0,R,886578,R,1810763,R,22500,R,0,R,2719841,R,1719197,R,1000644,R,9436689,R,9198986,R,0,R,237703,Z,0,R,1854801,R,0,R,2092504,R,2623027,R,26745,R,136848,R,134611,R,2237,R,1152,R,2787772,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,8674478,R,588925,R,588925,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1934,R,171352,Z,0,A,,R,0,R,9436689,R,1855759,R,1595038,R,0,R,0,R,24745,R,0,R,606114,R,606114,R,1061311,R,223305,R,2252758,R,765618,R,0,R,0,R,0,A,,A,,R,3398299,R,1,R,9198986,R,3190076,R,260721,R,5468641,R,247641,R,6291,R,25616,A,,A,,-2,R,237703,R,9436689,R,2092504,R,8383220,R,1091860,R,0,R,9198986
476735,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,102801,R,0,R,0,R,0,R,0,R,0,R,102801,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,322000,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,A,,R,0,R,322000,R,150000,R,120000,R,0,R,0,R,0,R,0,R,100,R,100,R,100,R,100,R,100,R,100,A,,A,,R,0,A,,A,,R,19700,R,9700,R,170000,R,130000,R,600,R,2000,R,6000,R,500,R,30900,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
476753,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1637691,R,0,R,0,R,0,R,0,R,0,R,1637691,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,7993392,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2010442,A,,A,,R,517328,R,10521162,R,6808039,R,2916595,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,A,,R,0,A,,A,,R,1073338,R,0,R,7881377,R,2916595,R,0,R,1073338,R,51600,R,1263,R,3838581,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
476780,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,296859,R,11921,Z,0,Z,0,Z,0,Z,0,R,308780,R,0,R,0,R,0,R,0,R,0,R,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,R,0,R,0,R,474355,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0,R,0,R,11304,A,,A,,R,0,R,485659,R,55208,R,55208,R,0,R,0,R,0,R,0,R,62204,R,12000,R,489251,R,64295,R,33616,R,24000,A,,A,,R,0,A,,A,,R,0,R,0,R,640279,R,155503,R,0,R,167434,R,8992,R,109,R,308241,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
476805,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,257145,R,0,R,0,R,0,R,0,R,0,R,257145,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,456813,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,187610,A,,A,,R,0,R,644423,R,142144,R,142144,R,0,R,0,R,0,R,0,R,0,R,0,R,56883,R,56833,R,220813,R,21786,A,,A,,R,0,A,,A,,R,0,R,0,R,419840,R,220763,R,0,R,193228,R,4400,R,0,R,1449,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
476814,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,2356265,R,0,R,0,R,0,R,0,R,0,R,2356265,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,7778559,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,A,,R,0,R,7778559,R,1832568,R,1832568,R,846625,R,0,R,38485,R,38485,R,572896,R,572896,R,152890,R,152890,R,410567,R,410567,A,,A,,R,0,A,,A,,R,0,R,0,R,3854031,R,3007406,R,133985,R,70272,R,403087,R,58926,R,180355,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
476841,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,658543,Z,0,Z,0,Z,0,Z,0,Z,0,R,658543,R,0,R,0,R,0,R,0,R,0,R,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,R,0,R,0,R,2647942,R,121579,Z,0,R,121579,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,166,R,263527,A,,A,,R,0,R,3033214,R,1348342,R,703234,Z,0,Z,0,Z,0,Z,0,R,131880,R,122820,R,164850,R,153525,R,631216,R,307050,A,,A,,Z,0,A,,A,,R,530710,R,0,R,2806998,R,1286629,R,94909,R,202535,R,97503,R,1478,R,1123944,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
476850,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,251729,R,0,R,0,R,0,R,0,R,0,R,251729,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,817261,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,28045,A,,A,,R,0,R,845306,R,91756,R,91756,R,0,R,0,R,0,R,0,R,45878,R,45878,R,22939,R,22939,R,92925,R,22938,A,,A,,R,0,A,,A,,R,416800,R,0,R,670298,R,183511,R,0,R,170969,R,30198,R,0,R,285620,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
476869,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,480504,R,0,R,0,R,0,R,0,R,0,R,480504,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1547258,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,222296,A,,A,,R,44230,R,1813784,R,295521,R,295521,R,0,R,0,R,0,R,0,R,198871,R,198871,R,41970,R,41970,R,208273,R,208273,A,,A,,R,131197,A,,A,,R,933624,R,0,R,1809456,R,744635,R,0,R,101895,R,0,R,0,R,962926,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
