UNITID,F1CORREV,F1TUFEPC,F1STAPPC,F1LCAPPC,F1GVGCPC,F1PGGCPC,F1INVRPC,F1OTRVPC,F1TUFEFT,F1STAPFT,F1LCAPFT,F1GVGCFT,F1PGGCFT,F1INVRFT,F1OTRVFT,F1COREXP,F1INSTFT,F1RSRCFT,F1PBSVFT,F1ACSPFT,F1STSVFT,F1INSUFT,F1OTEXFT,F1INSTPC,F1RSRCPC,F1PBSVPC,F1ACSPPC,F1STSVPC,F1INSUPC,F1OTEXPC,F1SWINSP,F1SWRSRP,F1SWPBSP,F1SWACSP,F1SWSTSP,F1SWISPP,F1SWOTEP,F1SWCREP,F1ENDMFT,F1SAFBPC,F1SALRPC,F1EQUITR,F2CORREV,F2TUFEPC,F2GVGCPC,F2PGGCPC,F2INVRPC,F2OTRVPC,F2TUFEFT,F2GVGCFT,F2PGGCFT,F2INVRFT,F2OTRVFT,F2COREXP,F2INSTFT,F2RSRCFT,F2PBSVFT,F2ACSPFT,F2STSVFT,F2INSUFT,F2OTEXFT,F2INSTPC,F2RSRCPC,F2PBSVPC,F2ACSPPC,F2STSVPC,F2INSUPC,F2OTEXPC,F2SWINSP,F2SWRSRP,F2SWPBSP,F2SWACSP,F2SWSTSP,F2SWISPP,F2SWOTEP,F2SWCREP,F2ENDMFT,F2SAFBPC,F2SALRPC,F2EQUITR,F3CORREV,F3TUFEPC,F3GVGCPC,F3PGGCPC,F3INVRPC,F3SSEAPC,F3OTRVPC,F3TUFEFT,F3GVGCFT,F3PGGCFT,F3INVRFT,F3SSEAFT,F3OTRVFT,F3COREXP,F3INSTFT,F3RSRCFT,F3PBSVFT,F3ACSPFT,F3STSVFT,F3INSUFT,F3OTEXFT,F3INSTPC,F3RSRCPC,F3PBSVPC,F3ACSPPC,F3STSVPC,F3INSUPC,F3OTEXPC,F3SWINSP,F3SWRSRP,F3SWPBSP,F3SWACSP,F3SWSTSP,F3SWISPP,F3SWOTEP,F3SWCREP,F3SAFBPC,F3SALRPC,F3EQUITR
100654,200884421,26,37,0,32,1,0,4,10011,14346,0,12577,377,157,1403,190299674,6298,3156,2471,1724,5800,6014,11360,17,9,7,5,16,16,31,80,45,49,57,20,25,3,32,,38,29,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100663,2014598447,12,18,0,33,6,16,14,12052,18126,0,32502,6383,16031,13822,1730554730,17179,17482,14712,11185,2652,13965,7795,20,21,17,13,3,16,9,63,49,29,69,44,28,0,43,36302,46,36,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8572118,81,0,1,0,18,14365,52,169,18,3218,8056185,5671,0,0,1557,2550,6971,0,34,0,0,9,15,42,0,74,,,71,76,35,,58,364,65,58,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100706,379263619,20,19,0,37,2,4,18,9871,9604,0,18227,811,1914,9008,295415316,9461,16726,532,2218,2633,3015,3922,25,43,1,6,7,8,10,62,49,42,32,42,52,0,46,12986,64,45,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100724,166873011,23,42,0,28,2,2,4,9865,17849,0,11914,835,772,1763,147942742,11082,1186,1544,5218,6451,7807,4831,29,3,4,14,17,20,13,77,46,61,50,53,28,0,48,30563,54,45,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100733,25837619,0,0,0,0,0,5,95,,,,,,,,44028824,,,,,,,,0,0,0,0,0,50,50,,,,,,72,0,36,,45,36,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100751,1619660240,30,13,0,11,5,14,26,13885,6036,0,5277,2405,6235,12082,1059624383,9380,5467,2087,3487,2217,3626,3779,31,18,7,12,7,12,13,54,47,48,44,40,46,0,42,38825,55,40,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100760,26553077,10,51,0,33,4,0,1,2531,13051,0,8372,1071,19,366,21050065,7893,0,0,1096,2775,4698,3682,39,0,0,5,14,23,18,60,,,56,55,35,0,42,142,53,42,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100812,63959437,25,53,0,19,0,2,1,7237,15197,0,5551,0,444,214,46511342,9639,0,0,1920,2225,3929,3116,46,0,0,9,11,19,15,65,,,55,47,46,0,49,2713,62,49,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100830,105395811,39,39,0,13,1,5,4,8907,8930,0,2978,251,1163,869,90667070,7006,211,811,1515,2473,3291,4565,35,1,4,8,12,17,23,73,52,66,64,50,46,8,50,13338,64,48,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
