UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12 
169080,74,73,76,20,23,18,20,23,18,0,0,0
169248,79,78,80,13,13,13,13,13,12,0,0,0
169327,68,67,68,19,19,19,17,18,16,2,1,3
169363,70,67,74,16,17,15,16,17,15,0,0,0
169442,49,47,50,33,35,32,31,33,31,1,2,1
169479,98,98,98,16,17,16,14,15,13,2,1,3
169576,65,100,64,47,0,50,47,0,50,0,0,0
169655,99,99,100,57,57,50,57,57,50,0,0,0
169716,91,90,91,11,11,11,11,11,10,0,0,0
169798,83,80,85,13,15,12,12,12,12,1,2,0
169910,88,85,89,16,19,14,16,19,14,0,0,0
169983,81,81,80,20,22,14,20,22,14,0,0,0
170000,100,99,100,38,43,34,30,38,23,9,5,12
170037,82,77,85,18,17,19,18,17,19,0,0,0
170082,90,89,91,25,27,24,25,27,24,0,0,0
170286,21,21,20,62,62,63,62,61,63,0,1,0
170301,80,75,84,23,23,23,23,23,23,0,0,0
170532,79,77,82,13,13,14,13,13,14,0,0,0
170639,77,69,83,15,19,12,15,19,12,0,0,0
170675,82,80,86,21,21,20,20,21,19,0,0,0
170806,65,58,69,19,23,17,19,23,17,0,0,0
170967,71,72,71,35,42,31,34,41,30,1,1,1
170976,18,15,20,47,48,47,47,48,47,0,0,0
171100,88,87,89,21,22,20,21,21,20,0,0,0
171128,94,93,94,19,22,14,19,22,14,0,0,0
171137,54,50,58,15,18,13,15,17,13,0,1,0
171146,66,49,88,13,13,13,12,12,12,1,1,1
171456,71,72,69,32,37,29,32,37,29,0,0,0
171492,80,78,82,23,23,23,21,21,21,2,2,1
171571,90,90,90,21,25,20,21,24,20,0,1,0
171599,85,82,89,22,28,15,22,28,15,0,0,0
171881,76,82,70,25,21,29,25,21,29,0,0,0
172033,100,100,100,100,100,100,50,100,0,50,0,100
172051,76,75,77,19,19,18,19,19,18,0,0,0
172264,65,64,66,28,29,26,27,29,26,0,0,1
172334,47,39,56,21,23,20,21,23,19,0,0,0
172440,67,69,61,13,11,16,13,11,16,0,0,0
172644,75,76,75,24,25,24,23,24,23,1,1,1
172699,85,83,86,15,16,14,15,16,14,0,0,0
173045,77,71,81,23,26,22,23,26,22,0,0,0
173124,78,77,78,22,27,19,22,27,19,0,1,0
173142,58,60,57,45,49,41,45,49,41,0,0,0
173160,72,70,74,28,26,29,28,26,29,0,0,0
173258,17,17,17,37,39,35,37,39,35,0,0,0
173300,66,60,70,18,22,15,18,22,15,0,0,0
173328,69,64,72,17,20,15,17,20,15,0,0,0
173452,84,82,86,79,82,76,79,82,76,0,0,0
173647,74,67,80,17,18,15,17,18,15,0,0,0
173665,81,78,82,15,15,16,15,15,16,0,0,0
173902,28,26,30,23,23,23,23,23,23,0,0,0
173920,71,70,71,29,29,29,29,29,29,0,0,0
173957,64,48,75,86,82,88,86,82,88,0,0,0
174020,82,84,81,26,30,24,15,19,13,11,11,10
174066,75,72,78,24,23,24,24,23,24,0,0,0
174075,57,54,63,19,16,21,18,15,20,1,1,1
174127,57,52,62,42,48,41,42,48,41,0,0,0
