opeid6,institution_name_first_seen,institution_name_last_seen,state_last_seen,first_seen_year,last_seen_year,first_missing_year,ever_opeflag_values,ever_opeflag_1to5,ever_opeflag_6,ever_broad_sectors,ever_levels,sample_type_last_seen,exit_group,last_seen_acts,last_seen_newids,coverage_note
008328,ALVAREITAS COLLEGE OF COSMETOLOGY,Alvareitas College of Cosmetology-Edwardsville,IL,1996,2016,2017,1; 5,yes,no,For-profit,2-year,For-profit 2-year,apparent_main_campus_closure,A; D,,
008329,ITT TECHNICAL INSTITUTE,ITT Technical Institute-Fort Wayne,IN,1996,2009,2010,1,yes,no,For-profit,4-year,For-profit 4-year,other_exit,A,,
008332,CRUMS BEAUTY COLLEGE,Marinello Schools of Beauty-Manhattan,KS,1996,2015,2016,1; 5,yes,no,For-profit,2-year,For-profit 2-year,apparent_main_campus_closure,M,,
008343,O T AUTRY AREA VOCATIONAL TECHNICAL CENTER,Autry Technology Center,OK,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008350,ART INSTITUTE OF PHILADELPHIA,The Art Institute of Philadelphia,PA,1996,2018,2019,1; 5,yes,no,For-profit,2-year; 4-year,For-profit 4-year,apparent_main_campus_closure,M,,
008353,LINCOLN TECHNICAL INSTITUTE,Lincoln College of Technology-Grand Prairie,TX,1996,2011,2012,1,yes,no,For-profit,2-year,For-profit 2-year,other_exit,A,,
008355,JAMES RUMSEY TECHNICAL INSTIUTE,James Rumsey Technical Institute,WV,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008403,INDIAN HILLS COMMUNITY COLLEGE,Indian Hills Community College,IA,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008404,BROOKDALE COMMUNITY COLLEGE,Brookdale Community College,NJ,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008417,STENOTYPE INSTITUTE OF JACKSONVILLE INC,Stenotype Institute of Jacksonville Inc-Jacksonville,FL,1996,2015,2016,1; 5; 7,yes,no,For-profit,2-year,For-profit 2-year,apparent_main_campus_closure,M,,
008423,IVY TECH STATE COLLEGE-NORTH CENTRAL,Ivy Tech Community College-Northcentral,IN,1996,2011,2012,1,yes,no,Public,2-year,Public 2-year,other_exit,A,,
008424,LA JAMES COLLEGE OF HAIRSTYLING AND COSMETOLOGY,La James International College-Ft Dodge,IA,1996,2024,,1,yes,no,For-profit,2-year,For-profit 2-year,,A,,
008425,INSTITUTE OF ELECTRONIC TECHNOLOGY,Daymar College-Paducah Main,KY,1996,2015,2016,1; 7,yes,no,For-profit,2-year; 4-year,For-profit 4-year,apparent_main_campus_closure,M,,
