opeid6,institution_name_first_seen,institution_name_last_seen,state_last_seen,first_seen_year,last_seen_year,first_missing_year,ever_opeflag_values,ever_opeflag_1to5,ever_opeflag_6,ever_broad_sectors,ever_levels,sample_type_last_seen,exit_group,last_seen_acts,last_seen_newids,coverage_note
000105,UNIVERSITY OF ALABAMA SYSTEM OFFICE,University of Alabama System Office,AL,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000106,UNIVERSITY OF ALASKA SYSTEM OF HIGHER EDUCATION,University of Alaska System of Higher Education,AK,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000108,ARIZONA STATE UNIVERSITY-EAST,Arizona Board of Regents,AZ,1996,2010,2011,1; 2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000110,UNIVERSITY OF ARKANSAS SYSTEM OFFICE,University of Arkansas System Office,AR,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000112,NEW COLLEGE FOR ADVANCED CHRISTIAN STUDY-BERKELEY,NEW COLLEGE FOR ADVANCED CHRISTIAN STUDY-BERKELEY,CA,1996,1999,2000,2,yes,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,A,,
000116,CHAPMAN UNIVERSITY-ACADEMIC CENTERS,"Brandman University, Part of the Chapman University System",CA,1996,2010,2011,2,yes,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,A,,
000118,SAN MATEO COUNTY COMMUNITY COLLEGE DISTRICT OFFICE,San Mateo County Community College District Office,CA,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000119,CONTRA COSTA COMMUNITY COLLEGE DISTRICT OFFICE,Contra Costa Community College District Office,CA,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000120,GOLDEN GATE UNIVERSITY-MONTEREY,Grossmont-Cuyamaca Community College District,CA,1996,2010,2011,2; 3,yes,no,Public,2-year; 4-year,Public 2-year,other_exit,A,,
000123,LOS RIOS COMMUNITY COLLEGE DISTRICT OFFICE,Los Rios Community College District Office,CA,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000124,YOSEMITE COMMUNITY COLLEGE DISTRICT OFFICE,Yosemite Community College District Office,CA,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000127,SAN BERNARDINO COMMUNITY COLLEGE DISTRICT,San Bernardino Community College District,CA,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000133,VENTURA COUNTY COMMUNITY COLLEGE SYSTEM OFFICE,West Valley Mission Community College District Office,CA,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000157,GEORGIA MILITARY COLLEGE-FT BENNING CENTER,GEORGIA MILITARY COLLEGE-FT BENNING CENTER,GA,1996,2001,2002,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000161,UNIVERSITY OF HAWAII SYSTEM OFFICE,University of Hawaii System Office,HI,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000175,SOUTHERN ILLINOIS UNIVERSITY-SYSTEMS OFFICE,Southern Illinois University-Systems Office,IL,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000199,UNIVERSITY OF KENTUCKY-COMMUNITY COLLEGE SYST OFF,Kentucky Community and Technical College System,KY,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000201,LOUISIANA STATE UNIVERSITY-SYSTEM OFFICE,Louisiana State University-System Office,LA,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000202,SOUTHERN UNIVERSITY-BOARD AND SYSTEM,Southern University-Board and System,LA,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000210,UMBC DIAGNOSTIC MEDICAL SONOGRAPHY PROGRAM,University System of Maryland Research Centers,MD,1996,2010,2011,2; 6,yes,yes,Public,4-year,Public 4-year,other_exit,A,,
000217,MASSASOIT COMMUNITY COLLEGE,MASSASOIT COMMUNITY COLLEGE,MA,1996,1997,1998,,no,no,Public,2-year,Public 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000226,GRAND RAPIDS BAPTIST SEMINARY,GRAND RAPIDS BAPTIST SEMINARY,MI,1996,1999,2000,2,yes,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,A,,
000240,STATE BOARD FOR COMMUNITY AND JUNIOR COLLEGES,State Board for Community and Junior Colleges,MS,1996,2010,2011,1; 2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000243,PEARL RIVER COMMUNITY COLLEGE-FORREST COUNTY CTR,PEARL RIVER COMMUNITY COLLEGE-FORREST COUNTY CTR,MS,1996,1996,1997,,no,no,Public,2-year,Public 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000244,BOARD OF TRUSTEES-STATE INSTS OF HIGHER LEARNING,Board of Trustees-Mississippi State Institutions of Higher Learning,MS,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000248,METROPOLITAN COMMUNITY COLLEGES ADMIN SYSTEM OFF,Metropolitan Community College-Kansas City,MO,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000253,MONTANA UNIVERSITY SYSTEM-SYSTEM OFFICE,Montana University System-System Office,MT,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,apparent_main_campus_closure,D,,
000255,MID PLAINS COMMUNITY COLLEGE AREA OFFICE,MID PLAINS COMMUNITY COLLEGE AREA OFFICE,NE,1996,1998,1999,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000256,UNIVERSITY AND COMMUNITY COLLEGE SYS OF NV-SYS OFF,Nevada System of Higher Education-System Office,NV,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000258,UNIVERSITY SYSTEM OF NEW HAMPSHIRE SYSTEM OFFICE,University System of New Hampshire System Office,NH,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000265,EASTERN NEW MEXICO UNIVERSITY-CENTRAL OFFICE,EASTERN NEW MEXICO UNIVERSITY-RUIDOSO,NM,1996,2001,2002,2,yes,no,Public,2-year; 4-year,Public 2-year,other_exit,A,,
000266,UNIVERSITY OF NEW MEXICO-TAOS EDUCATION CENTER,ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,1996,2003,2004,2,yes,no,Public,2-year; 4-year,Public 4-year,likely_combination_or_successor,C,188641,
000269,CUNY SCHOOL OF LAW AT QUEENS COLLEGE,CUNY SCHOOL OF LAW AT QUEENS COLLEGE,NY,1996,1996,1997,,no,no,Public,4-year,Public 4-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000271,CORNELL UNIVERSITY-ENDOWED COLLEGES,CORNELL UNIVERSITY-NY STATE STATUTORY COLLEGES,NY,1996,2003,2004,2,yes,no,Nonprofit; Public,4-year,Public 4-year,likely_combination_or_successor,C,190415,
000275,LONG ISLAND UNIVERSITY-CENTRAL OFFICE,Long Island University-University Center Campus,NY,1996,2010,2011,2,yes,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,A,,
000277,MERCY COLLEGE-WHITE PLAINS BRANCH CAMPUS,MERCY COLLEGE-WHITE PLAINS BRANCH CAMPUS,NY,1996,1997,1998,,no,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000279,PACE UNIVERSITY-CENTRAL OFFICE,PACE UNIVERSITY-CENTRAL OFFICE,NY,1996,1997,1998,,no,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000282,SAINT JOSEPHS COLLEGE-CENTRAL OFFICE,Saint Josephs College-Central Office,NY,1996,2005,2006,1; 2,yes,no,Nonprofit,4-year,Nonprofit 4-year,apparent_main_campus_closure,D,,
000283,SUNY-SYSTEM OFFICE,SUNY-SPECIAL F UNIT,NY,1996,2003,2004,2,yes,no,Public,4-year,Public 4-year,apparent_main_campus_closure,D,,
000286,ERIE COMMUNITY COLLEGE-CENTRAL REPORT,ERIE COMMUNITY COLLEGE-CENTRAL REPORT,NY,1996,2000,2001,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000287,SUFFOLK COUNTY COMMUNITY COLLEGE-CENTRAL REPORT,SUFFOLK COUNTY COMMUNITY COLLEGE-CENTRAL REPORT,NY,1996,2000,2001,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000294,MOUNT OLIVE COLLEGE-NEW BERN CENTER,MOUNT OLIVE COLLEGE-NEW BERN CENTER,NC,1996,1996,1997,,no,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000297,UNIVERSITY OF NORTH CAROLINA GENERAL ADMIN OFF,University of North Carolina System Office,NC,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000301,BOWLING GREEN STATE UNIVERSITY-FIRELANDS,Antioch University-System Administration,OH,1996,2010,2011,1,yes,no,Nonprofit; Public,4-year,Nonprofit 4-year,other_exit,A,,
000302,CAPITAL UNIVERSITY-CLEVELAND CENTER,CAPITAL UNIVERSITY-CLEVELAND CENTER,OH,1996,1997,1998,,no,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000312,UNIVERSITY OF AKRON-WAYNE COLLEGE,UNIVERSITY OF AKRON-WAYNE COLLEGE,OH,1996,1997,1998,,no,no,Public,4-year,Public 4-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000321,OREGON STATE SYSTEM OF EDUCATION,Oregon University System,OR,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000332,PENNSYLVANIA STATE SYSTEM OF HIGHER ED-CENTRAL OFF,PENNSYLVANIA STATE UNIVERSITY-CENTRAL OFFICE,PA,1996,1997,1998,,no,no,Public,4-year,Public 4-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000336,SAINT VINCENT SEMINARY,Saint Vincent Seminary,PA,1996,2010,2011,2,yes,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,A,,
000337,UNIVERSITY OF PITTSBURGH-CENTRAL OFFICE,PENNSYLVANIA STATE SYSTEM OF HIGHER ED-CENTRAL OFF,PA,1996,2002,2003,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000353,UNIVERSITY OF TENNESSEE-CENTRAL OFFICE,Tennessee Board of Regents,TN,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000357,JACKSONVILLE COLLEGE AT TX BAPTIST HOME FOR CHLDRN,JACKSONVILLE COLLEGE AT TX BAPTIST HOME FOR CHLDRN,TX,1996,1997,1998,,no,no,Nonprofit,2-year,Nonprofit 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000360,SAN JACINTO COLLEGE DISTRICT,SAN JACINTO COLLEGE DISTRICT,TX,1996,1996,1997,,no,no,Public,2-year,Public 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000363,TEXAS STATE TECHNICAL COLLEGE-CENTRAL OFFICE,Texas State Technical College-System,TX,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000365,UNIVERSITY OF HOUSTON-SYSTEM ADMINISTRATION,University of Houston-System Administration,TX,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000368,VERMONT STATE COLLEGES-OFFICE OF THE CHANCELLOR,Vermont State Colleges-Office of the Chancellor,VT,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000389,UNIVERSITY OF WISCONSIN-SYSTEM ADMINISTRATION,University of Wisconsin-System Administration,WI,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000394,UNIVERSITY OF THE VIRGIN ISLANDS-KINGSHILL,UNIVERSIDAD DE PUERTO RICO-JUNTA DE SINDICOS,PR,1996,2002,2003,2,yes,no,Public,4-year,Public 4-year,likely_combination_or_successor,C,243160,
000396,MINNESOTA STATE COLLEGES AND UNIVERSITIES,University of Minnesota-Rochester,MN,1996,2010,2011,1; 2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000404,ICS-INTERNATIONAL CORRESPONDENCE SCHOOLS,ICS-INTERNATIONAL CORRESPONDENCE SCHOOLS,PA,1996,1996,1997,,no,no,For-profit,2-year,For-profit 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000448,FOOTHILL-DEANZA COMMUNITY COLLEGE DISTRICT OFFICE,Foothill-De Anza Community College District,CA,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000467,BAKER COLLEGE CENTER FOR GRADUATE STUDIES,Baker College Corporate Services,MI,1996,2010,2011,2,yes,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,A,,
000488,BRANDYWINE HOSPITAL SCHOOL OF RADIOLOGIC TECHN,BRANDYWINE HOSPITAL SCHOOL OF RADIOLOGIC TECHN,PA,1996,1996,1997,,no,no,Nonprofit,2-year,Nonprofit 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000522,SALT LAKE COMMUNITY COLLEGE-SKILLS CENTER,SALT LAKE COMMUNITY COLLEGE-SKILLS CENTER,UT,1996,1996,1997,,no,no,Public,2-year,Public 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000525,UNIVERSITY OF HI OFFICE OF CHANCLR FOR COMM COLL,UNIVERSITY OF HAWAII-OFF OF CHANCLR FOR COMM COLL,HI,1996,2003,2004,2,yes,no,Public,2-year,Public 2-year,apparent_main_campus_closure,D,,
000531,TULSA COUNTY AREA VOC TECH SCHOOL DIST 18-SE,TULSA COUNTY AREA VOC TECH SCHOOL DIST 18-SE,OK,1996,1996,1997,,no,no,Public,2-year,Public 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000547,LOUISIANA TECHNICAL COLLEGE-MANSFIELD CAMPUS,LOUISIANA TECHNICAL COLLEGE-MANSFIELD CAMPUS,LA,1996,1999,2000,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000548,LOUISIANA TECHNICAL COLLEGE-GULF AREA CAMPUS,LOUISIANA TECHNICAL COLLEGE-GULF AREA CAMPUS,LA,1996,1997,1998,,no,no,Public,2-year,Public 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000596,WILKES-BARRE GENERAL HOSPITAL-SCHOOL OF MED TECHN,WVHCS HOSPITAL SCHOOL OF MEDICAL TECHNOLOGY,PA,1996,1997,1998,,no,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000620,GEORGIA BAPTIST HOSPITAL CLINICAL PASTORAL ED CTR,GEORGIA BAPTIST HOSPITAL CLINICAL PASTORAL ED CTR,GA,1996,1997,1998,,no,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000639,BRYAN MEMORIAL HOSPITAL SCHOOL OF NURSE ANESTHESIA,BRYAN LGH MEDICAL CENTER SCHOOL OF NURSE ANESTH,NE,1996,1998,1999,2,yes,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,A,,
000691,MONTGOMERY COLLEGE CENTRAL OFFICE,SCHOOL OF ART AND DESIGN AT MONTGOMERY COLLEGE,MD,1996,2004,2005,2; 5,yes,no,Public,2-year,Public 2-year,likely_combination_or_successor,M,163426,
000705,DELAWARE TECHNICAL & COMMUNITY COLLEGE-CENTRAL OFF,Delaware Technical and Community College-Central Office,DE,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000711,NORTH COUNTRY COMMUNITY COLLEGE-MALONE,NORTH COUNTRY COMMUNITY COLLEGE-MALONE,NY,1996,1996,1997,,no,no,Public,2-year,Public 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000714,LYLES COLLEGE OF BEAUTY,LYLES COLLEGE OF BEAUTY,CA,1996,1997,1998,,no,no,For-profit,2-year,For-profit 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000729,SAINT LUKES HOSPITAL MEDICAL TECHNOLOGY PROGRAM,SAINT LUKES HOSPITAL MEDICAL TECHNOLOGY PROGRAM,IA,1996,2001,2002,2,yes,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,A,,
000732,ITT EDUCATIONAL SERVICES INC SYSTEM OFFICE,ITT Educational Services Inc System Office,IN,1996,2010,2011,2,yes,no,For-profit,4-year,For-profit 4-year,other_exit,A,,
000798,NORTH CAROLINA DEPARTMENT OF COMMUNITY COLLEGES,NORTH CAROLINA DEPARTMENT OF COMMUNITY COLLEGES,NC,1996,1998,1999,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000799,CALIFORNIA STATE UNIVERSITY-CHANCELLORS OFFICE,California State University-Chancellors Office,CA,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000817,CHIC UNIVERSITY OF COSMETOLOGY,CHIC UNIVERSITY OF COSMETOLOGY,MI,1996,1997,1998,,no,no,For-profit,2-year,For-profit 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000892,CLASSIC BEAUTY COLLEGE,CLASSIC BEAUTY COLLEGE,AZ,1996,2001,2002,5,yes,no,For-profit,2-year,For-profit 2-year,other_exit,A,,
000908,INTERNATIONAL BUSINESS COLLEGE CORPORATION SYSTEM,International Business College Corporation System,TX,1996,2010,2011,2,yes,no,For-profit,2-year,For-profit 2-year,other_exit,A,,
000970,SEATTLE COMMUNITY COLLEGE-DISTRICT OFFICE,SEATTLE COMMUNITY COLLEGE-DISTRICT OFFICE,WA,1996,1998,1999,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
001002,ALABAMA A & M UNIVERSITY,Alabama A & M University,AL,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001003,FAULKNER UNIVERSITY,Faulkner University,AL,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
001004,UNIVERSITY OF MONTEVALLO,University of Montevallo,AL,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001005,ALABAMA STATE UNIVERSITY,Alabama State University,AL,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001007,CENTRAL ALABAMA COMMUNITY COLLEGE,Central Alabama Community College,AL,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
001008,ATHENS STATE COLLEGE,Athens State University,AL,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001009,AUBURN UNIVERSITY MAIN CAMPUS,Auburn University,AL,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001012,BIRMINGHAM SOUTHERN COLLEGE,Birmingham-Southern College,AL,1996,2024,,1; 5,yes,no,Nonprofit,4-year,Nonprofit 4-year,,D,,
001013,JOHN C CALHOUN STATE COMMUNITY COLLEGE,John C Calhoun State Community College,AL,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
001015,ENTERPRISE STATE JUNIOR COLLEGE,Enterprise State Community College,AL,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
001016,UNIVERSITY OF NORTH ALABAMA,University of North Alabama,AL,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001017,GADSDEN STATE COMMUNITY COLLEGE,Gadsden State Community College,AL,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
001018,GEORGE C WALLACE STATE COMMUNITY COLLEGE-DOTHAN,George C Wallace Community College-Dothan,AL,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
001019,HUNTINGDON COLLEGE,Huntingdon College,AL,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
001020,JACKSONVILLE STATE UNIVERSITY,Jacksonville State University,AL,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001021,JEFFERSON DAVIS COMMUNITY COLLEGE,Jefferson Davis Community College,AL,1996,2016,2017,1,yes,no,Public,2-year,Public 2-year,other_exit,A,,
001022,JEFFERSON STATE COMMUNITY COLLEGE,Jefferson State Community College,AL,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
001023,JUDSON COLLEGE,Judson College,AL,1996,2021,2022,1; 5,yes,no,Nonprofit,4-year,Nonprofit 4-year,apparent_main_campus_closure,D,,
001024,UNIVERSITY OF WEST ALABAMA,University of West Alabama,AL,1996,2024,,1; 2,yes,no,Public,4-year,Public 4-year,,A,,
001026,MARION MILITARY INSTITUTE,Marion Military Institute,AL,1996,2024,,1,yes,no,Nonprofit; Public,2-year,Public 2-year,,A,,
001028,MILES COLLEGE,Miles College,AL,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
001029,UNIVERSITY OF MOBILE,University of Mobile,AL,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
001030,BISHOP STATE COMMUNITY COLLEGE,Bishop State Community College,AL,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
001031,NORTHEAST ALABAMA STATE COMMUNITY COLLEGE,Northeast Alabama Community College,AL,1996,2024,,1; 2,yes,no,Public,2-year,Public 2-year,,A,,
001033,OAKWOOD COLLEGE,Oakwood University,AL,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
001034,ALABAMA SOUTHERN COMMUNITY COLLEGE,Alabama Southern Community College,AL,1996,2016,2017,1; 2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
001036,SAMFORD UNIVERSITY,Samford University,AL,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
001037,SELMA UNIVERSITY,SELMA UNIVERSITY,AL,1996,2001,2002,5,yes,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,A,,
001038,SNEAD STATE COMMUNITY COLLEGE,Snead State Community College,AL,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
001040,SOUTHERN UNION STATE COMMUNITY COLLEGE,Southern Union State Community College,AL,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
001041,SPRING HILL COLLEGE,Spring Hill College,AL,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
001044,STILLMAN COLLEGE,Stillman College,AL,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
001046,TALLADEGA COLLEGE,Talladega College,AL,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
001047,TROY STATE UNIVERSITY IN PHENIX CITY,Troy University,AL,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001048,TROY STATE UNIVERSITY-DOTHAN,Troy State University-Dothan Campus,AL,1996,2005,2006,1,yes,no,Public,4-year,Public 4-year,likely_combination_or_successor,C,102368,
001049,TROY STATE UNIVERSITY-MONTGOMERY,Regency Beauty Institute-Waite Park,MN,1996,2010,2011,1; 2,yes,no,For-profit; Public,2-year; 4-year,For-profit 2-year,other_exit,A,,
001050,TUSKEGEE UNIVERSITY,Tuskegee University,AL,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
001051,THE UNIVERSITY OF ALABAMA,The University of Alabama,AL,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001052,UNIVERSITY OF ALABAMA AT BIRMINGHAM,University of Alabama at Birmingham,AL,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001055,UNIVERSITY OF ALABAMA IN HUNTSVILLE,University of Alabama in Huntsville,AL,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001057,UNIVERSITY OF SOUTH ALABAMA,University of South Alabama,AL,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001059,LAWSON STATE COMMUNITY COLLEGE,Lawson State Community College,AL,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
001060,JAMES H FAULKNER STATE COMMUNITY COLLEGE,Coastal Alabama Community College,AL,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
001061,ALASKA PACIFIC UNIVERSITY,Alaska Pacific University,AK,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
001062,SHELDON JACKSON COLLEGE,Sheldon Jackson College,AK,1996,2007,2008,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,apparent_main_campus_closure,D,,
001063,UNIVERSITY OF ALASKA FAIRBANKS,University of Alaska Fairbanks,AK,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001065,UNIVERSITY OF ALASKA SOUTHEAST,University of Alaska Southeast,AK,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001070,AMERICAN GRADUATE SCHOOL OF INTERNATIONAL MGMT,Thunderbird School of Global Management,AZ,1996,2014,2015,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,A,,
001071,ARIZONA WESTERN COLLEGE,Arizona Western College,AZ,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
001072,COCHISE COLLEGE,Cochise County Community College District,AZ,1996,2024,,1; 2,yes,no,Public,2-year; 4-year,Public 4-year,,A,,
001073,EASTERN ARIZONA COLLEGE,Eastern Arizona College,AZ,1996,2024,,1,yes,no,Public,2-year; 4-year,Public 4-year,,A,,
001074,GRAND CANYON UNIVERSITY,Grand Canyon University,AZ,1996,2024,,1,yes,no,For-profit; Nonprofit,4-year,For-profit 4-year,,A,,
001076,GLENDALE COMMUNITY COLLEGE,Glendale Community College,AZ,1996,2024,,1,yes,no,Public,2-year; 4-year,Public 4-year,,A,,
001077,MESA COMMUNITY COLLEGE,Mesa Community College,AZ,1996,2024,,1,yes,no,Public,2-year; 4-year,Public 4-year,,A,,
001078,PHOENIX COLLEGE,Phoenix College,AZ,1996,2024,,1,yes,no,Public,2-year; 4-year,Public 4-year,,A,,
001079,YAVAPAI COLLEGE,Yavapai College,AZ,1996,2024,,1,yes,no,Public,2-year; 4-year,Public 4-year,,A,,
001081,ARIZONA STATE UNIVERSITY-MAIN CAMPUS,Arizona State University Campus Immersion,AZ,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A; G,104151,
001082,NORTHERN ARIZONA UNIVERSITY,Northern Arizona University,AZ,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001083,UNIVERSITY OF ARIZONA,University of Arizona,AZ,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001085,UNIVERSITY OF ARKANSAS AT MONTICELLO,University of Arkansas at Monticello,AR,1996,2024,,1; 2; 5,yes,no,Public,4-year,Public 4-year,,A,,
001086,UNIVERSITY OF ARKANSAS AT PINE BLUFF,University of Arkansas at Pine Bluff,AR,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001087,ARKANSAS BAPTIST COLLEGE,Arkansas Baptist College,AR,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
001088,LYON COLLEGE,Lyon College,AR,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
001089,ARKANSAS TECH UNIVERSITY,Arkansas Tech University,AR,1996,2024,,1,yes,no,Public,4-year,Public 4-year,,A,,
001090,ARKANSAS STATE UNIVERSITY-BEEBE BRANCH,Arkansas State University,AR,1996,2024,,1; 2,yes,no,Public,4-year,Public 4-year,,A,,
001092,UNIVERSITY OF CENTRAL ARKANSAS,University of Central Arkansas,AR,1996,2024,,1; 5,yes,no,Public,4-year,Public 4-year,,A,,
001093,CENTRAL BAPTIST COLLEGE,Central Baptist College,AR,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
