unitid,institution_name,state,city,first_seen_year,last_seen_year,first_missing_year,academic_year,reappeared_after_gap,act_code,closedat,newid,degree_granting,sector,broad_sector,institutional_level,tracker_category,highest_degree_offered,instcat,opeid8,headcount_year,student_headcount,exit_group,closure_proxy_note,source_group,source_file,source_note
140669,University of North Georgia,GA,Dahlonega,2004,2013,2014,2013-14,yes,C,-2,482680,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00158500,2012,7184,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2013.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
141307,Waycross College,GA,Waycross,2004,2013,2014,2013-14,yes,C,-2,482699,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,02055000,2012,1458,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2013.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
159443,Acadiana Technical College-Lafayette Campus,LA,,2004,2014,2015,2014-15,yes,C,-2,434061,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,03956317,2013,4990,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
366447,Altamaha Technical College,GA,,2004,2014,2015,2014-15,yes,C,-2,485458,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,03032100,2013,2282,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
485050,Arkansas College of Barbering & Hair Design - SWLR Campus,AR,,2014,2014,2015,2014-15,no,G,-2,106351,no,Sector unknown,,,,,-2,03023402,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
110945,California College San Diego,CA,San Diego,2004,2014,2015,2014-15,yes,C,-2,485263,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,02110800,2013,1577,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
478625,California College San Diego,CA,,2013,2014,2015,2014-15,no,C,-2,485263,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,02110801,2013,227,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
483294,Casa Loma College-Anaheim Campus,CA,Anaheim,2014,2014,2015,2014-15,no,G,-2,111638,no,Sector unknown,,,,,-2,00673102,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
248776,Coastal Pines Technical College,GA,,2004,2014,2015,2014-15,yes,C,-2,485458,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,00551100,2013,2105,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
476319,CollegeAmerica-Colorado Springs South,CO,,2012,2014,2015,2014-15,no,C,-2,448752,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,02594304,2013,30,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
139904,Georgia Military College,GA,,2004,2014,2015,2014-15,yes,C,-2,485111,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,00157100,2013,2277,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
482857,Georgia Military College-Distance Learning Campuses,GA,,2013,2014,2015,2014-15,no,C,-2,485111,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,00157100,2013,10392,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
225751,International Business College-El Paso,TX,El Paso,2004,2014,2015,2014-15,yes,C,-2,225779,yes,,Private for-profit,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,00908200,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
194541,Polytechnic Institute of New York University,NY,,2004,2014,2015,2014-15,yes,C,-2,193900,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",Other,-2,00278520,2013,5100,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
103361,Prince William Sound Community College,AK,,2004,2014,2015,2014-15,yes,C,-2,102553,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,01146205,2013,2258,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
195687,Saint Elizabeth College of Nursing,NY,Utica,2004,2014,2015,2014-15,yes,G,-2,195702,yes,"Private not-for-profit, at least 2 but less than 4 years",Private not-for-profit,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,00646101,2013,201,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
441186,San Diego State University-Imperial Valley Campus,CA,,2004,2014,2015,2014-15,yes,C,-2,122409,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00115101,2013,831,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
481784,San Joaquin Valley College-San Diego,CA,,2013,2014,2015,2014-15,no,G,-2,122685,yes,"Private for-profit, at least 2 but less than 4 years",Private for-profit,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,02120712,2013,10,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
176026,University of Mississippi Medical Center,MS,Jackson,2004,2014,2015,2014-15,yes,G,-2,176017,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",Doctor's - other,-2,00244001,2013,2388,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
442152,University of Phoenix-Atlanta Campus,GA,,2004,2014,2015,2014-15,yes,C,-2,484677,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,32098829,2013,2395,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
450474,University of Phoenix-Augusta Campus,GA,,2007,2014,2015,2014-15,yes,C,-2,484677,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,32098828,2013,1291,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
446747,University of Phoenix-Austin Campus,TX,,2005,2014,2015,2014-15,yes,C,-2,484756,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,42098879,2013,990,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
474951,University of Phoenix-Baton Rouge Campus,LA,,2011,2014,2015,2014-15,no,C,-2,484686,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,32098864,2013,856,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
406006,University of Phoenix-Bay Area Campus,CA,,2004,2014,2015,2014-15,yes,C,-2,484631,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,02098803,2013,2584,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
432232,University of Phoenix-Central Florida Campus,FL,,2004,2014,2015,2014-15,yes,C,-2,484668,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,32098816,2013,1583,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
445717,University of Phoenix-Central Valley Campus,CA,,2004,2014,2015,2014-15,yes,C,-2,484631,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,32098802,2013,3670,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
443474,University of Phoenix-Charlotte Campus,NC,,2004,2014,2015,2014-15,yes,C,-2,484729,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,42098827,2013,1546,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
450492,University of Phoenix-Chattanooga Campus,TN,,2007,2014,2015,2014-15,yes,C,-2,484747,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,42098870,2013,783,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
405988,University of Phoenix-Colorado Campus,CO,,2004,2014,2015,2014-15,yes,C,-2,484640,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,02098869,2013,2160,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
443881,University of Phoenix-Columbus Georgia Campus,GA,,2004,2014,2015,2014-15,yes,C,-2,484677,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,72098866,2013,1353,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
440439,University of Phoenix-Dallas Campus,TX,,2004,2014,2015,2014-15,yes,C,-2,484756,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,42098875,2013,2122,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
421018,University of Phoenix-Detroit Campus,MI,,2004,2014,2015,2014-15,yes,C,-2,484695,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,32098879,2013,2075,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
440448,University of Phoenix-Houston Campus,TX,,2004,2014,2015,2014-15,yes,C,-2,484756,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,42098871,2013,2884,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
442143,University of Phoenix-Kansas City Campus,MO,,2004,2014,2015,2014-15,yes,C,-2,484701,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,72098830,2013,931,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
474702,University of Phoenix-Knoxville Campus,TN,,2011,2014,2015,2014-15,no,C,-2,484747,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,72098831,2013,203,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
474960,University of Phoenix-Lafayette Campus,LA,,2011,2014,2015,2014-15,no,C,-2,484686,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,72098867,2013,331,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
416962,University of Phoenix-Las Vegas Campus,NV,,2004,2014,2015,2014-15,yes,C,-2,484710,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,82098816,2013,3314,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
443924,University of Phoenix-Little Rock Campus,AR,,2004,2014,2015,2014-15,yes,C,-2,484622,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,12098848,2013,1043,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
421009,University of Phoenix-Louisiana Campus,LA,,2004,2014,2015,2014-15,yes,C,-2,484686,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,32098863,2013,843,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
479770,University of Phoenix-McAllen Campus,TX,,2012,2014,2015,2014-15,no,C,-2,484756,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,72098843,2013,165,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
443890,University of Phoenix-Memphis Campus,TN,,2004,2014,2015,2014-15,yes,C,-2,484747,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,42098869,2013,1831,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
442170,University of Phoenix-Nashville Campus,TN,,2004,2014,2015,2014-15,yes,C,-2,484747,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,42098867,2013,2415,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
434955,University of Phoenix-North Florida Campus,FL,,2004,2014,2015,2014-15,yes,C,-2,484668,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,32098818,2013,1786,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
447661,University of Phoenix-Northern Nevada Campus,NV,,2005,2014,2015,2014-15,yes,C,-2,484710,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,52098870,2013,414,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
442189,University of Phoenix-Northern Virginia Campus,VA,,2004,2014,2015,2014-15,yes,C,-2,484765,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,42098888,2013,1243,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
448530,University of Phoenix-Northwest Arkansas Campus,AR,,2006,2014,2015,2014-15,yes,C,-2,484622,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,12098849,2013,717,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
434982,University of Phoenix-Oklahoma City Campus,OK,,2004,2014,2015,2014-15,yes,C,-2,484738,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,02098896,2013,746,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
372213,University of Phoenix-Online Campus,AZ,,2004,2014,2015,2014-15,yes,C,-2,484613,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",Other,-2,12098850,2013,374006,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
105516,University of Phoenix-Phoenix Campus,AZ,,2004,2014,2015,2014-15,yes,C,-2,484613,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,02098800,2013,7111,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
446765,University of Phoenix-Raleigh Campus,NC,,2005,2014,2015,2014-15,yes,C,-2,484729,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,42098830,2013,511,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
446756,University of Phoenix-Richmond-Virginia Beach Campus,VA,,2005,2014,2015,2014-15,yes,C,-2,484765,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,82098821,2013,1031,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
419509,University of Phoenix-Sacramento Valley Campus,CA,,2004,2014,2015,2014-15,yes,C,-2,484631,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,12098865,2013,5049,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
446738,University of Phoenix-San Antonio Campus,TX,,2005,2014,2015,2014-15,yes,C,-2,484756,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,42098878,2013,1544,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
372222,University of Phoenix-San Diego Campus,CA,,2004,2014,2015,2014-15,yes,C,-2,484631,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,02098883,2013,8718,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
447652,University of Phoenix-Savannah Campus,GA,,2005,2014,2015,2014-15,yes,C,-2,484677,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,32098833,2013,656,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
474979,University of Phoenix-Shreveport-Bossier Campus,LA,,2011,2014,2015,2014-15,no,C,-2,484686,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,32098866,2013,366,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
434946,University of Phoenix-South Florida Campus,FL,,2004,2014,2015,2014-15,yes,C,-2,484668,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,32098825,2013,2319,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
405979,University of Phoenix-Southern Arizona Campus,AZ,,2004,2014,2015,2014-15,yes,C,-2,484613,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,12098835,2013,2724,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
406015,University of Phoenix-Southern California Campus,CA,,2004,2014,2015,2014-15,yes,C,-2,484631,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,22098812,2013,13837,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
438382,University of Phoenix-Southern Colorado Campus,CO,,2004,2014,2015,2014-15,yes,C,-2,484640,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,32098806,2013,996,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
439279,University of Phoenix-St Louis Campus,MO,,2004,2014,2015,2014-15,yes,C,-2,484701,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,32098887,2013,1050,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
434991,University of Phoenix-Tulsa Campus,OK,,2004,2014,2015,2014-15,yes,C,-2,484738,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,52098869,2013,729,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
434964,University of Phoenix-West Florida Campus,FL,,2004,2014,2015,2014-15,yes,C,-2,484668,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,32098820,2013,1230,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
438416,University of Phoenix-West Michigan Campus,MI,,2004,2014,2015,2014-15,yes,C,-2,484695,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,32098883,2013,823,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
485227,Wright Career College-Omaha,NE,,2014,2014,2015,2014-15,no,G,-2,406200,no,Sector unknown,,,,,-2,02590906,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2014.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
487694,American Institute of Pharmaceutical Technology - Polifly,NJ,Hackensack,2015,2015,2016,2015-16,no,G,-2,486211,no,Sector unknown,,,,,-2,04215601,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2015.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
