UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
203845,69123,76661,70018,63467,48100,,,314,107,107,0,0,15,5,10,31,22,14,53,3,69,33,0,26,9,1
203881,56202,61192,57903,55349,52310,,,147,81,81,0,0,5,0,5,23,5,5,16,0,12,0,0,12,0,0
203942,,,,,,,,11,7,7,0,0,1,0,1,1,0,0,0,0,2,0,0,2,0,0
203960,64730,77246,70470,62904,57949,,,157,83,82,1,0,28,1,27,32,1,4,1,0,8,0,0,8,0,0
203997,70702,73541,73372,56932,,,,43,16,16,0,0,9,3,6,6,2,1,1,0,8,2,0,1,5,0
204006,73491,107436,84284,70824,44714,60553,,256,153,153,0,0,19,2,17,8,2,5,30,0,39,9,0,27,3,0
204015,68733,103789,78194,62130,44617,60845,,136,51,51,0,0,15,3,12,7,5,10,25,0,23,8,0,13,2,0
204024,97017,131344,106083,93155,52780,76275,,2968,990,953,37,0,146,38,108,238,284,204,215,13,878,475,4,301,91,7
204121,,,,,,,,6,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
204158,,,,,,,,41,33,33,0,0,0,0,0,5,1,0,0,0,2,0,0,2,0,0
204176,75956,94359,83880,74607,64519,,,92,60,60,0,0,9,0,9,11,0,1,0,0,11,5,0,6,0,0
204185,68909,81015,67115,58239,46350,,50400,403,161,161,0,0,19,4,15,35,24,17,48,2,97,43,0,33,21,0
204194,57966,65359,60798,50687,53800,,,404,161,161,0,0,12,3,9,66,10,13,56,4,82,34,0,39,6,3
204200,72638,97581,81621,67412,60447,,65375,364,175,175,0,0,14,4,10,37,14,3,46,3,72,36,1,28,7,0
204255,54248,62321,54469,47751,42025,,,123,62,62,0,0,1,1,0,15,12,3,11,0,19,3,1,11,4,0
204264,67842,78555,61618,69503,53458,,,320,127,122,1,4,23,3,20,61,9,6,37,2,55,35,0,20,0,0
204334,,,,,,,,11,7,7,0,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0
204422,49094,,56052,47539,43669,52500,,189,73,73,0,0,23,0,23,26,2,8,20,0,37,15,3,18,1,0
204431,,,,,,,,8,4,4,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0
204440,65654,,,,,,65654,173,68,68,0,0,13,2,11,18,6,8,5,1,54,19,6,27,1,1
204459,,,,,,,,4,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
204468,43535,56776,46353,39924,29649,,,201,79,79,0,0,31,3,28,21,15,0,32,1,22,11,1,10,0,0
204477,101409,114405,101257,85794,,,107766,417,86,80,6,0,62,5,57,57,58,73,3,9,69,12,0,49,8,0
204486,50085,57523,46073,46370,50007,,,291,101,101,0,0,30,3,27,17,12,7,42,0,82,8,40,15,15,4
204501,101350,142946,112969,69235,65875,61930,64301,854,309,309,0,0,132,39,93,31,52,43,108,6,173,44,1,97,29,2
204608,38453,,,,38453,,,59,31,31,0,0,9,0,9,4,5,1,1,0,8,6,0,2,0,0
204617,68460,75729,66754,72221,52827,51940,,198,83,83,0,0,17,5,12,15,9,8,43,1,22,12,0,10,0,0
204635,81777,92693,78726,73686,66592,,,526,226,226,0,0,13,7,6,38,77,20,85,3,64,8,0,54,0,2
204662,87226,89435,88782,82708,,,,69,31,31,0,0,1,1,0,6,9,4,11,0,7,1,0,6,0,0
204671,92485,110453,85464,73275,,,,92,41,40,0,1,0,0,0,10,7,1,9,0,24,14,0,5,5,0
204680,88199,98762,83719,68993,,,,88,45,44,0,1,1,1,0,7,9,0,8,0,18,12,0,3,3,0
204699,94403,113507,91314,80857,,,,108,55,54,0,1,1,1,0,10,9,1,13,0,19,10,0,5,3,1
204705,100407,120538,99200,81798,,,,155,80,78,0,2,1,1,0,19,9,5,18,0,23,8,0,12,3,0
204714,,,,,,,,10,6,6,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,0
204723,,,,,,,,10,5,5,0,0,1,0,1,1,1,0,0,0,2,0,0,2,0,0
204769,,,,,,,,13,8,8,0,0,1,0,1,1,1,0,0,0,2,0,2,0,0,0
204778,,,,,,,,9,4,4,0,0,1,0,1,1,1,0,0,0,2,0,1,1,0,0
204796,126543,159632,107989,98066,100292,,,34574,6062,5920,109,33,595,98,497,3220,2775,4074,1813,8868,7167,3433,89,2761,589,295
204802,72948,,77123,61110,,50000,,24,22,22,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
204820,71258,,76529,60188,,,,64,45,45,0,0,2,0,2,9,0,1,2,0,5,0,0,5,0,0
204839,71528,95424,70135,58516,,,,44,37,37,0,0,1,0,1,1,0,0,2,0,3,0,0,3,0,0
204848,76747,92773,79298,60666,,,,45,40,40,0,0,0,0,0,0,0,1,1,0,3,0,0,3,0,0
204857,86754,107570,86351,67953,,70951,,3621,1048,1048,0,0,249,49,200,560,172,365,397,49,781,350,1,246,134,50
204866,77405,89266,77113,58368,,,,47,42,42,0,0,1,0,1,1,0,0,0,0,3,0,0,3,0,0
204884,51500,,,,54300,37500,,24,15,15,0,0,0,0,0,2,3,0,0,0,4,0,2,2,0,0
204893,,,,,,,,11,7,7,0,0,1,0,1,1,0,0,0,0,2,0,0,2,0,0
204909,79057,95824,75437,64715,,,,370,123,123,0,0,40,13,27,30,26,13,89,1,48,10,0,27,10,1
