year,table_alias,table_name,output,resolved_var_name,resolved_var_title,matched_pattern
2017,F3,F1617_F3,state_appropriations_pfp,F3D05,,exact_code_override
2017,F3,F1617_F3,total_assets_pfp,,,
2017,F3,F1617_F3,total_expenses_total_amount_pfp,F3B02,,exact_code_override
2017,F3,F1617_F3,total_liabilities_pfp,,,
2017,F3,F1617_F3,total_revenues_investment_return_pfp,F3B01,,exact_code_override
2017,F3,F1617_F3,total_revenues_pfp,,,
2017,F3,F1617_F3,tuition_fees_pfp,F3D01,,exact_code_override
2017,FLAGS,FLAGS2017,pell_accounting_method_fasb,,,
2017,FLAGS,FLAGS2017,pell_accounting_method_pfp,,,
2017,FLAGS,FLAGS2017,reporting_model,,,
2017,HD,HD2017,access_earnings,,,
2017,HD,HD2017,category,,,
2017,HD,HD2017,city,,,
2017,HD,HD2017,control,,,
2017,HD,HD2017,county,,,
2017,HD,HD2017,date_closed,,,
2017,HD,HD2017,degree_granting_status,,,
2017,HD,HD2017,grad_offering,,,
2017,HD,HD2017,grad_program_mix,,,
2017,HD,HD2017,hbcu,,,
2017,HD,HD2017,highest_degree,,,
2017,HD,HD2017,id_number_multi,,,
2017,HD,HD2017,institution_name,,,
2017,HD,HD2017,is_active,,,
2017,HD,HD2017,latitude,,,
2017,HD,HD2017,level,,,
2017,HD,HD2017,longitude,,,
2017,HD,HD2017,multi_institution_campus_org,,,
2017,HD,HD2017,name_multi,,,
2017,HD,HD2017,opeid,,,
2017,HD,HD2017,region,,,
2017,HD,HD2017,sector,,,
2017,HD,HD2017,size,,,
2017,HD,HD2017,state,,,
2017,HD,HD2017,status,,,
2017,HD,HD2017,tribal_college,,,
2017,HD,HD2017,undergrad_program_mix,,,
2017,HD,HD2017,urbanization,,,
2017,HD,HD2017,zip,,,
2017,IC,IC2017,all_programs_distance_education,,,
2017,IC,IC2017,control_or_affiliation,,,
2017,IC,IC2017,has_full_time_first_time_undergrad,,,
2017,IC,IC2017,religious_affiliation,,,
2018,DRVADM,,admissions_yield,,,
2018,DRVEF12,,fte_12_months,,,
2018,DRVF,,core_expenses_fasb,,,
