snapshot_date,snapshot_label,hcm_level,opeid,unitid,institution_name,city,state,country,sector,institution_type_desc,reason_on_description,in_finance_tracker
2024-12-01,December 2024,HCM1,00845200,,Aberystwyth University,Aberystwyth,,Wales,Private not-for-profit,Foreign Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,00844900,,Acadia University,Wolfville,,Canada,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,04156700,,Ambrose University,Calgary,,Canada,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,04021400,,"American College, Dublin Limited (The)",Dublin 2,,Ireland,Private not-for-profit,Foreign Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03816400,,American Graduate School in Paris,Paris,,France,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,00788100,,American University of Paris,Paris,,France,Private not-for-profit,Foreign Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,02244400,,American University of the Caribbean,Cupecoy,,St. Maarten,Private for-profit,Foreign For-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03533300,,Bath Spa University,Bath,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,03300400,,"Charles University, First Faculty of Medicine",Prague 2,,Czech Republic,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,04238100,,Cliff College,Calver,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,00683800,,Dalhousie University,Halifax,,Canada,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,04116300,,EDHEC Business School,Roubaix Cedex 1,,France,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,02293400,,Ecole des Hautes Etudes Commerciales,Jouy-En-Josas,,France,Private not-for-profit,Foreign Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03859400,,Falmouth University,Falmouth,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,01168300,,Franklin University Switzerland,Sorengo,,Switzerland,Private not-for-profit,Foreign Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03594300,,Grenoble Ecole de Management,Grenoble,,France,Private not-for-profit,Foreign Private Non-Profit,Financial Statement Late or Missing,No
2024-12-01,December 2024,HCM1,02196700,,Guildhall School of Music & Drama,London,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,03818300,,HHL Leipzig Graduate School of Management,Leipzig,,Germany,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,02273900,,Heriot-Watt University,Edinburgh,,Scotland,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,01059900,,Institut D'Etudes Politiques De Paris,Paris,,France,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,01281100,,Instituto Tecnologico de Santo Domingo,Santo Domingo,,Dominican Republic,Private not-for-profit,Foreign Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,01222300,,Jagiellonian University Medical College,Krakow,,Poland,Private not-for-profit,Foreign Private Non-Profit,Foreign School Extended Eligibility 600.58 (c),No
2024-12-01,December 2024,HCM1,01068100,,Macquarie University,North Ryde,,Australia,Private not-for-profit,Foreign Private Non-Profit,Financial Statement Late or Missing,No
2024-12-01,December 2024,HCM1,03565300,,Masarykova Univerzita,Brno,,Czech Republic,Private not-for-profit,Foreign Private Non-Profit,Foreign School Extended Eligibility 600.58 (c),No
2024-12-01,December 2024,HCM1,01315300,,Massey University,Palmerston North,,New Zealand,Private not-for-profit,Foreign Private Non-Profit,Financial Statement Late or Missing,No
2024-12-01,December 2024,HCM1,03900300,,Medical University of the Americas,St. James Parish,,St. Kitts-Nevis,Private for-profit,Foreign For-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,02180500,,Middlesex University,London,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,02579600,,Murdoch University,Murdoch Perth,,Australia,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,01276600,,"National University of Ireland, Galway",Galway,,Ireland,Private not-for-profit,Foreign Private Non-Profit,Financial Statement Late or Missing,No
2024-12-01,December 2024,HCM1,01079700,,"National University of Ireland, Maynooth",Maynooth,,Ireland,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,03846300,,Pacific Life Bible College,Surrey,,Canada,Private not-for-profit,Foreign Private Non-Profit,Administrative Capability,No
2024-12-01,December 2024,HCM1,01227400,,Providence University College and Theological Seminary,Otterburne,,Canada,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,01059400,,"Richmond, The American International University in London",London,,England,Private not-for-profit,Foreign Private Non-Profit,Financial Statement Late or Missing,No
2024-12-01,December 2024,HCM1,03807300,,Rose Bruford College of Theatre and Performance,Sidcup,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,02277900,,Ross University School of Veterinary Medicine,Basseterre,,St. Kitts-Nevis,Private for-profit,Foreign For-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,02246000,,"Ross University, School of Medicine",St. Michael,,Barbados,Private for-profit,Foreign For-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03824300,,"Royal Veterinary College (The), University of London",London,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,03780300,,Saba University School of Medicine,The Bottom,,The Netherlands,Private for-profit,Foreign For-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,01022100,,Saint Paul University,Ottawa,,Canada,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,02233300,,"St.  George's University, School of Medicine",St George's University,,Grenada,Private for-profit,Foreign For-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03974300,,"St. George's University, School of Veterinary Medicine",St.George's,,Grenada,Private for-profit,Foreign For-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03764300,,St. Matthew's University School of Medicine,Grand Cayman,,British West Indies,Private for-profit,Foreign For-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,00858600,,Swansea University,Swansea,,Wales,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,01052000,,Trinity Laban Conservatoire of Music and Dance,Greenwich,,England,Private not-for-profit,Foreign Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04257100,,Universiteit Maastricht,Maastricht,,The Netherlands,Private not-for-profit,Foreign Private Non-Profit,Financial Statement Late or Missing,No
2024-12-01,December 2024,HCM1,02209500,,Universiteit Utrecht,Utrecht,,The Netherlands,Private not-for-profit,Foreign Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,00837700,,Universiteit van Amsterdam,Amsterdam,,The Netherlands,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,04212900,,University College Birmingham,Birmingham,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,00670400,,University College Cork,Cork,,Ireland,Private not-for-profit,Foreign Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,01018800,,"University College Dublin, National University of Ireland, Dublin",Dublin 4,,Ireland,Private not-for-profit,Foreign Private Non-Profit,Financial Statement Late or Missing,No
2024-12-01,December 2024,HCM1,00936800,,University of Aberdeen,Aberdeen,,Scotland,Private not-for-profit,Foreign Private Non-Profit,Financial Statement Late or Missing,No
2024-12-01,December 2024,HCM1,00787400,,University of Calgary,Calgary,,Canada,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,03515300,,University of Central Lancashire,Lancashire,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,04170900,,University of Chester,Chester,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,00684200,,University of Dublin Trinity College,Dublin 2,,Ireland,Private not-for-profit,Foreign Private Non-Profit,Financial Statement Late or Missing,No
2024-12-01,December 2024,HCM1,03045000,,University of East London,London,,England,Private not-for-profit,Foreign Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,00683900,,University of Edinburgh,Edinburgh,,Scotland,Private not-for-profit,Foreign Private Non-Profit,Financial Statement Late or Missing,No
2024-12-01,December 2024,HCM1,00868700,,University of Essex,Colchester,,England,Private not-for-profit,Foreign Private Non-Profit,Financial Statement Late or Missing,No
2024-12-01,December 2024,HCM1,00668300,,University of Guelph,Guelph,,Canada,Private not-for-profit,Foreign Private Non-Profit,Financial Statement Late or Missing,No
2024-12-01,December 2024,HCM1,01052500,,University of Hertfordshire,Hatfield,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,00866500,,University of Kent,Canterbury,,England,Private not-for-profit,Foreign Private Non-Profit,Financial Responsibility,No
