UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE
482459,R,8519,A,,R,220,G,284,G,9,G,284,G,9,A,,2
482468,R,15660,A,,R,421,G,522,G,18,G,522,G,18,A,,2
482477,R,694874,A,,R,54198,G,23162,G,2258,G,23162,G,2258,A,,2
482547,R,317,A,,R,0,G,11,G,0,G,11,G,0,A,,2
482556,R,2689,A,,R,96,G,90,G,4,G,90,G,4,A,,2
482565,R,185,A,,R,51,G,6,G,2,G,6,G,2,A,,2
482574,R,6668,A,,R,126,G,222,G,5,G,222,G,5,A,,2
482635,R,2676,A,,R,418,G,89,G,17,G,89,G,17,A,,2
482653,R,1826,A,,R,270,G,61,G,11,G,61,G,11,A,,2
482680,R,422577,A,,R,11663,G,14086,G,486,G,14086,G,486,R,126,2
482699,R,43169,A,,A,,G,1439,A,,G,1439,A,,A,,2
482705,R,84998,A,,R,108679,G,2833,G,4528,R,2656,R,3149,R,7,2
482936,R,40196,A,,R,962,G,1340,G,40,G,1340,G,40,A,,2
482963,R,12432,A,,A,,G,414,A,,G,414,A,,A,,2
482981,A,,R,194739,A,,G,216,A,,G,216,A,,A,,1
482990,R,11224,A,,A,,G,374,A,,G,374,A,,A,,2
483009,R,9270,A,,A,,G,309,A,,G,309,A,,A,,2
483018,R,4791,A,,A,,G,106,A,,G,106,A,,A,,2
483036,R,36980,A,,R,9540,G,1233,G,398,G,1233,G,398,A,,2
483045,R,162202,A,,A,,G,5407,A,,G,5407,A,,A,,2
483054,A,,R,103526,A,,G,115,A,,G,115,A,,A,,1
483106,A,,R,185404,A,,G,206,A,,G,206,A,,A,,1
483124,R,1146695,A,,R,277694,G,38223,G,11571,G,38223,G,11571,A,,2
483212,R,79401,A,,A,,G,2647,A,,G,2647,A,,A,,2
483221,R,2050,R,11000,R,300,G,81,G,13,G,81,G,13,A,,3
483230,A,,R,107344,A,,G,119,A,,G,119,A,,A,,1
483258,A,,R,57844,A,,G,64,A,,G,64,A,,A,,1
483276,A,,R,47400,A,,G,53,A,,G,53,A,,A,,1
483328,A,,R,106432,A,,G,118,A,,G,118,A,,A,,1
483337,A,,R,174225,A,,G,194,A,,G,194,A,,A,,1
483346,A,,R,48630,A,,G,54,A,,G,54,A,,A,,1
483355,R,8910,A,,A,,G,297,A,,R,265,A,,A,,2
483364,R,6633,A,,A,,G,221,A,,G,221,A,,A,,2
483373,R,3354,R,41179,A,,G,158,A,,G,158,A,,A,,3
483382,A,,R,274511,A,,G,305,A,,G,305,A,,A,,1
483425,A,,R,64575,A,,G,72,A,,G,72,A,,A,,1
483470,A,,R,107100,A,,G,119,A,,G,119,A,,A,,1
483504,R,15804,R,41034,A,,G,397,A,,G,397,A,,A,,3
483513,A,,R,57580,A,,G,64,A,,G,64,A,,A,,1
483559,A,,R,80833,A,,G,90,A,,G,90,A,,A,,1
483577,A,,R,42000,A,,G,47,A,,G,47,A,,A,,1
483595,R,135224,A,,R,50970,G,4507,G,2124,G,4507,G,2124,A,,2
483647,R,2340,A,,A,,G,52,A,,G,52,A,,A,,2
483708,A,,R,301178,A,,G,335,A,,G,335,A,,A,,1
483726,A,,R,19772,A,,G,22,A,,G,22,A,,A,,1
483735,A,,R,65618,A,,G,73,A,,G,73,A,,A,,1
483744,A,,R,63142,A,,G,70,A,,G,70,A,,A,,1
483753,A,,R,32422,A,,G,36,A,,G,36,A,,A,,1
483780,R,9760,A,,R,25117,G,217,G,698,G,217,G,698,A,,2
483799,A,,R,24220,A,,G,27,A,,G,27,A,,A,,1
483814,R,4797,R,512454,A,,G,729,A,,G,729,A,,A,,3
483823,A,,R,801200,A,,G,890,A,,G,890,A,,A,,1
483841,A,,R,110000,A,,G,122,A,,G,122,A,,A,,1
483850,A,,R,3219,A,,G,4,A,,G,4,A,,A,,1
483869,R,5269,R,7920,A,,G,184,A,,G,184,A,,A,,3
483878,A,,R,201768,A,,G,224,A,,G,224,A,,A,,1
483887,A,,R,23154,A,,G,26,A,,G,26,A,,A,,1
483896,A,,R,143066,A,,G,159,A,,G,159,A,,A,,1
483911,A,,R,18408,A,,G,20,A,,G,20,A,,A,,1
483920,A,,R,256318,A,,G,285,A,,G,285,A,,A,,1
483948,A,,R,21308,A,,G,24,A,,G,24,A,,A,,1
483957,A,,R,51038,A,,G,57,A,,G,57,A,,A,,1
483975,A,,A,,A,,A,,A,,A,,A,,R,766,-2
484002,R,62640,R,235111,A,,G,2349,A,,G,2349,A,,A,,3
484011,A,,R,103488,A,,G,115,A,,G,115,A,,A,,1
484020,A,,R,40388,A,,G,45,A,,G,45,A,,A,,1
484048,A,,R,109000,A,,G,121,A,,R,79,A,,A,,1
484057,A,,R,163919,A,,G,182,A,,G,182,A,,A,,1
484066,R,29262,A,,A,,G,975,A,,G,975,A,,A,,2
484075,A,,R,26023,A,,G,29,A,,G,29,A,,A,,1
484084,A,,R,46780,A,,G,52,A,,G,52,A,,A,,1
484093,A,,R,122146,A,,G,136,A,,G,136,A,,A,,1
484109,A,,R,92580,A,,G,103,A,,G,103,A,,A,,1
484127,A,,R,107971,A,,G,120,A,,G,120,A,,A,,1
484136,A,,R,32670,A,,G,36,A,,G,36,A,,A,,1
484163,A,,R,136210,A,,G,151,A,,G,151,A,,A,,1
484172,A,,R,29930,A,,G,33,A,,G,33,A,,A,,1
484190,A,,R,28560,A,,G,32,A,,G,32,A,,A,,1
484206,A,,R,169458,A,,G,188,A,,G,188,A,,A,,1
484233,A,,R,135887,A,,G,151,A,,G,151,A,,A,,1
484330,R,1320,A,,A,,G,44,A,,G,44,A,,A,,2
484349,R,2760,A,,A,,G,92,A,,G,92,A,,A,,2
484358,R,3660,A,,A,,G,122,A,,G,122,A,,A,,2
484367,R,871,R,256440,A,,G,314,A,,G,314,A,,A,,3
484376,R,1271,R,397529,A,,G,484,A,,G,484,A,,A,,3
484394,A,,R,162219,A,,G,180,A,,G,180,A,,A,,1
