"institution_name","unitid","state","city","control_label","institution_status","is_active","all_programs_distance_education","revenue_total","expenses_total"
"Arizona College of Nursing - Chesapeake","500290","Virginia","Chesapeake","Private for-profit","New (active) - added during the current year","Yes","No","","2414038"
"Arizona College of Nursing - Hartford","500306","Connecticut","East Hartford","Private for-profit","New (active) - added during the current year","Yes","No","","2828118"
"Arizona College of Nursing-St Louis","500333","Missouri","Maryland Heights","Private for-profit","New (active) - added during the current year","Yes","No","","2099225"
"Reformed University","490230","Georgia","Lawrenceville","Private not-for-profit","Active - institution active","Yes","No","2049065","1117579"
"The College of Saint Rose","195234","New York","Albany","Private not-for-profit","Active - institution active","Yes","No","",""
