UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM       
165255,.,.,.,.,.,.,.,26,8,8,0,0,2,0,2,4,1,0,0,0,11,2,1,8,0,0
165264,59267,.,64419,57682,.,.,.,148,81,81,0,0,10,3,7,28,5,6,6,0,12,0,0,12,0,0
165334,104603,138049,104049,94496,73596,86050,.,778,294,291,3,0,78,4,74,38,56,49,80,2,181,73,0,85,18,5
165495,46378,46378,.,.,.,.,.,9,3,3,0,0,1,0,1,2,2,0,0,0,1,0,1,0,0,0
165529,94372,106921,89606,78964,69388,.,.,367,162,162,0,0,16,6,10,40,17,10,40,8,74,24,0,38,11,1
165556,.,.,.,.,.,.,.,27,13,13,0,0,1,0,1,9,0,0,0,0,4,0,0,4,0,0
165574,65000,72581,68584,61307,.,.,.,237,65,65,0,0,53,3,50,36,28,9,19,5,22,4,0,10,8,0
165608,.,.,.,.,.,.,.,9,6,6,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0
165635,.,.,.,.,.,.,.,30,13,13,0,0,1,0,1,8,0,0,0,0,8,0,4,4,0,0
165644,55663,65470,58321,54438,45237,.,.,143,52,52,0,0,34,1,33,21,9,5,15,0,7,1,0,6,0,0
165662,93031,115972,94749,79029,.,88070,.,949,396,396,0,0,90,12,78,158,52,34,104,25,90,38,0,43,8,1
165671,89438,118396,93903,84614,.,70043,.,346,140,140,0,0,77,5,72,32,26,14,5,4,48,26,0,16,6,0
165699,99806,118475,97311,75701,60757,.,.,709,258,258,0,0,66,5,61,64,51,18,77,11,164,87,0,50,25,2
165750,.,.,.,.,.,.,.,11,7,7,0,0,2,0,2,1,0,0,0,0,1,0,0,1,0,0
165802,62260,.,75155,55227,.,.,.,157,71,71,0,0,38,3,35,8,12,3,13,2,10,0,3,4,3,0
165820,90068,107481,84447,71899,69782,.,.,618,245,245,0,0,63,14,49,46,12,28,40,5,179,72,0,82,15,10
165866,91332,104238,88590,76600,73125,.,.,548,212,212,0,0,68,13,55,97,1,18,8,6,138,53,0,54,15,16
165884,65034,68700,75854,65385,51093,.,.,79,44,44,0,0,15,1,14,6,6,1,1,0,6,3,0,3,0,0
165936,62924,70265,65148,52913,42365,.,.,405,102,102,0,0,68,5,63,30,22,17,35,7,124,74,2,40,7,1
165945,62508,69649,57076,51245,50139,.,.,137,25,23,2,0,10,5,5,21,12,9,1,0,59,4,0,46,9,0
165981,68868,72672,61313,58126,58166,.,.,186,66,66,0,0,30,5,25,32,7,12,4,0,35,10,0,20,5,0
166018,84165,108773,87357,62286,64579,.,.,273,45,45,0,0,31,6,25,45,10,17,21,0,104,64,3,27,9,1
166027,202873,264272,167530,148197,77547,116357,.,18311,4422,2238,2184,0,1483,723,760,1900,3184,2619,830,149,3724,1337,0,2190,141,56
166045,71477,74160,.,73125,70281,.,.,56,16,16,0,0,5,1,4,14,4,2,6,0,9,0,0,7,2,0
166054,66073,78433,.,64331,46186,.,.,78,22,22,0,0,7,1,6,13,9,3,6,0,18,6,0,12,0,0
166124,105816,142580,109918,78304,65370,72292,.,1093,330,329,1,0,70,26,44,62,114,40,135,11,331,201,1,99,25,5
166133,67682,71670,61118,58501,57466,.,.,478,156,156,0,0,86,7,79,59,5,15,25,1,131,32,0,86,6,7
166391,76875,88693,76877,67497,56200,.,.,322,118,118,0,0,32,4,28,51,20,7,47,5,42,15,0,18,9,0
166407,80444,.,85598,81532,68309,.,.,49,37,37,0,0,6,1,5,4,0,1,0,0,1,0,0,1,0,0
166452,78767,90550,78539,70716,60889,.,.,572,274,274,0,0,14,4,10,86,21,20,48,10,99,4,0,95,0,0
166489,45370,45370,.,.,.,.,.,97,53,53,0,0,19,1,18,11,5,1,5,0,3,2,0,1,0,0
166498,.,.,.,.,.,.,.,6,3,3,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
166513,117199,159452,123005,99930,73491,91249,71177,1882,817,767,50,0,67,5,62,175,160,188,111,23,341,135,1,145,47,13
166629,116437,156829,110857,98878,66000,78477,.,6156,1868,1550,295,23,446,74,372,268,451,549,310,91,2173,1209,4,620,247,93
