UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12 
119775,61,63,59,13,13,13,12,13,11,1,0,2
120166,45,43,50,11,17,0,11,17,0,0,0,0
120254,38,34,41,22,25,20,22,25,20,0,0,0
120403,80,72,83,14,16,14,14,15,14,0,0,0
120537,40,40,40,36,36,36,36,36,36,0,0,0
120661,99,98,99,68,68,68,68,68,68,0,0,0
120768,13,0,14,33,.,33,0,.,0,33,.,33
120865,58,56,59,19,23,16,18,23,15,0,0,0
120883,79,76,81,9,10,8,9,10,8,0,0,0
121150,53,52,53,16,18,15,16,18,15,0,0,0
121257,18,21,17,53,51,54,53,51,54,0,0,0
121309,84,91,80,26,26,26,26,26,26,0,0,0
121345,7,7,6,58,58,59,58,58,59,0,0,0
121691,83,80,86,16,17,16,16,17,16,0,0,0
122409,38,35,40,21,22,20,20,21,20,0,0,0
122436,53,50,54,15,17,15,15,17,15,0,0,0
122506,46,50,43,25,27,22,25,27,22,0,0,0
122597,93,91,94,12,13,12,11,12,11,1,1,1
122612,71,67,73,9,9,9,9,9,9,0,0,0
122728,78,78,78,36,39,34,33,35,31,3,3,3
122755,84,80,88,16,19,14,16,18,14,1,1,1
122931,54,50,57,17,20,15,17,20,15,0,0,0
123165,30,.,30,38,.,38,38,.,38,0,.,0
123280,100,100,100,60,50,100,60,50,100,0,0,0
123457,67,66,68,21,23,19,17,18,16,4,6,3
123554,70,69,71,17,18,16,17,18,16,0,0,0
123572,94,92,95,8,8,9,8,7,8,0,0,0
123651,69,66,70,25,26,24,25,26,24,0,0,0
123679,98,99,97,42,40,43,38,36,39,4,3,5
123952,65,65,65,11,13,10,11,13,10,0,0,0
123961,13,14,12,41,40,42,41,40,42,0,0,0
124292,83,82,84,60,66,56,60,66,56,0,0,0
124706,99,99,99,43,40,44,43,40,44,0,0,0
124937,98,100,97,83,83,83,83,83,83,0,0,0
125727,79,77,80,18,19,18,18,19,17,0,0,0
125763,82,80,84,12,12,11,12,12,11,0,0,0
125897,63,60,65,13,13,12,13,13,12,0,0,0
126076,69,69,.,95,95,.,95,95,.,0,0,.
126182,100,100,100,19,23,15,17,21,14,1,2,1
126359,81,65,82,18,73,15,18,73,15,0,0,0
126562,72,70,73,16,18,15,15,17,14,1,1,1
126580,95,95,96,12,15,11,12,14,10,1,1,1
126614,80,75,83,16,19,13,15,18,13,0,0,0
126678,14,15,14,40,41,39,40,41,39,0,0,0
126687,83,87,82,59,47,61,59,47,61,0,0,0
126775,57,53,65,21,23,18,21,23,18,0,0,0
126784,98,98,.,89,89,.,89,89,.,0,0,.
126818,90,88,91,18,19,18,18,19,17,1,1,1
127060,64,62,65,11,12,11,11,12,11,0,0,0
127185,93,92,93,27,30,25,26,29,24,1,1,1
127556,80,79,81,29,33,26,27,31,24,2,2,2
127565,89,87,90,18,22,16,14,17,12,4,5,4
127653,100,100,100,20,49,9,18,46,8,1,3,1
127741,91,88,92,14,13,14,13,13,14,0,0,0
127918,81,77,83,9,10,9,9,10,9,0,0,0
127954,100,.,100,80,.,80,80,.,80,0,.,0
128106,99,99,99,30,33,26,26,29,23,4,4,4
128328,12,13,12,75,77,71,75,77,71,0,0,0
128391,91,91,90,15,17,14,15,17,14,0,0,0
128498,82,78,85,15,18,14,15,18,14,0,0,0
128586,74,74,.,100,100,.,100,100,.,0,0,.
128744,73,69,75,7,6,7,7,6,7,0,0,0
128771,75,76,74,23,26,21,23,25,20,1,1,0
128902,41,35,45,16,19,14,16,19,14,0,0,0
129020,56,50,60,18,20,16,18,20,16,0,0,0
129215,73,66,78,23,25,22,23,25,22,0,0,0
129242,56,59,54,18,18,17,18,18,17,0,0,0
129525,79,79,78,9,10,8,9,10,8,0,0,0
129774,78,75,81,11,15,8,11,15,8,0,0,0
129941,94,92,95,13,14,13,13,14,13,0,0,0
130110,96,100,94,75,59,82,49,29,59,25,29,24
130226,88,89,88,11,11,11,11,11,11,0,0,0
130253,66,62,68,22,24,21,22,24,21,0,0,0
130314,78,69,82,18,16,18,18,16,18,0,0,0
130493,83,78,86,17,17,17,17,16,17,0,0,0
130590,38,35,40,25,27,23,25,27,22,0,0,0
130624,19,16,27,69,71,68,69,71,68,0,0,0
130697,19,22,18,36,39,33,36,39,33,0,0,0
130776,85,80,88,18,22,16,18,21,15,1,1,1
130794,5,6,5,71,68,74,71,68,74,0,0,0
130934,59,53,62,36,39,35,33,36,32,3,3,4
130943,72,69,75,19,19,18,19,19,18,0,0,0
130989,63,61,64,39,41,37,39,41,36,1,0,1
131159,64,61,66,19,19,19,19,19,19,0,0,0
131283,86,83,88,14,14,13,14,14,13,0,0,0
131450,62,61,62,61,64,60,61,64,60,0,0,0
131469,50,48,51,19,20,18,19,20,18,0,0,0
131496,12,13,12,48,47,49,48,47,49,0,0,0
131520,35,34,36,27,25,28,27,25,27,0,0,0
131830,100,100,100,100,100,100,100,100,100,0,0,0
131876,97,78,98,31,14,31,26,0,26,4,14,4
132408,100,100,100,83,86,82,75,71,77,8,14,5
132471,64,59,66,11,12,10,10,11,9,1,0,1
132602,100,100,100,15,18,13,15,17,13,0,0,0
132657,83,80,85,13,17,11,13,17,11,0,0,0
132842,100,100,100,67,67,67,22,0,25,44,67,42
132879,42,42,42,48,56,39,48,56,39,0,0,0
132903,36,37,36,40,43,38,38,40,36,2,2,2
133492,70,64,73,17,15,17,16,15,17,0,0,0
133526,80,78,81,7,10,5,7,9,5,0,0,0
133553,72,73,71,28,28,27,28,28,27,0,0,0
133650,35,35,36,37,40,36,29,30,29,7,10,6
133669,78,75,80,20,23,18,13,14,12,7,10,6
133711,74,70,76,19,20,18,19,20,18,0,0,0
133809,83,81,84,84,84,83,84,84,83,0,0,0
133845,95,92,96,37,41,37,37,41,37,0,0,0
133854,98,100,98,59,69,56,59,69,56,0,0,0
133863,93,94,93,59,80,57,59,80,57,0,0,0
133872,90,92,90,32,35,31,22,26,21,10,9,10
133881,66,68,63,11,12,8,11,12,8,0,0,0
133951,64,64,64,39,43,36,27,28,27,11,15,9
133979,57,56,57,17,25,12,16,22,12,1,3,0
134079,61,59,62,12,13,12,12,13,12,0,0,0
134097,37,38,37,32,32,31,31,31,31,1,1,1
134130,30,29,31,44,45,43,44,45,43,0,0,0
134945,78,75,79,10,12,9,10,12,9,0,0,0
135081,96,97,96,54,53,54,38,40,37,16,13,17
135364,47,50,43,67,67,67,0,0,0,67,67,67
135726,28,33,25,23,23,23,23,23,23,0,0,0
136172,77,75,79,21,24,19,20,22,18,1,2,1
136215,93,90,93,15,15,15,15,15,15,0,0,0
136330,90,90,90,29,32,28,29,32,28,0,0,0
136774,69,64,70,28,31,26,27,31,26,0,0,0
136950,49,46,50,13,14,13,13,14,13,0,0,0
137032,71,69,72,12,13,11,12,13,11,0,0,0
137272,95,94,100,100,100,100,100,100,100,0,0,0
137351,49,50,49,25,27,24,25,26,23,1,1,1
137476,71,69,73,11,16,8,11,16,8,0,0,0
137546,92,89,93,8,8,7,8,8,7,0,0,0
137564,45,48,43,54,57,53,50,51,49,5,6,4
137847,54,58,52,18,18,17,18,18,17,0,0,0
137953,43,43,43,64,67,61,62,64,59,3,3,2
137962,47,49,43,53,68,26,53,68,26,0,0,0
138275,53,53,53,38,35,42,38,35,42,0,0,0
138293,46,26,73,28,68,9,28,67,9,0,1,0
138354,53,53,53,25,29,23,22,25,21,3,4,3
138558,75,78,74,52,57,49,48,52,45,4,4,4
138600,70,.,70,27,.,27,27,.,27,0,.,0
138761,51,52,51,24,38,15,23,38,15,0,0,0
138868,47,52,40,44,44,43,40,41,39,3,3,3
138947,58,52,60,12,13,11,11,13,11,0,0,0
139144,70,62,74,20,22,19,20,22,19,0,0,0
139199,89,78,90,10,9,11,9,7,9,1,1,1
139205,80,80,80,42,44,41,41,41,41,2,3,0
139250,97,97,98,29,34,27,22,26,21,6,7,6
139311,63,62,63,58,64,56,51,55,50,7,9,6
139366,79,76,80,29,37,25,27,33,23,3,4,2
139393,89,88,89,38,39,36,36,38,34,2,2,3
139630,78,73,84,33,35,31,33,35,31,0,0,0
139658,13,14,12,34,33,35,34,33,35,0,0,0
139719,72,72,72,19,16,23,17,14,20,2,2,3
139755,16,13,21,49,50,48,49,50,48,0,0,0
139764,86,86,86,27,32,25,27,32,24,1,0,1
139861,88,83,90,37,40,36,37,40,36,0,0,0
139931,91,88,92,33,37,31,32,36,30,1,1,1
139940,100,100,100,31,35,28,29,33,27,1,1,1
139959,40,36,43,37,39,36,37,38,36,0,0,0
139968,88,86,90,52,58,47,39,44,36,13,15,11
140234,75,75,74,14,13,14,14,13,14,0,0,0
140252,96,94,98,57,55,59,55,55,57,1,1,2
140340,95,95,94,68,67,69,51,56,49,17,11,20
140447,75,72,78,17,18,17,17,18,17,0,0,0
140553,65,65,33,26,26,100,25,25,0,0,0,100
140696,81,78,83,22,23,21,22,23,21,0,0,0
140720,52,46,57,18,29,11,16,26,10,2,3,1
140818,67,64,69,17,19,17,17,19,17,0,0,0
140872,70,69,72,30,33,27,30,33,26,0,0,0
140951,81,78,82,22,26,21,21,24,20,1,2,1
140988,81,74,89,33,34,33,33,34,33,0,0,0
141060,51,.,51,14,.,14,14,.,14,0,.,0
141167,29,39,22,34,36,31,29,31,27,5,5,5
141185,62,65,60,33,35,31,31,33,29,2,2,2
141237,69,73,66,33,35,31,33,35,31,0,0,0
141264,76,73,78,27,31,25,26,30,25,1,1,1
141325,62,.,62,17,.,17,17,.,17,0,.,0
141334,70,63,74,34,39,31,31,37,29,2,3,2
141361,75,69,79,22,27,19,22,27,19,0,0,0
141486,90,92,90,21,29,19,21,28,18,1,1,1
141565,92,91,93,17,21,15,15,19,13,2,2,2
141574,70,72,69,21,26,19,20,23,18,2,3,1
141644,85,83,86,8,9,7,8,9,7,0,0,0
141981,95,93,96,32,38,27,26,30,23,6,7,5
142090,79,77,81,74,90,65,67,80,59,7,10,6
142115,83,80,85,24,25,24,24,24,23,1,1,1
142285,81,79,83,21,22,20,20,21,20,0,0,0
142294,56,55,57,15,18,13,15,17,13,0,0,0
142328,100,100,100,25,25,25,24,24,24,1,1,1
142461,88,85,90,11,14,9,11,14,9,0,0,0
142522,97,96,97,50,51,50,42,42,42,8,9,8
142957,100,100,.,100,100,.,0,0,.,100,100,.
143048,81,74,83,14,14,14,14,14,14,0,0,0
143084,69,66,71,14,16,13,14,16,13,0,0,0
143118,86,87,86,31,29,32,31,29,32,0,0,0
143288,66,68,65,26,28,24,25,27,24,0,1,0
143358,76,74,77,14,16,12,14,16,12,0,0,0
143978,0,0,0,.,.,.,.,.,.,.,.,.
144005,47,39,52,7,11,6,6,10,5,1,1,1
144050,6,7,6,83,85,82,83,85,82,0,0,0
144281,96,94,97,25,27,23,24,27,23,0,0,0
144351,88,84,92,7,7,7,7,7,7,0,0,0
144740,69,65,72,13,14,12,13,14,12,0,0,0
144892,72,67,75,15,17,14,15,17,14,0,0,0
144962,71,66,76,20,19,21,20,19,21,0,0,0
144971,87,86,89,16,15,18,16,15,18,0,0,0
145239,61,38,64,48,67,47,48,67,47,0,0,0
145336,52,50,54,32,34,30,31,33,30,1,1,1
145354,100,.,100,40,.,40,40,.,40,0,.,0
145372,80,76,87,26,24,29,26,24,29,0,0,0
145497,80,50,100,100,100,100,50,0,67,50,100,33
145600,79,74,82,23,26,22,22,25,21,1,1,1
145619,80,76,84,18,22,14,18,22,14,0,0,0
145637,60,54,67,29,31,28,29,30,28,0,0,0
145646,45,41,49,21,26,17,21,26,17,0,0,0
145691,75,71,78,9,10,9,9,10,9,0,0,0
145725,66,63,71,12,13,10,12,12,10,0,0,0
145813,92,89,93,31,34,29,31,34,29,0,0,0
146339,62,57,80,31,24,45,31,24,45,0,0,0
146427,70,67,73,13,12,13,13,12,13,0,0,0
146481,64,61,67,15,17,13,15,17,13,0,0,0
146612,71,69,73,18,21,16,18,21,16,0,0,0
146676,74,72,77,27,30,25,27,29,24,0,1,0
146719,77,73,79,10,10,10,10,10,10,0,0,0
147013,78,77,78,20,21,18,20,21,18,0,0,0
147129,100,.,100,89,.,89,44,.,44,44,.,44
147244,75,71,78,18,21,16,18,21,16,0,0,0
147341,66,62,71,11,11,10,11,11,10,0,0,0
147369,98,97,99,57,62,52,52,57,47,5,5,5
147536,97,96,98,38,31,44,34,28,38,4,2,6
147660,68,67,70,16,20,13,16,20,13,0,0,0
147679,67,62,72,17,17,17,17,17,17,0,0,0
147703,70,67,73,14,16,13,13,15,13,1,1,1
147767,7,7,7,63,64,62,63,64,62,0,0,0
147776,62,55,67,16,18,14,15,17,13,1,1,1
147828,61,69,67,19,20,19,19,20,19,0,0,0
148016,84,79,90,68,74,62,68,74,62,0,0,0
148131,60,54,66,26,36,18,26,36,18,0,0,0
148405,67,64,71,18,18,17,18,18,17,0,0,0
148487,92,95,90,16,18,14,15,18,14,0,0,0
148496,81,77,83,15,15,15,15,15,15,0,0,0
148584,68,67,69,19,20,18,19,20,18,0,0,0
148627,85,79,88,11,13,10,11,13,10,0,0,0
148654,79,78,80,13,14,13,13,14,13,0,0,0
149028,100,100,100,50,100,0,50,100,0,0,0,0
149222,95,94,96,21,26,18,21,25,18,1,1,0
149231,98,98,98,23,25,21,22,24,21,1,1,1
149310,89,90,88,62,65,58,62,65,58,0,0,0
149329,93,93,.,100,100,.,100,100,.,0,0,.
149505,76,73,78,23,26,21,22,26,21,0,0,0
149514,91,89,96,26,27,25,26,27,25,0,0,0
149639,100,100,100,77,83,75,77,83,75,0,0,0
149772,72,67,76,18,20,17,17,19,16,0,0,0
149781,86,82,89,32,33,31,32,33,31,0,0,0
150066,62,55,69,12,16,9,11,16,9,0,0,0
150136,68,63,71,21,25,19,21,25,19,0,0,0
150145,98,98,98,23,27,22,23,27,21,0,0,0
150163,81,80,81,9,9,9,9,9,9,0,0,0
150400,65,62,67,14,15,13,14,15,13,0,0,0
150455,69,65,73,15,17,13,15,17,13,0,0,0
150534,75,74,75,12,12,12,12,12,12,0,0,0
150604,95,94,96,17,19,14,17,19,14,0,0,0
150668,93,92,93,20,21,19,20,21,19,0,0,0
150677,83,75,87,13,16,11,13,16,11,0,0,0
150756,73,71,74,15,17,13,15,17,13,0,0,0
150774,86,85,87,40,39,41,39,37,41,1,1,0
150941,79,77,80,29,34,27,28,32,25,2,2,1
151102,83,85,82,26,29,23,25,28,22,1,1,1
151111,84,82,85,28,28,27,26,27,26,1,2,1
151263,78,74,80,13,13,13,13,13,13,0,0,0
151290,65,64,66,28,30,24,27,30,24,0,0,0
151306,96,95,97,36,38,35,35,37,34,1,1,0
151324,94,92,95,12,15,11,12,15,11,0,0,0
151333,90,88,91,32,36,30,31,35,29,1,1,1
151342,89,82,92,35,41,32,30,36,28,4,5,4
151351,85,84,86,24,26,22,24,26,22,0,0,0
151360,85,85,86,34,37,32,31,35,30,3,2,3
151379,90,88,91,33,38,30,30,34,28,3,4,2
151388,81,76,83,32,38,29,29,34,27,3,4,2
151467,74,76,73,26,21,27,26,21,27,0,0,0
151777,76,74,79,13,12,14,13,12,14,0,0,0
151786,73,72,74,25,28,23,25,28,23,0,0,0
151801,92,91,92,16,17,15,16,17,15,0,0,0
152080,15,16,14,58,57,58,58,57,58,0,0,0
152099,73,70,74,25,42,16,25,42,16,0,0,0
152318,77,76,81,18,18,19,18,18,19,0,0,0
152336,99,99,100,34,33,35,34,33,35,0,0,0
152381,70,56,75,34,39,33,32,37,31,2,2,2
152390,83,.,83,19,.,19,19,.,19,0,.,0
152497,100,.,100,41,.,41,41,.,41,0,.,0
152530,73,71,75,27,30,25,27,30,25,0,0,0
152567,79,79,79,20,23,17,20,23,17,0,0,0
152600,93,93,94,11,23,0,4,10,0,6,14,0
152673,62,62,0,21,21,.,21,21,.,0,0,.
152798,100,.,100,100,.,100,0,.,0,100,.,100
153001,66,66,66,21,21,20,21,21,20,0,0,0
153108,75,75,74,21,21,21,21,21,21,0,0,0
153126,89,87,94,10,9,14,10,9,14,0,0,0
153144,73,63,79,8,9,7,8,9,7,0,0,0
153162,81,76,86,16,17,15,16,17,15,0,0,0
153241,100,.,100,100,.,100,100,.,100,0,.,0
153250,73,70,79,38,34,43,37,34,41,1,0,2
153269,69,65,72,14,13,14,14,13,14,0,0,0
153278,76,77,76,23,23,24,23,22,23,0,0,1
153302,99,98,100,46,45,46,45,45,45,1,0,2
153320,56,59,54,66,68,63,63,65,60,3,3,3
153366,67,62,74,13,14,10,13,14,10,0,0,0
153375,100,100,99,17,21,13,16,21,13,0,0,0
153384,11,9,12,43,46,40,43,46,40,0,0,0
153603,91,90,92,29,31,27,29,31,27,0,0,0
153621,82,79,85,8,12,5,8,12,5,0,0,0
153658,86,84,88,23,23,24,23,22,24,0,0,0
153825,72,70,75,20,21,18,20,21,18,0,0,0
153834,76,74,79,23,21,27,23,21,27,0,0,0
153861,95,100,92,69,80,63,29,40,23,40,40,40
153977,97,100,97,40,59,37,34,53,31,6,6,6
154004,74,73,74,15,19,13,15,19,13,0,0,0
154013,81,76,83,21,27,19,21,26,19,0,1,0
154095,86,83,88,38,37,39,38,37,38,0,0,0
154101,83,81,86,28,24,32,28,24,32,0,0,0
154235,72,69,75,17,20,14,17,20,14,0,0,0
154262,100,.,100,88,.,88,58,.,58,29,.,29
154350,91,89,93,24,22,25,24,22,25,0,0,0
154493,65,66,63,25,27,21,22,24,18,3,3,2
154518,72,70,78,24,24,25,22,22,23,2,2,3
154527,83,82,83,12,15,10,12,15,10,0,0,0
154590,58,55,64,42,42,41,41,42,40,1,1,1
154688,99,100,99,35,41,30,34,41,29,0,0,1
154712,98,99,98,23,24,21,23,24,21,0,0,0
154721,72,72,73,14,11,23,14,11,23,0,0,0
154749,71,70,71,26,27,24,26,27,24,0,0,0
155025,88,88,88,38,43,36,38,42,36,0,1,0
155061,90,89,91,53,53,53,49,49,50,4,4,3
155070,54,55,54,15,16,14,13,14,12,2,2,2
155089,58,61,53,27,26,28,27,26,28,0,0,0
155140,94,91,96,82,78,86,79,78,80,3,0,6
155283,94,93,94,39,32,40,35,32,35,5,0,5
