UNITID,FTE12MN,UNDUP,UNDUPUG,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON 
148487,3985,5517,3549,500,502,2249,298,1968,2635,491,383,1697,64,914,9,119,552,234,0,6,19,24,0,39,2,6,4,64,0,4,20,28,0,37,2,6,2,60,0,10,18,17,0,41,2,6,7,70,13,71,17,10,79,11,18,56,27
148496,2775,3730,2338,475,227,1588,48,1392,2078,475,209,1394,0,260,0,18,194,48,0,3,7,45,0,35,1,8,1,73,0,3,5,59,0,24,1,6,1,69,0,3,9,21,0,52,1,11,2,79,8,85,7,0,94,6,22,69,9
148511,2848,3351,120,0,54,61,5,3231,64,0,36,28,0,56,0,18,33,5,0,9,8,13,0,60,2,7,1,77,0,2,19,44,0,25,2,8,1,70,0,10,8,11,0,61,2,7,1,77,28,59,14,18,75,7,28,58,14
148575,311,526,327,0,128,199,0,199,273,0,117,156,0,54,0,11,43,0,0,2,3,2,0,88,3,1,0,85,0,2,3,2,0,88,3,1,0,85,1,3,4,2,0,88,2,1,0,85,38,62,0,0,100,0,100,0,0
148584,2922,5139,1991,220,403,1167,201,3148,1458,219,243,996,0,533,1,160,171,201,0,4,8,16,0,67,2,1,2,75,0,3,9,23,0,57,3,3,3,70,0,4,8,12,0,74,1,1,1,78,57,36,7,20,69,11,80,15,5
148593,121,121,110,0,53,57,0,11,104,0,53,51,0,6,0,0,6,0,0,2,5,2,0,88,2,0,0,86,0,3,5,3,0,87,2,0,0,86,0,0,0,0,0,100,0,0,0,82,3,0,97,3,0,97,9,0,91
148627,3738,4335,3384,744,375,2243,22,951,3008,743,315,1941,9,376,1,60,302,13,0,3,13,37,0,41,2,4,0,66,0,3,12,43,0,37,2,2,0,64,0,3,15,16,0,55,1,10,0,74,12,76,12,4,84,12,42,48,11
148654,3240,4985,3071,316,743,1893,119,1914,2034,308,451,1247,28,1037,8,292,646,91,0,5,13,9,0,63,3,1,6,52,0,4,14,11,0,63,4,1,2,53,0,6,11,5,0,61,2,1,13,51,66,32,2,58,40,1,79,19,3
148672,1027,2290,2290,361,50,928,951,0,707,246,24,404,33,1583,115,26,524,918,0,1,3,17,0,75,2,2,0,62,0,1,3,17,0,75,2,2,0,62,.,.,.,.,.,.,.,.,.,.,45,21,34,45,21,34,.,.,.
148821,1025,2663,2663,224,112,774,1553,0,676,161,51,348,116,1987,63,61,426,1437,1,1,13,4,0,79,0,3,0,66,1,1,13,4,0,79,0,3,0,66,.,.,.,.,.,.,.,.,.,.,0,9,91,0,9,91,.,.,.
