UNITID,FTE12MN,UNDUP,UNDUPUG,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON 
100654,5289,6628,5529,1632,244,3641,12,1099,4910,1563,190,3157,0,619,69,54,484,12,0,0,85,1,0,2,1,9,1,61,0,0,90,1,0,2,1,5,1,60,0,1,62,0,0,3,0,29,5,69,25,71,4,21,76,3,48,44,8
100663,20850,26322,15674,2223,1896,10955,600,10648,10981,2143,1132,7631,75,4693,80,764,3324,525,0,6,21,4,0,58,4,2,5,63,0,7,24,6,0,55,5,1,3,62,0,6,17,2,0,62,2,3,8,66,30,50,20,20,68,12,45,24,31
100690,550,1087,373,1,320,52,0,714,230,0,202,28,0,143,1,118,24,0,1,1,56,3,0,37,0,2,0,59,0,0,68,3,0,27,0,3,0,67,1,2,49,3,1,42,0,2,0,54,100,0,0,100,0,0,100,0,0
100706,8645,11318,8886,1380,1017,6099,390,2432,7001,1356,731,4902,12,1885,24,286,1197,378,1,4,10,5,0,68,4,5,4,44,1,4,10,6,0,70,4,3,2,42,0,3,9,3,0,60,1,14,8,53,35,61,4,29,68,3,55,34,10
100724,3911,4478,3914,1055,148,2710,1,564,3411,966,140,2304,1,503,89,8,406,0,0,0,90,1,0,4,1,1,1,64,0,0,92,1,0,2,1,1,1,63,0,1,70,1,0,24,1,1,1,68,30,65,5,26,69,5,57,36,7
100751,35095,41992,34611,6625,1695,24644,1647,7381,28652,6569,1040,21000,43,5959,56,655,3644,1604,0,1,11,5,0,74,3,1,3,57,0,1,11,5,0,76,4,1,2,56,0,2,14,5,0,66,2,1,9,63,22,73,5,18,80,2,43,37,20
100760,993,2108,2108,378,136,776,818,0,626,261,47,312,6,1482,117,89,464,812,0,1,17,2,0,73,3,4,1,61,0,1,17,2,0,73,3,4,1,61,.,.,.,.,.,.,.,.,.,.,65,21,14,65,21,14,.,.,.
100812,2253,3792,3521,0,986,2334,201,271,1474,0,542,927,5,2047,0,444,1407,196,1,1,15,4,0,74,3,2,0,68,1,1,14,4,0,75,3,2,0,69,1,0,35,4,0,56,3,1,0,58,58,37,5,55,39,5,100,0,0
100830,4743,6141,5054,735,573,3386,360,1087,3625,679,409,2535,2,1429,56,164,851,358,0,3,43,1,0,43,3,1,6,66,0,3,44,1,0,43,3,1,4,66,0,2,37,1,0,41,1,3,14,63,18,61,21,13,66,22,44,41,15
100858,29525,33175,26057,4459,865,20503,230,7118,23131,4317,779,17939,96,2926,142,86,2564,134,0,2,6,4,0,77,2,0,8,49,0,2,5,4,0,80,3,0,6,48,0,3,8,4,0,65,2,1,18,54,8,26,66,3,31,66,29,8,64
100937,1193,1192,1192,261,59,858,14,0,1176,261,59,848,8,16,0,0,10,6,0,2,14,5,0,76,1,0,2,53,0,2,14,5,0,76,1,0,2,53,.,.,.,.,.,.,.,.,.,.,0,42,58,0,42,58,.,.,.
101028,1010,1898,1898,367,231,974,326,0,706,236,74,387,9,1192,131,157,587,317,0,1,42,6,0,39,5,6,0,67,0,1,42,6,0,39,5,6,0,67,.,.,.,.,.,.,.,.,.,.,22,53,25,22,53,25,.,.,.
101116,322,604,512,31,132,330,19,92,284,11,54,218,1,228,20,78,112,18,0,1,67,2,0,25,0,4,0,80,0,1,66,2,0,27,0,4,0,82,0,1,76,4,0,16,0,2,0,71,36,29,34,30,32,38,72,16,12
101143,1425,2508,2508,650,186,874,798,0,1038,407,104,493,34,1470,243,82,381,764,1,1,19,6,0,58,5,9,1,50,1,1,19,6,0,58,5,9,1,50,.,.,.,.,.,.,.,.,.,.,35,41,24,35,41,24,.,.,.
101161,4831,8971,8971,1629,638,3982,2722,0,3417,1129,333,1885,70,5554,500,305,2097,2652,1,1,19,4,0,65,4,5,0,58,1,1,19,4,0,65,4,5,0,58,.,.,.,.,.,.,.,.,.,.,22,39,39,22,39,39,.,.,.
101189,2358,3670,2544,315,590,1369,270,1126,1423,249,169,1005,0,1121,66,421,364,270,0,1,39,3,0,50,2,2,1,59,0,1,40,3,0,49,3,2,2,59,1,1,38,3,0,52,1,3,0,61,49,25,26,39,31,30,73,10,17
101240,3138,5601,5601,1212,529,3054,806,0,2412,823,260,1304,25,3189,389,269,1750,781,0,1,18,5,0,70,3,1,1,62,0,1,18,5,0,70,3,1,1,62,.,.,.,.,.,.,.,.,.,.,37,43,20,37,43,20,.,.,.
101277,83,130,130,96,0,34,0,0,130,96,0,34,0,0,0,0,0,0,0,0,2,12,0,86,0,0,0,99,0,0,2,12,0,86,0,0,0,99,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
101286,2603,5088,5088,961,449,2757,921,0,1538,512,156,862,8,3550,449,293,1895,913,0,1,29,4,0,60,3,2,0,67,0,1,29,4,0,60,3,2,0,67,.,.,.,.,.,.,.,.,.,.,25,39,36,25,39,36,.,.,.
101295,3724,6298,6298,1665,921,2858,854,0,2678,1064,356,1138,120,3620,601,565,1720,734,1,1,7,7,0,81,3,1,1,66,1,1,7,7,0,81,3,1,1,66,.,.,.,.,.,.,.,.,.,.,22,50,28,22,50,28,.,.,.
101301,1108,2104,2104,431,128,842,703,0,610,248,52,303,7,1494,183,76,539,696,0,0,67,1,0,28,2,1,1,64,0,0,67,1,0,28,2,1,1,64,.,.,.,.,.,.,.,.,.,.,39,33,28,39,33,28,.,.,.
101365,642,1215,1196,309,289,596,2,19,669,136,144,389,0,527,173,145,207,2,0,1,62,3,0,29,2,3,0,79,0,1,62,3,0,30,2,3,0,79,0,5,74,5,0,16,0,0,0,79,33,29,38,32,30,38,100,0,0
101435,860,995,991,223,42,721,5,4,826,223,33,570,0,165,0,9,151,5,1,1,19,6,0,66,5,3,0,50,1,1,19,6,0,66,5,3,0,50,0,0,50,0,0,25,0,25,0,75,16,18,65,17,19,65,0,0,100
101453,74,150,99,8,26,62,3,51,28,2,8,18,0,71,6,18,44,3,1,1,8,4,0,83,1,1,1,9,1,1,7,4,0,84,1,2,0,11,0,2,10,4,0,80,2,0,2,6,74,12,14,66,15,19,90,6,4
101462,541,1191,1191,174,176,541,300,0,338,91,72,171,4,853,83,104,370,296,1,1,62,6,0,22,5,2,1,60,1,1,62,6,0,22,5,2,1,60,.,.,.,.,.,.,.,.,.,.,16,57,27,16,57,27,.,.,.
101471,419,626,626,378,13,235,0,0,473,301,11,161,0,153,77,2,74,0,0,0,60,1,0,38,0,0,0,23,0,0,60,1,0,38,0,0,0,23,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
101480,7781,10752,8904,1430,972,5006,1496,1848,6576,1348,674,4147,407,2328,82,298,859,1089,0,1,21,0,0,66,0,10,1,60,0,1,20,0,0,65,0,11,1,58,1,1,23,0,0,68,0,5,2,66,28,60,12,20,66,14,69,28,3
101505,5354,12293,12293,2017,1220,5161,3895,0,2939,1083,416,1381,59,9354,934,804,3780,3836,0,2,21,6,0,66,2,1,1,63,0,2,21,6,0,66,2,1,1,63,.,.,.,.,.,.,.,.,.,.,74,13,13,74,13,13,.,.,.
101514,5573,12424,12424,2131,810,5866,3617,0,3103,1071,259,1699,74,9321,1060,551,4167,3543,1,2,14,7,0,67,6,2,1,55,1,2,14,7,0,67,6,2,1,55,.,.,.,.,.,.,.,.,.,.,67,17,16,67,17,16,.,.,.
101569,2159,4239,4239,917,521,2180,621,0,1459,531,169,750,9,2780,386,352,1430,612,0,0,80,3,0,13,3,1,1,67,0,0,80,3,0,13,3,1,1,67,.,.,.,.,.,.,.,.,.,.,63,25,12,63,25,12,.,.,.
101587,4928,8711,2900,291,699,1882,28,5811,2088,279,660,1144,5,812,12,39,738,23,1,0,34,2,0,49,2,11,1,76,1,0,40,2,0,44,2,8,3,67,1,0,31,1,0,52,2,12,1,80,81,13,6,48,35,17,98,2,0
101602,1253,2295,2295,478,136,864,817,0,921,347,67,489,18,1374,131,69,375,799,1,1,20,2,0,70,3,4,0,59,1,1,20,2,0,70,3,4,0,59,.,.,.,.,.,.,.,.,.,.,20,48,32,20,48,32,.,.,.
101648,410,423,423,274,12,137,0,0,422,274,11,137,0,1,0,1,0,0,1,4,22,5,0,62,4,0,0,28,1,4,22,5,0,62,4,0,0,28,.,.,.,.,.,.,.,.,.,.,0,44,56,0,44,56,.,.,.
101675,1377,1649,1649,475,146,1023,5,0,1516,458,137,921,0,133,17,9,102,5,0,0,94,1,0,3,2,0,0,53,0,0,94,1,0,3,2,0,0,53,.,.,.,.,.,.,.,.,.,.,12,8,80,12,8,80,.,.,.
101693,1494,2108,1818,259,125,843,591,290,1162,257,122,783,0,656,2,3,60,591,2,2,14,1,0,57,2,18,4,65,2,2,14,1,0,62,2,14,3,65,0,0,16,1,0,27,1,44,10,68,13,30,57,8,32,60,50,15,35
101709,2313,2960,2476,501,469,1495,11,484,2099,485,449,1165,0,377,16,20,330,11,0,1,18,5,0,66,4,3,4,67,0,1,17,5,0,66,4,2,4,65,0,1,21,1,0,67,2,6,1,78,16,78,6,14,79,7,27,70,3
101736,2010,4416,4416,887,188,1942,1399,0,1238,537,82,603,16,3178,350,106,1339,1383,1,1,10,7,0,76,3,1,1,61,1,1,10,7,0,76,3,1,1,61,.,.,.,.,.,.,.,.,.,.,19,38,43,19,38,43,.,.,.
101879,6793,10003,7149,973,803,4196,1177,2854,5391,947,628,3619,197,1758,26,175,577,980,1,3,13,4,0,71,3,3,3,62,1,3,12,4,0,72,3,3,3,61,1,3,16,3,0,70,2,2,3,64,45,48,8,28,62,10,87,11,2
101897,1667,3469,3469,609,98,1416,1346,0,1115,387,49,622,57,2354,222,49,794,1289,2,1,2,13,0,73,5,3,0,65,2,1,2,13,0,73,5,3,0,65,.,.,.,.,.,.,.,.,.,.,38,47,15,38,47,15,.,.,.
101912,1336,1970,1870,354,59,1427,30,100,1705,344,55,1305,1,165,10,4,122,29,0,0,76,8,0,1,3,4,7,58,0,0,77,7,0,0,3,4,7,58,1,2,57,14,0,16,2,4,4,59,7,4,88,5,3,93,59,34,7
101994,258,441,441,68,86,186,101,0,150,58,33,57,2,291,10,53,129,99,1,0,63,1,0,32,3,0,0,64,1,0,63,1,0,32,3,0,0,64,.,.,.,.,.,.,.,.,.,.,1,52,47,1,52,47,.,.,.
102030,1543,3549,3549,631,261,1648,1009,0,1161,406,114,636,5,2388,225,147,1012,1004,1,2,60,2,0,28,4,2,1,67,1,2,60,2,0,28,4,2,1,67,.,.,.,.,.,.,.,.,.,.,19,42,39,19,42,39,.,.,.
102049,6035,6160,3684,973,111,2583,17,2476,3545,968,92,2484,1,139,5,19,99,16,0,2,9,4,0,81,2,1,1,67,0,1,6,4,0,85,2,0,1,67,0,2,14,3,0,75,2,3,1,67,6,65,29,2,64,34,13,67,21
102067,2828,5769,5769,1084,416,2692,1577,0,1849,693,153,944,59,3920,391,263,1748,1518,0,1,34,3,0,57,3,1,1,59,0,1,34,3,0,57,3,1,1,59,.,.,.,.,.,.,.,.,.,.,59,29,12,59,29,12,.,.,.
102076,1757,4006,4006,627,193,1147,2039,0,1195,487,61,547,100,2811,140,132,600,1939,0,1,8,10,0,75,3,2,0,61,0,1,8,10,0,75,3,2,0,61,.,.,.,.,.,.,.,.,.,.,66,27,7,66,27,7,.,.,.
102094,13879,16311,10147,1679,1070,6945,453,6164,8063,1598,828,5628,9,2084,81,242,1317,444,1,4,21,4,0,62,4,3,2,68,1,3,22,4,0,60,4,3,2,61,1,4,19,4,0,66,3,2,2,81,30,32,38,7,47,46,68,8,24
102234,1211,1322,1133,241,161,728,3,189,1060,241,129,690,0,73,0,32,38,3,1,2,14,7,0,65,2,6,4,58,1,2,15,7,0,65,2,5,4,61,0,3,13,5,1,66,1,10,2,42,14,80,5,5,90,4,68,20,13
102270,824,829,829,149,77,570,33,0,754,144,62,529,19,75,5,15,41,14,0,0,93,1,0,6,0,0,0,57,0,0,93,1,0,6,0,0,0,57,.,.,.,.,.,.,.,.,.,.,6,65,29,6,65,29,.,.,.
102298,1283,1398,1380,288,19,1073,0,18,1328,286,18,1024,0,52,2,1,49,0,0,0,89,4,0,3,2,1,2,52,0,0,89,3,0,3,2,1,2,52,0,0,83,6,0,0,0,0,11,56,18,71,12,17,72,12,100,0,0
102313,1242,2294,2294,528,368,1175,223,0,890,267,156,463,4,1404,261,212,712,219,0,1,69,3,0,22,1,3,0,62,0,1,69,3,0,22,1,3,0,62,.,.,.,.,.,.,.,.,.,.,45,46,10,45,46,10,.,.,.
102368,12686,20866,15353,2207,1916,10583,647,5513,8391,1615,917,5811,48,6962,592,999,4772,599,0,1,32,5,0,49,4,7,2,62,0,1,32,5,0,51,4,4,3,63,0,1,31,6,0,42,3,15,1,62,57,23,20,51,27,22,73,11,15
102377,2919,3058,2537,485,51,2001,0,521,2334,485,51,1798,0,203,0,0,203,0,0,1,83,2,1,2,0,10,0,65,0,0,89,2,1,1,0,7,0,63,1,1,55,5,0,9,0,27,0,75,0,0,100,0,0,100,0,0,100
102395,145,446,171,3,50,101,17,275,35,2,15,18,0,136,1,35,83,17,1,1,23,9,0,58,5,4,0,28,0,1,16,14,0,58,7,4,1,23,1,1,27,5,0,58,4,4,0,31,100,0,0,100,0,0,100,0,0
102429,2155,4595,4595,902,320,1911,1462,0,1157,490,67,591,9,3438,412,253,1320,1453,0,0,16,3,0,77,3,0,0,61,0,0,16,3,0,77,3,0,0,61,.,.,.,.,.,.,.,.,.,.,34,36,30,34,36,30,.,.,.
102553,7851,19093,18227,1405,719,7821,8282,866,5168,863,336,3573,396,13059,542,383,4248,7886,5,5,3,7,2,54,9,13,1,62,5,5,3,7,2,54,9,14,1,62,6,3,3,6,1,66,8,5,3,68,69,20,11,69,20,11,74,17,9
102580,30,43,43,8,3,27,5,0,28,7,3,18,0,15,1,0,9,5,5,5,2,2,0,86,0,0,0,37,5,5,2,2,0,86,0,0,0,37,.,.,.,.,.,.,.,.,.,.,0,12,88,0,12,88,.,.,.
102614,4379,10725,9527,830,716,3742,4239,1198,2648,565,303,1702,78,6879,265,413,2040,4161,15,2,4,8,1,50,8,10,2,64,16,2,4,8,1,48,9,11,1,64,7,3,1,4,0,63,7,7,7,60,57,26,17,57,25,17,55,35,11
102632,1221,3470,3100,195,244,886,1775,370,606,119,112,302,73,2494,76,132,584,1702,12,3,1,7,2,57,9,8,1,65,13,3,1,7,2,56,10,8,1,64,6,2,2,6,1,69,5,6,3,74,59,18,22,59,16,25,58,37,5
102669,390,591,391,32,69,263,27,200,263,26,62,166,9,128,6,7,97,18,26,2,2,8,1,34,12,15,0,74,27,2,2,8,1,30,14,15,0,76,23,2,2,7,1,43,8,16,0,70,82,17,1,77,23,0,92,6,3
102711,123,801,801,665,0,136,0,0,169,146,0,23,0,632,519,0,113,0,19,2,1,2,1,46,7,22,0,22,19,2,1,2,1,46,7,22,0,22,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
102845,7204,4002,4002,2096,66,1840,0,0,4002,2096,66,1840,0,0,0,0,0,0,9,2,5,18,4,31,11,20,0,77,9,2,5,18,4,31,11,20,0,77,.,.,.,.,.,.,.,.,.,.,22,71,6,22,71,6,.,.,.
103501,556,553,553,385,168,0,0,0,553,385,168,0,0,0,0,0,0,0,18,20,10,8,3,30,7,3,0,88,18,20,10,8,3,30,7,3,0,88,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
103741,141,208,208,92,0,116,0,0,163,76,0,87,0,45,16,0,29,0,2,1,10,50,0,27,3,5,0,96,2,1,10,50,0,27,3,5,0,96,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
103893,1085,1734,1734,592,502,640,0,0,1734,592,502,640,0,0,0,0,0,0,5,3,11,49,0,23,3,4,1,83,5,3,11,49,0,23,3,4,1,83,.,.,.,.,.,.,.,.,.,.,11,34,55,11,34,55,.,.,.
103909,594,875,875,171,323,381,0,0,875,171,323,381,0,0,0,0,0,0,9,4,8,39,1,32,3,4,1,87,9,4,8,39,1,32,3,4,1,87,.,.,.,.,.,.,.,.,.,.,0,37,63,0,37,63,.,.,.
103927,410,636,636,183,224,229,0,0,636,183,224,229,0,0,0,0,0,0,2,2,6,64,0,21,2,3,0,86,2,2,6,64,0,21,2,3,0,86,.,.,.,.,.,.,.,.,.,.,0,42,58,0,42,58,.,.,.
103954,48,83,83,15,0,68,0,0,83,15,0,68,0,0,0,0,0,0,1,1,13,45,0,31,8,0,0,94,1,1,13,45,0,31,8,0,0,94,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
103963,610,655,655,452,0,203,0,0,650,452,0,198,0,5,0,0,5,0,12,1,11,35,0,34,5,2,0,10,12,1,11,35,0,34,5,2,0,10,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
104090,1551,2008,1954,436,310,1208,0,54,1954,436,310,1208,0,0,0,0,0,0,7,4,14,30,0,27,3,14,0,86,7,4,14,30,0,27,2,14,0,86,4,2,9,31,0,37,9,7,0,72,32,68,0,31,69,0,100,0,0
104151,73871,82869,68985,13295,6674,47935,1081,13884,60598,12971,5356,42164,107,8387,324,1318,5771,974,1,7,4,24,0,45,4,3,11,49,1,8,4,26,0,46,5,2,7,50,1,5,3,12,0,40,3,3,32,49,9,80,11,9,87,4,8,47,45
104160,4274,9712,9712,2182,294,5899,1337,0,1987,666,67,1126,128,7725,1516,227,4773,1209,1,1,2,71,0,16,2,5,3,61,1,1,2,71,0,16,2,5,3,61,.,.,.,.,.,.,.,.,.,.,41,40,19,41,40,19,.,.,.
104179,44717,52329,40361,7571,3779,27240,1771,11968,30238,5533,2274,22398,33,10123,2038,1505,4842,1738,1,5,4,26,0,47,5,5,6,55,1,5,4,28,0,48,5,4,4,55,2,7,4,18,0,47,4,7,12,55,20,55,25,17,66,17,31,20,49
104346,2718,6317,6317,1716,655,3883,63,0,1275,413,165,697,0,5042,1303,490,3186,63,4,2,6,37,0,39,5,5,1,65,4,2,6,37,0,39,5,5,1,65,.,.,.,.,.,.,.,.,.,.,24,56,21,24,56,21,.,.,.
104391,52,87,87,79,0,8,0,0,87,79,0,8,0,0,0,0,0,0,5,1,2,21,0,60,0,11,0,94,5,1,2,21,0,60,0,11,0,94,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
104425,6626,9841,9841,2961,2425,3772,683,0,6031,2516,2042,1444,29,3810,445,383,2328,654,0,3,8,31,1,51,4,1,1,37,0,3,8,31,1,51,4,1,1,37,.,.,.,.,.,.,.,.,.,.,26,16,58,26,16,58,.,.,.
104443,46,79,79,36,0,43,0,0,50,25,0,25,0,29,11,0,18,0,4,1,23,23,0,39,0,10,0,94,4,1,23,23,0,39,0,10,0,94,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
104568,601,601,601,334,0,267,0,0,325,183,0,142,0,276,151,0,125,0,2,1,9,37,0,40,5,7,0,98,2,1,9,37,0,40,5,7,0,98,.,.,.,.,.,.,.,.,.,.,0,100,0,0,100,0,.,.,.
104577,2568,6080,6080,641,201,3275,1963,0,1486,297,106,976,107,4594,344,95,2299,1856,6,1,2,21,0,64,2,3,0,62,6,1,2,21,0,64,2,3,0,62,.,.,.,.,.,.,.,.,.,.,14,27,60,14,27,60,.,.,.
104586,2871,3207,3154,791,166,2181,16,53,2996,785,154,2056,1,158,6,12,125,15,0,6,2,14,0,60,6,2,9,26,0,6,2,14,0,61,6,2,9,26,0,6,2,2,0,45,9,4,32,34,3,43,53,3,44,53,4,32,64
104665,17,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,7,33,0,53,0,7,0,47,.,.,.,.,.,.,.,.,.,.,0,0,7,33,0,53,0,7,0,47,13,0,87,.,.,.,13,0,87
104708,7765,20920,20920,2563,2372,9548,6437,0,6125,1496,716,2958,955,14795,1067,1656,6590,5482,1,5,6,39,0,42,4,3,1,58,1,5,6,39,0,42,4,3,1,58,.,.,.,.,.,.,.,.,.,.,67,17,16,67,17,16,.,.,.
104717,93809,158889,96966,10613,29729,51846,4778,61923,20938,6760,1932,12231,15,76028,3853,27797,39615,4763,1,4,21,20,1,45,4,5,1,74,1,3,17,22,1,46,4,5,1,72,1,4,26,16,0,44,3,5,1,77,85,12,3,80,17,4,93,6,1
105145,2660,7371,7371,719,1821,2781,2050,0,1508,318,391,569,230,5863,401,1430,2212,1820,3,4,11,45,0,30,4,2,0,64,3,4,11,45,0,30,4,2,0,64,.,.,.,.,.,.,.,.,.,.,57,23,20,57,23,20,.,.,.
105154,9318,25089,25089,2684,3733,10880,7792,0,7245,1635,1081,3353,1176,17844,1049,2652,7527,6616,3,4,6,31,0,47,5,3,1,56,3,4,6,31,0,47,5,3,1,56,.,.,.,.,.,.,.,.,.,.,79,10,12,79,10,12,.,.,.
105206,2048,4782,4782,558,240,2301,1683,0,772,116,42,380,234,4010,442,198,1921,1449,2,2,1,25,1,63,4,1,1,70,2,2,1,25,1,63,4,1,1,70,.,.,.,.,.,.,.,.,.,.,26,37,37,26,37,37,.,.,.
105215,1015,1262,1262,513,281,468,0,0,1262,513,281,468,0,0,0,0,0,0,2,1,4,13,0,62,13,5,0,6,2,1,4,13,0,62,13,5,0,6,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
105297,973,1872,1872,156,90,1447,179,0,1080,115,57,892,16,792,41,33,555,163,98,0,0,0,0,1,0,0,0,73,98,0,0,0,0,1,0,0,0,73,.,.,.,.,.,.,.,.,.,.,93,7,0,93,7,0,.,.,.
105330,29268,33349,28044,5413,3121,18799,711,5305,22535,4730,2109,15402,294,5509,683,1012,3397,417,3,2,3,25,0,54,5,4,2,64,3,2,3,26,0,53,5,5,2,63,4,2,5,19,0,59,4,3,4,70,25,51,25,20,56,23,46,22,32
105349,1421,4622,4622,286,131,1285,2920,0,542,75,31,205,231,4080,211,100,1080,2689,23,1,2,14,0,56,2,1,0,65,23,1,2,14,0,56,2,1,0,65,.,.,.,.,.,.,.,.,.,.,65,10,25,65,10,25,.,.,.
105367,822,1382,550,3,153,380,14,832,265,2,107,156,0,285,1,46,224,14,1,35,6,17,0,36,0,5,0,63,1,2,5,30,1,53,0,7,0,74,1,56,6,9,0,25,0,4,0,57,31,69,0,47,53,0,21,79,0
105428,5135,14469,14469,1277,2480,6271,4441,0,3517,650,671,1566,630,10952,627,1809,4705,3811,2,3,9,53,0,26,3,2,1,66,2,3,9,53,0,26,3,2,1,66,.,.,.,.,.,.,.,.,.,.,75,18,7,75,18,7,.,.,.
105525,11326,32802,32802,3493,1332,16755,11222,0,6180,1247,429,4061,443,26622,2246,903,12694,10779,2,3,5,45,0,38,2,4,1,59,2,3,5,45,0,38,2,4,1,59,.,.,.,.,.,.,.,.,.,.,71,12,17,71,12,17,.,.,.
105534,3161,3871,3871,491,1645,1735,0,0,3871,491,1645,1735,0,0,0,0,0,0,2,5,8,45,1,34,5,1,0,83,2,5,8,45,1,34,5,1,0,83,.,.,.,.,.,.,.,.,.,.,56,4,40,56,4,40,.,.,.
105543,1040,1364,1364,357,438,569,0,0,1364,357,438,569,0,0,0,0,0,0,18,1,3,54,0,18,5,1,0,84,18,1,3,54,0,18,5,1,0,84,.,.,.,.,.,.,.,.,.,.,3,0,97,3,0,97,.,.,.
105589,925,1330,558,63,100,347,48,772,381,61,74,244,2,177,2,26,103,46,1,2,2,2,0,64,3,25,0,72,2,1,1,3,0,64,3,26,1,65,1,2,2,2,0,65,3,24,0,78,76,24,1,44,56,0,99,0,1
105659,1023,1591,1591,856,0,735,0,0,1591,856,0,735,0,0,0,0,0,0,14,1,10,31,1,36,3,4,0,6,14,1,10,31,1,36,3,4,0,6,.,.,.,.,.,.,.,.,.,.,0,5,95,0,5,95,.,.,.
105668,9681,33734,33734,909,3181,4548,25096,0,5994,440,956,927,3671,27740,469,2225,3621,21425,2,4,7,27,0,51,5,4,1,61,2,4,7,27,0,51,5,4,1,61,.,.,.,.,.,.,.,.,.,.,63,5,32,63,5,32,.,.,.
105677,40,45,45,28,0,17,0,0,45,28,0,17,0,0,0,0,0,0,0,2,0,2,0,96,0,0,0,0,0,2,0,2,0,96,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
105747,4100,11706,11706,1068,2238,3748,4652,0,2829,608,602,1142,477,8877,460,1636,2606,4175,3,4,4,24,0,56,5,3,1,59,3,4,4,24,0,56,5,3,1,59,.,.,.,.,.,.,.,.,.,.,74,11,15,74,11,15,.,.,.
105792,1880,5205,5205,545,782,1766,2112,0,1401,360,218,550,273,3804,185,564,1216,1839,3,3,14,55,0,19,4,2,1,62,3,3,14,55,0,19,4,2,1,62,.,.,.,.,.,.,.,.,.,.,83,9,8,83,9,8,.,.,.
105899,831,1076,1076,275,198,540,63,0,803,250,139,411,3,273,25,59,129,60,1,2,13,27,0,45,6,3,3,40,1,2,13,27,0,45,6,3,3,40,.,.,.,.,.,.,.,.,.,.,5,83,13,5,83,13,.,.,.
106041,2185,2790,2790,1298,445,1047,0,0,2790,1298,445,1047,0,0,0,0,0,0,4,2,3,21,2,30,9,30,0,4,4,2,3,21,2,30,9,30,0,4,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
106111,59,109,109,37,0,72,0,0,71,22,0,49,0,38,15,0,23,0,1,0,8,8,0,0,0,83,0,100,1,0,8,8,0,0,0,83,0,100,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
106148,3281,8393,8393,1468,377,3334,3214,0,1673,645,110,835,83,6720,823,267,2499,3131,2,1,1,19,0,61,3,14,0,60,2,1,1,19,0,61,3,14,0,60,.,.,.,.,.,.,.,.,.,.,57,15,28,57,15,28,.,.,.
106245,6655,10955,8064,559,1259,4973,1273,2891,3978,528,669,2647,134,4086,31,590,2326,1139,1,2,24,3,0,54,10,1,5,64,1,2,25,3,0,53,13,1,3,65,1,2,20,2,0,58,4,2,11,62,77,8,14,79,9,12,73,6,21
106263,2742,3241,976,0,552,396,28,2265,652,0,361,289,2,324,0,191,107,26,0,7,10,6,0,68,3,3,3,70,0,5,12,10,0,65,3,5,0,83,1,8,10,5,0,69,3,2,4,65,26,53,21,50,47,4,15,56,28
106306,389,604,604,52,18,532,2,0,454,43,14,397,0,150,9,4,135,2,0,0,69,5,3,14,2,5,1,20,0,0,69,5,3,14,2,5,1,20,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
106315,126,240,240,9,0,231,0,0,238,9,0,229,0,2,0,0,2,0,0,0,91,4,0,5,0,0,0,95,0,0,91,4,0,5,0,0,0,95,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
106324,28,74,74,72,0,2,0,0,51,50,0,1,0,23,22,0,1,0,1,3,7,7,0,78,3,1,0,97,1,3,7,7,0,78,3,1,0,97,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
