unitid,institution_name,year,enrollment_headcount_total,enrollment_headcount_undergrad,enrollment_headcount_graduate,pct_international_all,pct_international_undergraduate,pct_international_graduate,staff_headcount_total,staff_headcount_instructional,revenue_total,expenses_total,loss_amount,net_tuition_per_fte,state_funding,federal_grants_contracts_pell_adjusted,endowment_value,discount_rate,liquidity,leverage,cut_records,cut_types,latest_cut_announcement_date,financial_warning_count
131159,American University,2023,16240,9160,7080,0.10535714285714286,0.10294759825327512,0.10847457627118644,3728,1662,763290000,763290000,0,33004.63644392111,0,23413000,961160000,0.2932884608789722,0.4951350834051088,0.36777554476497193,1,staff_layoff,2025-05-01,2
131159,American University,2024,15188,8861,6327,0.10080326573610746,0.08385058119851033,0.12454559822980876,3487,1443,797306000,797306000,0,36044.96402877698,0,24366000,1032022000,0.2987861958044594,0.5051017633791431,0.3497739267913999,1,staff_layoff,2025-05-01,2
231420,Averett University,2014,950,913,37,0.07052631578947369,0.07228915662650602,0.02702702702702703,308,89,23874709,23874709,0,15771.529824561405,0,215552,23649118,0.4102053263404516,0.1964292103670895,0.3495137232106453,1,program_suspension,2025-07-02,0
231420,Averett University,2015,914,892,22,0.05032822757111598,0.0515695067264574,0,280,84,26688379,26688379,0,14841.37455410226,0,206764,23234693,0.43605575492543613,0.22960340974871615,0.31301776379990526,1,program_suspension,2025-07-02,0
231420,Averett University,2016,904,883,21,0.05088495575221239,0.05209513023782559,0,224,80,26320105,26320105,0,16095.111111111111,0,243960,21848104,0.4404484172950021,0.2740014309170341,0.30504970991550995,1,program_suspension,2025-07-02,0
231420,Averett University,2017,906,906,,0.04966887417218543,0.04966887417218543,,246,85,25919889,25919889,0,16615.82151589242,0,247843,23522151,0.4588795763559982,0.26939292889102173,0.3056938133352153,1,program_suspension,2025-07-02,0
231420,Averett University,2018,968,968,,0.05888429752066115,0.05888429752066115,,268,99,30735514,30735514,0,15928.706270627064,0,256809,25779860,0.4934598616970165,0.2528425668590812,0.2915279140252363,1,program_suspension,2025-07-02,0
231420,Averett University,2019,999,999,,0.05805805805805806,0.05805805805805806,,253,89,26456363,26456363,0,15817.81779661017,0,295608,26186388,0.50967410966459,0.23682660502156497,0.3296296205622418,1,program_suspension,2025-07-02,0
231420,Averett University,2020,932,932,,0.06652360515021459,0.06652360515021459,,258,85,29227627,29227627,0,,0,3483131,26102289,0.5168006239520101,0.2587385961059886,0.30557168787259514,1,program_suspension,2025-07-02,0
231420,Averett University,2021,1613,1256,357,0.04463732176069435,0.05732484076433121,0,346,158,39610085,39610085,0,12657.61988716502,0,2550670,31001823,0.505939388801849,0.2207242535362567,0.29260397581356895,1,program_suspension,2025-07-02,0
231420,Averett University,2022,1536,1263,273,0.06770833333333333,0.08155186064924783,0.00366300366300366,369,162,30531760,30531760,0,15472.168614357262,0,3976693,26654790,0.4778209484453927,0.17963094286973075,0.35431113932706954,1,program_suspension,2025-07-02,0
231420,Averett University,2023,1656,1331,325,0.05978260869565217,0.07362885048835462,0.00307692307692307,360,150,36617145,36617145,0,15615.308288148724,0,2949359,24708420,0.495928380314448,0.12813519098240536,0.4306938301075177,1,program_suspension,2025-07-02,0
231420,Averett University,2024,1762,1429,333,0.06356413166855845,0.07837648705388384,0,361,156,32561742,32561742,0,12946.239296636086,0,0,5687825,0.5598914496389288,-0.00374758034735474,0.473957756280157,1,program_suspension,2025-07-02,0
206817,Bacone College,2014,1114,1114,,0,0,,222,104,14667260,14667260,0,2242.6434977578474,0,0,7274319,0.7574061922336288,0.29936280346526173,0.3122279926242394,1,institution_closure,2025-05-15,2
206817,Bacone College,2015,1102,1102,,0,0,,196,93,13640223,13640223,0,5376.9481397970685,0,3601846,7282627,0.5291309530191589,0.3052808411891707,0.3638947141187683,1,institution_closure,2025-05-15,2
206817,Bacone College,2016,1020,1020,,0.01764705882352941,0.01764705882352941,,206,97,12769613,12769613,0,7076.852272727273,0,250896,7294201,0.45396275596651176,0.2725754554573035,0.37700635838522,1,institution_closure,2025-05-15,2
206817,Bacone College,2017,1094,1094,,0.02742230347349177,0.02742230347349177,,272,137,12155844,12155844,0,6871.860956618465,0,269969,7305205,0.491510807591859,0.20421373273122723,0.4372579145943256,1,institution_closure,2025-05-15,2
206817,Bacone College,2018,1048,1048,,0.02099236641221374,0.02099236641221374,,104,49,13273352,13273352,0,8679.61138014528,0,386583,7317190,0.45350988549513,0.271346549667042,0.2837692969302249,1,institution_closure,2025-05-15,2
206817,Bacone College,2019,322,322,,0,0,,81,30,2807234,2807234,0,7679.402597402597,0,252961,7321863,0.4857080732556555,-0.193677670370423,0.2511796251163383,1,institution_closure,2025-05-15,2
206817,Bacone College,2020,314,314,,0.0286624203821656,0.0286624203821656,,83,32,7420615,7420615,0,,0,487664,7325513,0.32530249843860015,0.02952563853925905,0.23461689498546576,1,institution_closure,2025-05-15,2
206817,Bacone College,2021,374,374,,0.0427807486631016,0.0427807486631016,,81,33,6037566,6037566,0,7537.276223776224,0,402796,7329163,0.46498700106101126,-0.00366123391510285,0.24377166750286516,1,institution_closure,2025-05-15,2
206817,Bacone College,2022,302,302,,0.03311258278145695,0.03311258278145695,,81,33,4912289,4912289,0,7188.073770491803,0,327723,5956616,0.4887118929457639,-0.3163765795074023,0.4919986411197503,1,institution_closure,2025-05-15,2
206817,Bacone College,2023,289,289,,0.04498269896193772,0.04498269896193772,,26,13,3722497,3722497,0,12579.777777777776,0,0,4934996,0.37105844055169585,-0.6826400273027724,0.8698709548310494,1,institution_closure,2025-05-15,2
206817,Bacone College,2024,,,,,,,,,,,,,,,,,,,1,institution_closure,2025-05-15,2
150136,Ball State University,2014,23275,17690,5585,0.04476906552094522,0.03663086489542114,0.07054610564010744,3415,1211,437939684,,,7527.753855581656,130761436,6158114,192109587,0.33850727321038676,0.2659202603237173,0.27033938515482786,1,program_suspension,2025-07-05,2
150136,Ball State University,2015,23130,17514,5616,0.03627323821876351,0.02734954893228274,0.0641025641025641,3475,1245,461105855,,,8407.819121447028,126551878,5561137,192694012,0.28359521134012383,0.24169262493829105,0.2841266574664519,1,program_suspension,2025-07-05,2
150136,Ball State University,2016,25500,18583,6917,0.0268235294117647,0.01657428832804176,0.05435882608067081,3522,1268,480521625,489964801,-9443176,8498.92909484983,131127492,5561193,182374599,0.2927015040957388,0.2358833822477804,0.3140968047000834,1,program_suspension,2025-07-05,2
150136,Ball State University,2017,26419,19231,7188,0.02240811537151292,0.01596380843429878,0.03964941569282137,3566,1291,485414622,502737586,-17322964,8485.078687367679,133280121,4654999,201810618,0.3053246932993727,0.21530712176906017,0.34836563610390625,1,program_suspension,2025-07-05,2
150136,Ball State University,2018,27369,19236,8133,0.01936497497168329,0.01382823871906841,0.03246034673552195,3580,1299,500747750,493207114,7540636,7723.637635379061,137440491,4875443,214258093,0.3247918303081904,0.1694890922100167,0.40572893396835347,1,program_suspension,2025-07-05,2
150136,Ball State University,2019,25199,17845,7354,0.01869121790547244,0.01238442140655645,0.03399510470492249,3686,1304,521092934,522482902,-1389968,8711.97532929124,139654165,4812343,213071000,0.3315386554711596,0.16384784840524974,0.4332806529000726,1,program_suspension,2025-07-05,2
150136,Ball State University,2020,25247,17636,7611,0.01877450786232027,0.01292810161034248,0.03232163973196689,3611,1313,518565542,494245778,24319764,,139536253,3835659,213227079,0.3264214539997542,0.17742902832247515,0.4120612865405393,1,program_suspension,2025-07-05,2
150136,Ball State University,2021,24441,16977,7464,0.01419745509594533,0.00665606408670554,0.03135048231511254,3478,1295,485149725,478183838,6965887,8436.42993782879,131598222,4714696,269331572,0.33988792256008465,0.1647983103639652,0.4192250486945214,1,program_suspension,2025-07-05,2
150136,Ball State University,2022,22903,15939,6964,0.01493254158843819,0.0062111801242236,0.03489373923032739,3237,1227,473694363,492395410,-18701047,8638.778635924811,141532639,7789460,240976230,0.337313992227593,0.1803228325351684,0.34600796175812015,1,program_suspension,2025-07-05,2
