cut_id,program_name,cut_type,announcement_date,institution_name_collegecuts,institution_city,institution_state_abbr,institution_state_full,institution_control,institution_unitid,matched_unitid,match_method,source_url,source_publication
77a2bbef-6cf0-4726-8194-efa7e9edc92f,"Russian, Music and Sonic Arts, Gerontology",program_suspension,2025-06-12,Portland Community College,Portland,OR,Oregon,Public,209746,209746,collegecuts_institutions.unitid,https://www.koin.com/news/portland/pcc-plans-to-cut-music-and-sonic-arts-program-despite-community-support/,Oregon Live (The Oregonian)
46d51cc7-44a8-4a3c-bb25-e500c31e4040,Writing Program,staff_layoff,2024-04-01,Rutgers University,New Brunswick,NJ,New Jersey,Public,,,unmatched,https://rutgersaaup.org/action-requested-help-us-protest-the-cuts-in-the-writing-program/,Rutgers AAUP-AFT
710e4489-3193-4e4c-ad73-e1ac0e605aa4,Community Writing Center,department_closure,2025-09-03,Salt Lake Community College,Salt Lake City,UT,Utah,Public,,,unmatched,https://www.kuer.org/arts-culture-entertainment/2025-09-03/after-nearly-25-years-slcc-community-writing-center-will-close-due-to-budget-cuts,KUER
55d8f944-c8e3-4d04-8b51-22ef3e980afd,Administrative and Support Staff,staff_layoff,2025-07-22,Sullivan University,Louisville,KY,Kentucky,Private for-profit,,,unmatched,https://www.courier-journal.com/story/news/education/2025/07/22/sullivan-university-in-louisville-announces-layoffs-selling-residence-hall/84485854007/#$0,Courier Journal
2f2769df-3876-4fbf-9383-dbe8797de526,Institution closure,institution_closure,2024-02-15,Texas A&M University at Qatar,Doha,Non-US,Non-US,Public,,,unmatched,https://www.insidehighered.com/news/global/us-colleges-world/2024/02/16/how-texas-ams-qatar-campus-suddenly-collapsed,Inside Higher Ed
4ac1fa9e-da78-46fe-a949-325890a5da7f,Institution closure,institution_closure,2025-07-29,The King's College,New York City,NY,New York,Private non-profit,,,unmatched,https://www.campusreform.org/article/kings-college-announces-permanent-closure-imminent-dissolution/28348,Campus Reform
0ce56c5b-d657-429b-93f4-3fe1a5f42190,Institution closure,institution_closure,2024-06-20,Union Institute & University,Cincinnati,OH,Ohio,Private non-profit,206279,206279,collegecuts_institutions.unitid,https://www.highereddive.com/news/union-institute-university-to-close-financial-woes-accreditation/719433/,Higher Ed Dive
f212185a-a3db-4e6d-8571-9e7c9da9a77b,Institution closure,institution_closure,2024-02-29,University of Antelope Valley,Lancaster,CA,California,Private for-profit,442930,442930,collegecuts_institutions.unitid,https://www.insidehighered.com/news/quick-takes/2024/03/05/university-antelope-valley-closes-campus-faces-shutdown,Inside Higher Ed
a88eab36-c17c-4906-a092-382c51b77d21,SNAP-Ed Nutrition Program,staff_layoff,2025-07-16,University of Minnesota Extension,Marshall,MN,Minnesota,Public,,,unmatched,https://www.marshallindependent.com/news/local-news/2025/07/federal-cuts-eliminate-extension-nutrition-program/,Marshall Independent
50ce8fb1-d12d-4e60-84ef-ac7882a97786,Athletic Department,staff_layoff,2025-05-21,University of Oklahoma,Norman,OK,Oklahoma,Public,,,unmatched,https://stormininnorman.com/oklahoma-sooners-already-pays-price-for-athlete-revenue-sharing-with-early-layoffs-ncaa-nil-joe-castiglione,Stormin In Norman
