matched_unitid,institution_name_collegecuts,institution_state_full,in_financial_tracker,match_method,institution_control,institution_city,institution_url,tracker_institution_name,tracker_control_label,cut_records,cut_types,latest_cut_announcement_date,first_cut_announcement_date,total_students_affected_known,total_faculty_affected_known,staff_layoff_records,program_suspension_records,department_closure_records,campus_closure_records,institution_closure_records,teach_out_records,financial_warning_count,tracker_enrollment_pct_change_5yr,tracker_enrollment_decline_last_3_of_5,tracker_revenue_pct_change_5yr,tracker_revenue_decreased_5yr,tracker_revenue_10pct_drop_last_3_of_5,tracker_ended_2024_at_loss,tracker_losses_last_3_of_5,tracker_loss_years_last_10,tracker_net_tuition_per_fte_change_5yr,tracker_staff_total_headcount_pct_change_5yr,tracker_pct_international_all,tracker_international_enrollment_pct_change_5yr,tracker_federal_grants_contracts_pell_adjusted_pct_core_revenue,tracker_state_funding_pct_core_revenue,tracker_tuition_dependence_pct,tracker_endowment_value,tracker_endowment_pct_change_5yr,tracker_discount_pct_change_5yr,tracker_liquidity_percentile_private_nfp,tracker_leverage_percentile_private_nfp
213987,Mercyhurst University,Pennsylvania,TRUE,collegecuts_institutions.unitid,Private non-profit,Erie,https://www.mercyhurst.edu,Mercyhurst University,Private not-for-profit,1,staff_layoff,2025-06-12,2025-06-12,,5,1,0,0,0,0,0,5,3.6713286713286712,Yes,-27.28176293772608,Yes,Yes,Yes,Yes,6,-16.643552354835606,6.90846286701209,0.05598650927487352,-19.806763285024154,0.2504392101061643,0,43.00442883376135,32838023,-1.0854001331904315,,,
230959,Middlebury College,Vermont,TRUE,normalized_name_state_fallback,Private non-profit,Middlebury,https://www.middlebury.edu,Middlebury College,Private not-for-profit,1,institution_closure,2025-08-28,2025-08-28,,,0,0,0,0,1,0,5,-0.5262050094716901,Yes,-13.12208184680436,Yes,No,Yes,Yes,4,-9.634556071476446,4.624277456647398,0.11701227253491324,12.627291242362526,0.03773910491963707,0,58.067949577873726,1597984000,12.4870510428896,,,
239512,Northland College,Wisconsin,TRUE,collegecuts_institutions.unitid,Private non-profit,Ashland,https://www.northland.edu,Northland College,Private not-for-profit,1,institution_closure,2025-02-19,2025-02-19,300,29,0,0,0,0,1,0,5,-18.638573743922205,Yes,-3.8976053804788786,Yes,No,Yes,Yes,7,-23.57967493912336,-2.4390243902439024,0.05976095617529881,3.4482758620689653,0.08853946323450988,0,32.75031990489069,6415604,-27.28752049817238,,,
227331,Our Lady of the Lake University,Texas,TRUE,normalized_name_state_fallback,Private non-profit,San Antonio,www.ollusa.edu,Our Lady of the Lake University,Private not-for-profit,1,department_closure,2025-09-04,2025-09-04,200,19,0,0,1,0,0,0,5,-35.795604977495366,Yes,-34.08316577462575,Yes,No,Yes,Yes,4,-26.87295509784406,-29.96845425867508,0.01938144329896907,56.666666666666664,0.08660908126892963,0,52.56071505337672,50673849,36.37021262042225,,,
186283,Rider University,New Jersey,TRUE,normalized_name_state_fallback,Private non-profit,Lawrenceville,https://www.rider.edu,Rider University,Private not-for-profit,1,staff_layoff,2025-11-10,2025-11-10,,40,1,0,0,0,0,0,5,-9.03725562523054,Yes,-34.88879682981189,Yes,No,Yes,Yes,7,-28.252199688288933,-34.55149501661129,0.040551500405515,-2.912621359223301,0.01685962984872813,0,56.09674715365773,66827000,-18.213297849549978,,,
194958,Roberts Wesleyan University,New York,TRUE,collegecuts_institutions.unitid,Private non-profit,Rochester,https://www.roberts.edu,Roberts Wesleyan University,Private not-for-profit,1,department_closure,2025-05-29,2025-05-29,,62,0,0,1,0,0,0,5,-4.144851657940663,Yes,-15.858899675785704,Yes,No,Yes,Yes,10,-22.87993329965811,-15.337423312883436,0.02913063268092854,-17.94871794871795,0,0,63.544531705170634,34775443,-0.6916758671884105,,,
172264,Siena Heights University,Michigan,TRUE,collegecuts_institutions.unitid,Private non-profit,Adrian,https://www.sienaheights.edu,Siena Heights University,Private not-for-profit,1,institution_closure,2025-06-30,2025-06-30,2300,,0,0,0,0,1,0,5,-26.566164154103856,Yes,-26.00350753374061,Yes,No,Yes,Yes,3,-40.8096142003856,-20.14218009478673,0.03239051094890511,61.36363636363637,0.07200250049167493,0,35.65602107475639,14838766,-18.845154968516862,,,
174783,St. Cloud State University,Minnesota,TRUE,collegecuts_institutions.unitid,Public,St. Cloud,https://www.stcloudstate.edu,Saint Cloud State University,Public,1,department_closure,2024-05-13,2024-05-13,,,0,0,1,0,0,0,5,-22.712238147739804,Yes,-28.4124446816455,Yes,No,Yes,Yes,7,3.2092153995338464,-22.63436790310371,0.12276113488666984,0.7807417046193884,0,0.01112203396364617,27.763987544464268,47158000,22.772208609260407,,,
168005,Suffolk University,Massachusetts,TRUE,normalized_name_state_fallback,Private non-profit,Boston,suffolk.edu,Suffolk University,Private not-for-profit,1,staff_layoff,2025-06-01,2025-06-01,,35,1,0,0,0,0,0,5,-9.152457372116348,Yes,-3.05397064154782,Yes,No,Yes,Yes,5,-7.808657749249835,-3.6269430051813463,0.1480817002484129,-30.684754521963825,0.01508815691286233,0,64.65603297158506,252033632,-19.85649108948415,,,
228705,Texas A&M University–Kingsville,Texas,TRUE,normalized_name_state_fallback,Public,Kingsville,www.tamuk.edu,Texas A&M University-Kingsville,Public,1,staff_layoff,2025-07-18,2025-07-18,,34,1,0,0,0,0,0,5,-23.51495288816059,Yes,-3.824645347362115,Yes,No,Yes,Yes,4,-18.156085713980712,9.393346379647747,0.0997589716122121,-36.7034834324554,0.01797154897269116,0.09228695986552012,18.31871579469558,164847431,402.9070175074633,,,
