UNITID,GRRTTOT,GRRTM,GRRTW,GRRTAN,GRRTAP,GRRTAS,GRRTNH,GRRTBK,GRRTHS,GRRTWH,GRRT2M,GRRTUN,GRRTNR,TRRTTOT,GBA4RTT,GBA5RTT,GBA6RTT,GBA6RTM,GBA6RTW,GBA6RTAN,GBA6RTAP,GBA6RTAS,GBA6RTNH,GBA6RTBK,GBA6RTHS,GBA6RTWH,GBA6RT2M,GBA6RTUN,GBA6RTNR,GBATRRT,PGGRRTT,PGBA6RT,SSGRRTT,SSBA6RT,NRGRRTT,NRBA6RT,BAGR100,BAGR150,BAGR200,L4GR100,L4GR150,L4GR200        
100654,27,19,32,50,0,0,0,27,47,24,22,0,100,34,13,23,27,19,32,50,0,0,0,27,47,24,22,0,100,34,25,25,39,39,29,29,11,29,32,.,.,.
100663,64,59,67,55,82,82,100,57,53,66,66,67,63,15,44,61,64,59,67,55,82,82,100,57,51,65,66,60,63,15,56,55,60,60,73,73,38,61,64,.,.,.
100690,50,0,100,.,0,0,.,.,.,100,.,.,.,50,50,50,50,0,100,.,0,0,.,.,.,100,.,.,.,50,.,.,50,50,.,.,25,25,25,.,.,.
100706,63,59,69,33,69,69,.,48,55,64,59,74,68,21,39,60,63,59,69,33,69,69,.,48,55,64,59,74,68,21,50,50,49,49,70,70,31,57,61,.,.,.
100724,28,19,33,50,40,40,.,27,25,38,20,50,67,35,14,24,28,19,33,50,40,40,.,27,25,38,20,50,67,35,26,26,25,25,34,34,15,32,35,.,.,.
100751,73,70,74,58,71,72,57,60,67,75,67,68,73,19,55,70,73,70,74,58,71,72,57,60,67,75,67,68,73,19,59,59,68,68,77,77,52,72,73,.,.,.
100760,22,24,20,50,40,40,.,13,13,24,40,0,0,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,.,0,.,37,.,.,.,.,14,22,27
100830,36,27,41,14,40,40,.,37,38,37,24,.,8,31,15,31,36,27,41,14,40,40,.,37,38,37,24,.,8,31,35,35,31,31,40,40,10,30,34,.,.,.
100858,81,77,84,57,82,81,100,69,77,82,74,100,70,13,56,77,81,77,84,57,82,81,100,69,77,82,74,100,70,13,71,71,76,76,83,83,51,79,80,.,.,.
100937,65,63,66,.,71,71,.,44,67,68,50,.,.,27,59,64,65,63,66,.,71,71,.,44,67,68,50,.,.,27,60,60,70,70,65,65,65,71,71,.,.,.
101028,26,29,24,0,0,0,.,17,43,32,25,0,.,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,.,22,.,45,.,.,.,.,9,16,17
101116,9,13,7,.,0,.,0,8,.,14,0,.,.,.,7,7,7,17,0,.,0,.,0,11,.,0,0,.,.,.,6,8,0,.,33,0,12,18,18,.,.,.
101143,29,31,27,0,.,.,.,17,24,36,14,50,.,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,.,.,.,37,.,.,.,.,18,30,35
101161,22,22,23,19,47,43,100,19,29,23,29,33,0,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,.,.,.,25,.,.,.,.,18,25,27
101189,33,22,46,.,0,0,0,14,25,43,0,0,64,40,21,31,33,22,46,.,0,0,0,15,25,41,0,0,64,39,22,22,41,41,51,47,16,27,28,.,.,.
101240,25,27,24,0,100,100,100,15,27,29,30,11,47,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,.,.,.,30,.,.,.,.,19,27,33
101277,59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,.,67,.,69,.,.,.,.,13,73,73
101286,29,30,29,33,50,50,50,22,24,33,23,.,100,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,.,.,.,37,.,.,.,.,15,26,33
101295,45,43,47,63,55,55,50,28,40,47,50,22,67,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,.,43,.,58,.,.,.,.,32,45,47
101301,37,40,32,.,.,.,.,39,25,39,0,14,.,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,.,.,.,50,.,.,.,.,22,35,40
101365,30,50,25,.,.,.,.,25,.,50,0,0,.,.,0,0,0,0,0,.,.,.,.,.,.,0,.,.,.,.,33,0,0,.,.,.,0,0,0,.,.,.
101435,50,42,63,.,100,100,.,51,64,48,46,67,.,.,38,48,50,42,63,.,100,100,.,51,64,48,46,67,.,.,46,46,45,45,60,60,33,42,42,.,.,.
101453,0,0,.,.,.,.,.,.,.,0,.,.,.,100,0,0,0,0,.,.,.,.,.,.,.,0,.,.,.,100,.,.,.,.,0,0,0,0,0,.,.,.
101462,12,8,16,0,.,.,.,8,25,21,13,0,.,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,17,.,.,.,.,9,14,14
101471,10,11,5,0,0,0,.,7,50,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,11,.,.,.,.,8,22,22
101480,52,43,60,29,57,67,0,37,60,56,.,44,49,27,31,48,52,43,60,29,57,67,0,37,60,56,.,44,49,27,43,43,51,51,61,61,22,46,49,.,.,.
101505,22,20,23,0,18,18,.,15,1,29,55,9,0,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,.,9,.,27,.,.,.,.,8,21,27
101514,36,38,34,39,47,47,.,26,32,40,42,15,29,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,.,28,.,45,.,.,.,.,19,32,40
