UNITID,FTE12MN,UNDUP,UNDUPUG,E12FT,E12PT,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12GRADFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,E12GRADPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON
234164,1473,2201,1504,1751,450,347,135,1006,16,697,1200,276,109,804,11,551,304,71,26,202,5,146,0,0,70,1,0,1,2,17,8,54,0,0,77,2,0,1,2,15,2,54,0,0,56,1,0,0,1,22,20,52,4,93,3,6,90,4,0,100,0
234173,1698,1793,1676,1191,602,285,130,866,395,117,1152,285,102,737,28,39,524,0,28,129,367,78,1,2,21,8,0,44,4,16,2,57,1,2,21,8,0,44,4,17,2,56,0,3,32,4,0,50,6,4,0,64,28,10,62,23,11,65,86,0,14
234207,2217,2255,1876,2249,6,476,1,1390,9,379,1870,476,1,1388,5,379,6,0,0,2,4,0,0,4,4,8,0,71,4,2,6,51,0,4,4,8,0,72,5,1,7,51,0,6,6,7,0,68,2,9,2,50,0,0,100,0,0,100,0,0,100
234377,1283,2833,2833,779,2054,383,100,957,1393,0,779,260,41,307,171,0,2054,123,59,650,1222,0,0,1,3,6,0,86,2,1,0,61,0,1,3,6,0,86,2,1,0,61,,,,,,,,,,,29,36,34,29,36,34,,,
234669,9064,16959,16959,6882,10077,2088,1588,6000,7283,0,6882,1008,498,2912,2464,0,10077,1080,1090,3088,4819,0,0,24,5,11,0,37,8,9,6,56,0,24,5,11,0,37,8,9,6,56,,,,,,,,,,,32,45,22,32,45,22,,,
234696,1362,2568,2568,1262,1306,460,390,1127,591,0,1262,289,201,686,86,0,1306,171,189,441,505,0,1,5,1,14,0,56,6,16,0,54,1,5,1,14,0,56,6,16,0,54,,,,,,,,,,,11,45,44,11,45,44,,,
234711,1481,2584,2584,1419,1165,471,239,1184,690,0,1419,357,133,523,406,0,1165,114,106,661,284,0,0,1,1,44,0,44,3,6,0,54,0,1,1,44,0,44,3,6,0,54,,,,,,,,,,,27,50,23,27,50,23,,,
234827,10027,19286,18416,8675,10611,1507,1697,6717,8495,870,8256,1346,1280,5286,344,419,10160,161,417,1431,8151,451,1,5,3,21,1,52,8,7,2,54,1,5,4,22,1,54,8,5,2,54,0,2,2,6,0,27,4,54,4,54,17,34,49,16,34,50,31,34,35
234845,1679,3324,3324,1591,1733,449,292,1135,1448,0,1591,336,171,668,416,0,1733,113,121,467,1032,0,1,2,4,16,0,59,6,13,0,57,1,2,4,16,0,59,6,13,0,57,,,,,,,,,,,21,41,38,21,41,38,,,
234915,1233,3093,1870,354,2739,363,239,1065,203,1223,234,4,44,169,17,120,1636,359,195,896,186,1103,1,9,9,8,1,31,4,33,6,60,1,7,7,7,1,23,3,49,4,57,1,11,12,9,1,44,5,10,8,64,78,11,12,84,6,11,69,18,13
234924,322,488,488,488,0,158,0,330,0,0,488,158,0,330,0,0,0,0,0,0,0,0,2,1,1,42,1,38,14,1,1,87,2,1,1,42,1,38,14,1,1,87,,,,,,,,,,,0,0,100,0,0,100,,,
234933,4962,9068,9068,4206,4862,1888,437,3718,3025,0,4206,1023,164,1667,1352,0,4862,865,273,2051,1673,0,1,6,3,15,1,62,7,5,1,60,1,6,3,15,1,62,7,5,1,60,,,,,,,,,,,39,47,15,39,47,15,,,
