UNITID,F1CORREV,F1TUFEPC,F1STAPPC,F1LCAPPC,F1GVGCPC,F1PGGCPC,F1INVRPC,F1OTRVPC,F1TUFEFT,F1STAPFT,F1LCAPFT,F1GVGCFT,F1PGGCFT,F1INVRFT,F1OTRVFT,F1COREXP,F1INSTFT,F1RSRCFT,F1PBSVFT,F1ACSPFT,F1STSVFT,F1INSUFT,F1OTEXFT,F1INSTPC,F1RSRCPC,F1PBSVPC,F1ACSPPC,F1STSVPC,F1INSUPC,F1OTEXPC,F1SWINSP,F1SWRSRP,F1SWPBSP,F1SWACSP,F1SWSTSP,F1SWISPP,F1SWOTEP,F1SWCREP,F1ENDMFT,F1SAFBPC,F1SALRPC,F1EQUITR,F2CORREV,F2TUFEPC,F2GVGCPC,F2PGGCPC,F2INVRPC,F2OTRVPC,F2TUFEFT,F2GVGCFT,F2PGGCFT,F2INVRFT,F2OTRVFT,F2COREXP,F2INSTFT,F2RSRCFT,F2PBSVFT,F2ACSPFT,F2STSVFT,F2INSUFT,F2OTEXFT,F2INSTPC,F2RSRCPC,F2PBSVPC,F2ACSPPC,F2STSVPC,F2INSUPC,F2OTEXPC,F2SWINSP,F2SWRSRP,F2SWPBSP,F2SWACSP,F2SWSTSP,F2SWISPP,F2SWOTEP,F2SWCREP,F2ENDMFT,F2SAFBPC,F2SALRPC,F2EQUITR,F3CORREV,F3TUFEPC,F3GVGCPC,F3PGGCPC,F3INVRPC,F3SSEAPC,F3OTRVPC,F3TUFEFT,F3GVGCFT,F3PGGCFT,F3INVRFT,F3SSEAFT,F3OTRVFT,F3COREXP,F3INSTFT,F3RSRCFT,F3PBSVFT,F3ACSPFT,F3STSVFT,F3INSUFT,F3OTEXFT,F3INSTPC,F3RSRCPC,F3PBSVPC,F3ACSPPC,F3STSVPC,F3INSUPC,F3OTEXPC,F3SWINSP,F3SWRSRP,F3SWPBSP,F3SWACSP,F3SWSTSP,F3SWISPP,F3SWOTEP,F3SWCREP,F3SAFBPC,F3SALRPC,F3EQUITR
101116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6313662,72,27,0,0,0,0,13722,5206,0,0,0,32,6477912,7014,0,0,374,2612,8903,551,36,0,0,2,13,46,3,64,,,59,85,5,0,38,41,38,36
101143,63239623,7,20,0,69,0,3,0,2753,7636,0,26122,60,1241,146,30037562,6636,0,826,389,2126,3290,4763,37,0,5,2,12,18,26,63,,8,72,61,39,0,40,11,50,40,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101161,73564156,12,48,3,34,0,2,1,1739,7194,520,5020,3,288,192,72343065,7693,0,5,1031,2198,2323,1456,52,0,0,7,15,16,10,59,,84,47,45,43,0,48,,59,47,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67770751,60,5,28,5,2,14131,1075,6582,1213,466,51628903,8533,0,254,1505,3681,3904,0,48,0,1,8,21,22,0,57,,63,44,36,33,,46,8121,51,43,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101240,81794234,8,33,1,34,1,3,20,2018,8065,283,8188,146,655,4738,61509110,6630,0,40,730,1837,2605,6276,37,0,0,4,10,14,35,62,,88,58,62,49,0,39,1320,50,38,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087958,79,0,0,0,9,12,12480,0,0,0,1466,1822,635489,3731,0,0,265,281,4933,0,41,0,0,3,3,54,0,41,,,100,100,38,,43,44,43,
101286,49327562,10,42,0,44,0,3,0,1748,7749,0,8107,4,614,75,46084880,7846,0,0,961,2050,2750,3487,46,0,0,6,12,16,20,62,,,62,53,44,0,45,77,59,45,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101295,68123846,14,46,0,37,0,1,2,2318,7646,0,6174,56,187,283,61744892,7753,0,0,1345,1911,1770,2324,51,0,0,9,13,12,15,42,,,43,46,42,0,36,,48,35,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101301,30484422,6,47,0,44,1,1,2,1278,10427,0,9852,196,174,357,25861679,5927,0,262,756,4008,4024,3928,31,0,1,4,21,21,21,61,,29,65,60,34,0,42,,51,42,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6556903,93,0,0,0,6,14330,75,0,-1,951,6849921,6265,0,0,877,5186,2273,1441,39,0,0,5,32,14,9,58,,,51,29,30,0,39,,47,39,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
