UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E013,F3E013,XF3E014,F3E014,XF3E015,F3E015,XF3E016,F3E016,XF3E017,F3E017,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02A3,F3E02A3,XF3E02A4,F3E02A4,XF3E02A5,F3E02A5,XF3E02A6,F3E02A6,XF3E02A7,F3E02A7,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E02B3,F3E02B3,XF3E02B4,F3E02B4,XF3E02B5,F3E02B5,XF3E02B6,F3E02B6,XF3E02B7,F3E02B7,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03A3,F3E03A3,XF3E03A4,F3E03A4,XF3E03A5,F3E03A5,XF3E03A6,F3E03A6,XF3E03A7,F3E03A7,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03B3,F3E03B3,XF3E03B4,F3E03B4,XF3E03B5,F3E03B5,XF3E03B6,F3E03B6,XF3E03B7,F3E03B7,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E03C3,F3E03C3,XF3E03C4,F3E03C4,XF3E03C5,F3E03C5,XF3E03C6,F3E03C6,XF3E03C7,F3E03C7,XF3E041,F3E041,XF3E042,F3E042,XF3E043,F3E043,XF3E044,F3E044,XF3E045,F3E045,XF3E046,F3E046,XF3E047,F3E047,XF3E051,F3E051,XF3E057,F3E057,XF3E101,F3E101,XF3E102,F3E102,XF3E103,F3E103,XF3E104,F3E104,XF3E105,F3E105,XF3E106,F3E106,XF3E107,F3E107,XF3E111,F3E111,XF3E112,F3E112,XF3E113,F3E113,XF3E114,F3E114,XF3E115,F3E115,XF3E116,F3E116,XF3E117,F3E117,XF3E061,F3E061,XF3E062,F3E062,XF3E063,F3E063,XF3E064,F3E064,XF3E065,F3E065,XF3E066,F3E066,XF3E067,F3E067,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03   
121868,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1599145,"R",29792,"R",0,"R",0,"R",0,"R",0,"R",1628937,"R",0,"R",0,"R",2636271,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",111368,"R",241994,"A",,"A",,"R",1906677,"R",4896310,"R",792162,"R",470443,"R",2366,"Z",0,"Z",0,"Z",0,"R",319353,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",96473,"R",33522,"R",1453,"Z",0,"Z",0,"Z",0,"R",61498,"R",415963,"R",36477,"R",1253,"Z",0,"Z",0,"Z",0,"R",378233,"R",295451,"R",266048,"R",13456,"Z",0,"Z",0,"Z",0,"R",15947,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",2022383,"R",29403,"R",4099,"R",0,"R",96586,"Z",0,"R",1892295,"R",3622432,"R",835893,"R",22627,"R",96586,"Z",0,"R",2667326,"A",,"A",,-2
121983,"R",3757551,"Z",0,"R",0,"Z",0,"R",1429393,"Z",0,"R",2328158,"R",3757551,"R",2,"R",65424,"R",1686953,"Z",0,"R",3024,"R",1755403,"R",1755403,"R",0,"R",5460948,"R",6436200,"R",573719,"R",-401533,"R",-1189441,"R",3919132,"R",0,"R",2328158,"R",377757,"R",362271,"R",2985,"R",2985,"Z",0,"R",813699,"R",1556712,"R",1556712,"Z",0,"R",4666625,"R",740028,"Z",0,"R",740028,"R",2985,"Z",0,"R",2985,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",51310,"Z",0,"R",0,"R",5460948,"R",2566569,"R",1845506,"R",229412,"R",354128,"R",38410,"Z",0,"R",99113,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",553887,"R",333262,"R",55614,"R",76424,"R",8289,"Z",0,"R",80298,"R",1353260,"R",880469,"R",143214,"R",186719,"R",20252,"Z",0,"R",122606,"R",1910967,"R",508769,"R",141589,"R",263670,"R",28599,"Z",0,"R",968340,"R",51517,"Z",0,"Z",0,"R",7108,"R",771,"Z",0,"R",43638,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-888049,"R",14881,"Z",0,"R",873168,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",6436200,"R",3568006,"R",569829,"R",111202,"Z",0,"R",2187163,"R",-553770,"R",-19949, 1
121992,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1338792,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1338792,"R",0,"R",0,"R",75984,"R",1338792,"Z",0,"R",1338792,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",328006,"R",1742782,"R",791451,"R",771142,"R",20309,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",122737,"R",121687,"R",1050,"Z",0,"Z",0,"Z",0,"R",0,"R",133491,"R",128909,"R",4582,"Z",0,"Z",0,"Z",0,"R",0,"R",366387,"R",358782,"R",7605,"Z",0,"Z",0,"Z",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",1414066,"R",1380520,"R",33546,"Z",0,"Z",0,"R",0,"A",,"A",,-2
122366,"R",60776681,"R",0,"R",6659392,"R",20004040,"R",11550468,"R",0,"R",49226213,"R",60776681,"R",6733729,"R",3590000,"R",4592934,"R",186661,"R",0,"R",15103324,"R",8443932,"R",6659392,"C",21036741,"R",17966313,"R",5071,"C",3075499,"R",0,"C",47367151,"R",-1216437,"R",49226213,"R",370808,"R",15450,"R",0,"R",0,"R",0,"Z",0,"R",386258,"R",-397419,"R",0,"R",4491781,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",4491781,"R",1853370,"R",362550,"R",57610,"R",22566,"R",805286,"R",1624,"R",603734,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",215865,"R",100548,"R",15977,"R",2628,"R",93792,"R",189,"R",2731,"R",1501327,"R",242603,"R",46592,"R",18280,"R",652324,"R",1316,"R",540212,"R",2216180,"R",268527,"R",52673,"R",26984,"R",962928,"R",1942,"R",903126,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",-70459,"R",0,"R",0,"R",70459,"R",22104,"R",0,"R",0,"R",1,"R",6,"R",0,"R",22097,"R",5808846,"R",974228,"R",172852,"R",2514336,"R",5071,"R",2142359,"R",247630,"R",576923, 3
122685,"R",49292091,"R",0,"R",5241873,"R",0,"R",39847598,"R",2000000,"R",9444493,"R",49292091,"R",0,"R",0,"R",18174744,"R",284883,"R",3844001,"R",22303628,"R",17061755,"R",5241873,"R",95697949,"R",91504832,"R",0,"R",4193117,"R",-4413547,"R",9664923,"R",0,"R",9444493,"R",24892977,"R",415960,"R",211678,"R",0,"R",211678,"R",722452,"R",26243067,"R",26243067,"R",0,"R",68659032,"R",25308937,"R",25308937,"R",0,"R",211678,"R",0,"R",211678,"R",0,"R",0,"R",318538,"R",1199200,"R",0,"R",0,"A",,"R",564,"R",95697949,"R",38462906,"R",17017619,"R",3063171,"R",4597901,"R",485522,"R",0,"R",13298693,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",23098911,"R",8976482,"R",1615767,"R",4597901,"R",921917,"R",0,"R",6986844,"R",14119620,"R",5205222,"R",936940,"R",0,"R",379493,"R",0,"R",7597965,"R",15823395,"R",8148504,"R",1466731,"R",604373,"R",859565,"R",143447,"R",4600775,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",-9800175,"R",0,"R",0,"R",9800175,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",91504832,"R",39347827,"R",7082609,"R",2646497,"R",143447,"R",42284452,"A",,"A",,-2
122834,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3073979,"R",76071,"R",144691,"R",144691,"R",0,"R",494294,"R",3789035,"R",494294,"R",0,"R",11088440,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",11088440,"R",2206330,"R",2028895,"R",162312,"Z",0,"Z",0,"Z",0,"R",15123,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",177434,"R",62156,"R",4973,"Z",0,"Z",0,"Z",0,"R",110305,"R",640320,"R",406518,"R",32521,"Z",0,"Z",0,"Z",0,"R",201281,"R",8277721,"R",985921,"R",78874,"Z",0,"R",411796,"Z",0,"R",6801130,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",11301805,"R",3483490,"R",278680,"R",411796,"Z",0,"R",7127839,"A",,"A",,-2
122852,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1032547,"R",25260,"Z",0,"Z",0,"Z",0,"R",128088,"R",1185895,"R",128088,"Z",0,"R",3503169,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",3503169,"R",882220,"R",815953,"R",65276,"Z",0,"Z",0,"Z",0,"R",991,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",66267,"R",9710,"R",777,"Z",0,"Z",0,"Z",0,"R",55780,"R",184630,"R",100167,"R",8013,"Z",0,"Z",0,"Z",0,"R",76450,"R",2360986,"R",372563,"R",29805,"Z",0,"R",38085,"Z",0,"R",1920533,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",3494103,"R",1298393,"R",103871,"R",38085,"Z",0,"R",2053754,"A",,"A",,-2
123350,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",512438,"R",8768,"Z",0,"Z",0,"Z",0,"Z",0,"R",521206,"R",9100,"Z",0,"R",250000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",477000,"R",727000,"R",200932,"R",128563,"Z",0,"Z",0,"R",3491,"Z",0,"R",68878,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",102211,"R",64281,"Z",0,"Z",0,"R",3491,"Z",0,"R",34439,"R",38407,"R",10714,"Z",0,"Z",0,"R",3491,"Z",0,"R",24202,"R",311379,"R",10713,"Z",0,"Z",0,"R",3490,"Z",0,"R",297176,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",57,"R",0,"Z",0,"R",0,"R",0,"Z",0,"R",57,"R",652986,"R",214271,"Z",0,"R",13963,"Z",0,"R",424752,"A",,"A",,-2
123396,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",378312,"R",0,"R",0,"R",0,"R",0,"R",0,"R",378312,"R",0,"R",0,"R",1001500,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",10500,"A",,"A",,"R",0,"R",1012000,"R",405000,"R",405000,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",607000,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"R",607000,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",1012000,"R",405000,"Z",0,"Z",0,"Z",0,"R",607000,"A",,"A",,-2
123642,"R",1435967,"R",70100,"R",43474,"R",181632,"R",722905,"R",0,"R",713062,"R",1435967,"R",63712,"R",5094,"R",643297,"R",0,"R",0,"R",712103,"R",668629,"R",43474,"R",3854336,"R",3831305,"R",0,"R",23031,"R",0,"R",730031,"R",-40000,"R",713062,"R",1111018,"R",23197,"R",0,"R",0,"R",0,"R",7740,"R",1141955,"R",0,"R",0,"R",2680150,"R",1134215,"R",0,"R",1134215,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",10587,"R",29384,"R",0,"A",,"R",0,"R",3854336,"R",948222,"R",671791,"R",8234,"R",268197,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",121217,"R",118641,"R",2470,"R",106,"R",0,"R",0,"R",0,"R",94024,"R",90412,"R",1141,"R",2471,"R",0,"R",0,"R",0,"R",2667842,"R",596196,"R",54921,"R",1985315,"R",31230,"R",180,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",-2256089,"R",0,"R",0,"R",2256089,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3831305,"R",1477040,"R",66766,"R",31230,"R",180,"R",2256089,"R",23129,"R",9802, 3
123679,"R",5860000,"R",0,"R",526000,"R",0,"R",3332000,"R",0,"R",2528000,"R",5860000,"R",0,"R",496000,"R",1600000,"R",0,"R",20000,"R",2116000,"R",1590000,"R",526000,"R",14925000,"R",12394000,"R",-3000,"R",2528000,"R",0,"R",3291000,"R",-3291000,"R",2528000,"R",2504000,"R",52000,"R",89000,"R",33000,"R",56000,"R",78000,"R",2723000,"R",78000,"R",0,"R",12231000,"R",2556000,"R",0,"R",2556000,"R",89000,"R",0,"R",33000,"R",0,"R",56000,"R",0,"R",0,"R",49000,"R",0,"A",,"R",0,"R",14925000,"R",6127000,"R",4668000,"R",212000,"R",373000,"R",0,"R",0,"R",874000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",747000,"R",348000,"R",16000,"R",373000,"R",0,"R",0,"R",10000,"R",1383000,"R",927000,"R",42000,"R",372000,"R",0,"R",0,"R",42000,"R",4137000,"R",633000,"R",29000,"R",372000,"R",552000,"R",0,"R",2551000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",-1490000,"R",0,"R",0,"R",1490000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",12394000,"R",6576000,"R",299000,"R",552000,"R",0,"R",4967000,"R",901000,"R",0, 1
124681,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2192207,"R",12713,"Z",0,"Z",0,"Z",0,"R",132155,"R",2337075,"R",132155,"Z",0,"R",7238274,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",-18956,"Z",0,"A",,"A",,"R",0,"R",7219318,"R",2085568,"R",653666,"R",113764,"R",1260823,"R",50759,"R",6556,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",3886383,"R",1218084,"R",211994,"R",2349500,"R",94587,"R",12218,"R",0,"R",57722,"R",18091,"R",3149,"R",34896,"R",1405,"R",181,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"R",-3645219,"Z",0,"Z",0,"R",3645219,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6029673,"R",1889841,"R",328907,"R",146751,"R",18955,"R",3645219,"A",,"A",,-2
124706,"R",6857000,"R",0,"R",1361000,"R",0,"R",4571000,"R",0,"R",2286000,"R",6857000,"R",0,"R",1976000,"R",1855000,"R",12000,"R",107000,"R",3950000,"R",2589000,"R",1361000,"R",13233000,"R",10946000,"R",-1000,"R",2286000,"R",0,"R",3132000,"R",-3132000,"R",2286000,"R",2769000,"R",108000,"R",37000,"R",0,"R",37000,"R",39000,"R",2953000,"R",39000,"R",0,"R",10278000,"R",2877000,"R",0,"R",2877000,"R",37000,"R",0,"R",0,"R",0,"R",37000,"R",0,"R",0,"R",41000,"R",0,"A",,"R",0,"R",13233000,"R",4802000,"R",3496000,"R",250000,"R",309000,"R",0,"R",0,"R",747000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",625000,"R",286000,"R",20000,"R",309000,"R",0,"R",0,"R",10000,"R",1363000,"R",945000,"R",68000,"R",310000,"R",0,"R",0,"R",40000,"R",4156000,"R",605000,"R",43000,"R",310000,"R",360000,"R",0,"R",2838000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",-1238000,"R",0,"R",0,"R",1238000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",10946000,"R",5332000,"R",381000,"R",360000,"R",0,"R",4873000,"R",901000,"R",0, 1
124937,"R",6893000,"R",0,"R",379000,"R",0,"R",4832000,"R",0,"R",2061000,"R",6893000,"R",0,"R",1450000,"R",629000,"R",0,"R",78000,"R",2157000,"R",1778000,"R",379000,"R",12629000,"R",10568000,"R",0,"R",2061000,"R",0,"R",2284000,"R",-2284000,"R",2061000,"R",2502000,"R",57000,"R",125000,"R",38000,"R",87000,"R",57000,"R",2741000,"R",57000,"R",0,"R",9917000,"R",2560000,"R",0,"R",2560000,"R",125000,"R",0,"R",38000,"R",0,"R",87000,"R",0,"R",0,"R",27000,"R",0,"A",,"R",0,"R",12629000,"R",4727000,"R",3499000,"R",204000,"R",303000,"R",0,"R",0,"R",721000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",685000,"R",353000,"R",21000,"R",303000,"R",0,"R",0,"R",8000,"R",1235000,"R",847000,"R",50000,"R",303000,"R",0,"R",0,"R",35000,"R",3921000,"R",668000,"R",39000,"R",303000,"R",182000,"R",0,"R",2729000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",-1212000,"R",0,"R",0,"R",1212000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",10568000,"R",5367000,"R",314000,"R",182000,"R",0,"R",4705000,"R",901000,"R",0, 1
125082,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",515286,"R",9736,"Z",0,"Z",0,"Z",0,"Z",0,"R",525022,"Z",0,"R",0,"R",1099885,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",449,"R",35001,"A",,"A",,"R",2520,"R",1137855,"R",554078,"R",137226,"R",0,"R",219472,"R",17343,"Z",0,"R",180037,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"R",635575,"R",145440,"R",46873,"Z",0,"Z",0,"Z",0,"R",443262,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"R",-219472,"Z",0,"Z",0,"R",219472,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",1189653,"R",282666,"R",46873,"R",17343,"Z",0,"R",842771,"A",,"A",,-2
125231,"R",597651000,"R",0,"R",38907000,"R",32568000,"R",106517000,"R",3909000,"R",491134000,"R",597651000,"Z",0,"Z",0,"R",36652000,"R",3986000,"R",37149000,"R",77787000,"R",38880000,"R",38907000,"R",621311000,"R",498278000,"R",0,"R",123033000,"R",-70035000,"R",438136000,"R",0,"R",491134000,"R",22402000,"R",1574000,"Z",0,"Z",0,"Z",0,"R",65608000,"R",89584000,"R",89584000,"Z",0,"R",566201000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",17226000,"Z",0,"Z",0,"Z",0,"R",37884000,"R",621311000,"R",184253000,"R",87556000,"R",3789000,"R",305000,"R",11934000,"Z",0,"R",80669000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",34679000,"R",16871000,"R",2084000,"R",1893000,"R",3432000,"Z",0,"R",10399000,"R",12764000,"Z",0,"Z",0,"Z",0,"R",837000,"Z",0,"R",11927000,"R",266582000,"R",16863000,"R",418000,"R",646000,"R",5737000,"Z",0,"R",242918000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-2844000,"Z",0,"Z",0,"R",2844000,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",498278000,"R",121290000,"R",6291000,"R",21940000,"Z",0,"R",348757000,"R",53360,"R",12447, 2
125310,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",163521,"R",0,"R",144705,"R",0,"R",144705,"R",0,"R",308226,"R",0,"R",0,"R",352061,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",59,"R",79704,"A",,"A",,"R",0,"R",431824,"R",151157,"R",149365,"R",1792,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",46427,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",46427,"R",38927,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",38927,"R",156752,"R",20000,"Z",0,"R",74979,"R",8009,"Z",0,"R",53764,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"R",-74979,"Z",0,"Z",0,"R",74979,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",393263,"R",169365,"R",1792,"R",8009,"Z",0,"R",214097,"A",,"A",,-2
