UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE 
100654,"R",112169,"A",,"R",20817,"G",3739,"G",867,"G",3739,"G",867,"A",,2
100663,"R",304681,"A",,"R",117081,"G",10156,"G",4878,"G",10156,"G",4878,"R",1504,2
100690,"R",6228,"A",,"R",4446,"G",208,"G",185,"G",208,"G",185,"A",,2
100706,"R",147287,"A",,"R",25653,"G",4910,"G",1069,"G",4910,"G",1069,"R",48,2
100724,"R",140171,"A",,"R",10332,"G",4672,"G",431,"G",4672,"G",431,"R",349,2
100751,"R",882991,"A",,"R",90183,"G",29433,"G",3758,"G",29433,"G",3758,"R",662,2
100760,"R",41860,"A",,"A",,"G",1395,"A",,"G",1395,"A",,"A",,2
100812,"R",72945,"A",,"A",,"G",2432,"A",,"G",2432,"A",,"A",,2
100830,"R",108042,"A",,"R",10907,"G",3601,"G",454,"G",3601,"G",454,"A",,2
100858,"R",605252,"A",,"R",80635,"G",20175,"G",3360,"G",20175,"G",3360,"R",1120,2
100937,"R",39911,"A",,"A",,"G",1330,"A",,"G",1330,"A",,"A",,2
101028,"R",43576,"A",,"A",,"G",1453,"A",,"G",1453,"A",,"A",,2
101073,"R",9051,"A",,"A",,"G",302,"A",,"G",302,"A",,"A",,2
101116,"R",19251,"A",,"R",2433,"G",428,"G",68,"G",428,"G",68,"R",35,2
101143,"R",48169,"A",,"A",,"G",1606,"A",,"G",1606,"A",,"A",,2
101161,"R",112774,"A",,"A",,"G",3759,"A",,"G",3759,"A",,"A",,2
101189,"R",74650,"A",,"R",7921,"G",2488,"G",330,"G",2488,"G",330,"R",373,2
101240,"R",124081,"A",,"A",,"G",4136,"A",,"G",4136,"A",,"A",,2
101277,"A",,"R",100458,"A",,"G",112,"A",,"G",112,"A",,"A",,1
101286,"R",110102,"A",,"A",,"G",3670,"A",,"G",3670,"A",,"A",,2
